,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
161,Liberation Tigers of Tamil Eelam (LTTE),370.0,mannar border,South Asia,Sri Lanka,"Ten Sri Lankan soldiers and 52 perpetrators were killed and twenty Sri Lankan soldiers were wounded when an unknown number of members of the Liberation Tigers of Tamil Eelam (LTTE) fired artillery and mortars and launched a raid with small arms at approximately 9:30 PM against an army artillery base at Pampaimadu, in the Vavuniya-Mannar border area, Sri Lanka.  No claim of responsibility was reported.",2007/6/2,62.0,20.0,-9
283,Taliban,325.0,including 13,South Asia,Afghanistan,"Twin suicide bombers killed 26 Afghans, including 13 civilians, in a crowded market in Southern Afghanistan. The attack that has been blamed on the Taliban was aimed at the police presence in the area of Gereshk, Afghanistan.",2007/9/10,28.0,60.0,1
5,United Liberation Front of Assam (ULFA),297.0,united liberation,South Asia,India,"Forty-eight Hindi-speaking migrant workers were killed and 19 injured after a series of 10 coordinated attacks by United Liberation Front of Assam (ULFA) in Assam, India that occurred overnight.",2007/1/5,48.0,19.0,0
395,Liberation Tigers of Tamil Eelam (LTTE),214.0,tamil eelam,South Asia,Sri Lanka,"Seventeen people were killed and 43 were wounded by a bomb that detonated in a department store in Colombo, Sri Lanka. Officials blamed the attack on the Liberation Tigers of Tamil Eelam (LTTE), but the group did not claim responsibility.",2007/11/29,17.0,43.0,-9
6,Liberation Tigers of Tamil Eelam (LTTE),206.0,suspected liberation,South Asia,Sri Lanka,"A suspected Liberation Tigers of Tamil Eelam (LTTE) female suicide bomber attacked a bus, south of Colombo, Sri Lanka killing 11 and wounding 47, the second such attack in as many days.",2007/1/6,12.0,47.0,1
303,United Liberation Front of Assam (ULFA),205.0,wounded 60,South Asia,India,"Members of the United Liberation Front of Assam (ULFA) were said to have killed five people and wounded 60 others by triggering two explosions in Tinsukia and Doomdooma, India.",2007/9/30,5.0,60.0,-9
46,Taliban,201.0,taliban claimed,South Asia,Afghanistan,"Around 10 am local time, a suicide bomber blew himself up at an entry gate at Air Base in Bagram, Afghanistan. 23 people were killed and 27 were wounded. The Taliban claimed responsibility for the attack. The Vice President of the United States Dick Cheney was the target.",2007/2/27,24.0,27.0,-9
302,Taliban,155.0,zabiullah mujahid,South Asia,Afghanistan,"A military bus was destroyed, killing thirty people in Kabul, Afghanistan when a suicide bomber garbed in an army uniform blew himself up within the entrance of the bus. The bus was picking up army personnel when it was attacked. Zabiullah Mujahid claimed that Taliban mujahiddin carried out the attack.",2007/9/29,31.0,0.0,-9
244,Taliban (Pakistan),150.0,suicide bomber,South Asia,Pakistan,"Eight civilians were killed and 35 injured as a suicide bomber rammed an explosives-packed car into another vehicle in Parachinar, Pakistan. Although no group claimed responsibility for the attack, authorities are blaming the attack on pro-Taliban militants",2007/8/4,8.0,35.0,1
193,United Liberation Front of Assam (ULFA),125.0,united liberation,South Asia,India,"One Indian civilian was killed and 40 more were wounded when an improvised explosive device (IED) planted by an unknown number of United Liberation Front of Assam (ULFA) perpetrators detonated in a vegetable market in Hajo, Kamrup District, Assam State, India.  No claim of responsibility was reported.",2007/6/13,1.0,40.0,-9
241,Taliban (Pakistan),96.0,islamic militants,South Asia,Pakistan,"Islamic militants attempted a guerrilla raid on a military checkpoint in the North-West Frontier province of Pakistan . The attack was repelled by an army helicopter. Fighting escalated leaving at least 18 Islamic militants dead in Pakistans tribal belt. Although no group claimed responsibility for the attack, Taliban and al-Qa ida militants are active in the region",2007/8/1,18.0,2.0,-9
263,Taliban (Pakistan),71.0,seventeen people,South Asia,Pakistan,"A suicide bomber killed three policemen and an Afghan woman in Hangu, Pakistan. Seventeen people were also injured in the bombing. A Taliban spokesman claimed responsibility for the incident.",2007/8/20,4.0,17.0,0
100,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),39.0,injuring three,South Asia,Nepal,"55 suspected Janatantrik Terai Mukti Morcha - Jwala Singh (JTMM-J) stormed a police post in Chetnagar, Saptari, Nepal, injuring three policemen.  The police claim that six of the attackers were killed in the encounter. The motive behind the attack is unknown.",2007/4/17,6.0,3.0,0
34,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),30.0,finally released,South Asia,Nepal,"Eleven people were kidnapped in Rajbiraj, Nepal and then transported by the militant group to another city in Nepal and finally released unharmed. The suspected perpetrator group is the Janatantrik Terai Mukti Morcha.  No claim of responsibility was reported.",2007/2/4,0.0,10.0,0
286,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),13.0,strike imposed,South Asia,Nepal,"One person was killed and another wounded when activists from Janatantrik Terai Mukti Morcha - Jwala Singh  (JTMM-J) threw a bomb at a passenger bus in Parwanipur, Bara, Nepal. The bus, which was traveling from Birgunj to Kathmandu, was apparently attacked for defying the strike imposed on the area by JTMM-J. A JTMM-J spokesperson claimed credit for the attack.",2007/9/16,1.0,1.0,1
