,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
16,Caucasus Emirate,435.0,explosion happened,Eastern Europe,Russia,"On Friday evening at 2134, three train cars were derailed when an improvised explosive device detonated on the track between Moscow and St. Petersburg, Russia. The explosion happened near the town of Bologoye leaving 26 people dead, 100 injured and 18 unaccounted for. The bomb is said to have been equivalent to seven kg of TNT leaving a crater of 1.5 meters in diameter and 0.7 meters in depth. The train and a section of the track were damaged. Caucasus Emirate claimed responsibility.",2009/11/27,26.0,100.0,1
13,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,135.0,shushenskaya power,Eastern Europe,Russia,"On Monday, at the Sayano-Shushenskaya power station in southern Siberia, Russia, a bomb killed 26 people and left dozens more missing. The militant group Riyad-us Salihiin (Gardens of the Righteous) claimed responsibility.",2009/8/17,26.0,0.0,1
9,Black Widows,71.0,two others,Eastern Europe,Russia,"On Tuesday afternoon at about 1215, in the village of Michidui, North Cachar Hills, Assam, India, unidentified gunmen opened indiscriminate fire on civilians and set ablaze 20 houses in a Zeme Naga tribe village. Twelve civilians, including eight minors were killed on the spot and two others wounded. No group claimed responsibility but it was suspected that Black Widow militants were responsible for the attack.",2009/6/16,12.0,2.0,1
10,Black Widows,65.0,group claimed,Eastern Europe,Russia,"On Wednesday, in Misadui village in the North Cachar Hills district, Guwahati, Assam, India, twelve people were killed during a raid on a village by unknown militants. Heavily armed tribal militants attacked the village of a rival tribe, indiscriminately firing on villagers and set ablaze more than 20 houses. No group claimed responsibility, but police suspected that the Black Widow militant group was behind the attack.",2009/6/17,12.0,0.0,1
11,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,35.0,wounding three,Eastern Europe,Russia,"On Monday morning at about 0830, in the Nasyr-Kortsky Okrug area of Nazran, Ingushetia, Russia, a suicide bomber drove a vehicle-borne improvised explosive device into the convoy of the Ingushetia President at the intersection of the Kavkaz federal highway and Likhachyeva Street and detonated it, killing one bodyguard, one police officer, and one civilian; wounding three bodyguards, one civilian and one top government official; and destroying one vehicle, damaging two others and two nearby residences. The Riyad us-Saliheyn Martyrs' Brigade of the Caucasus Emirate claimed responsibility.",2009/6/22,3.0,5.0,1
5,Black Widows,33.0,wounding one,Eastern Europe,Russia,"On Wednesday morning around 0500, in the Boro Chenam and Kampai villages, in Haflong, North Cachar Hills, India, militants opened fire killing five civilians, wounding one child, and setting ablaze 54 houses. No group claimed responsibility, but the Black Widows are suspected to be responsible.",2009/6/3,5.0,1.0,1
14,Chechen Rebels,28.0,improvised explosive,Eastern Europe,Russia,"At about 10:30 AM, in Groznyy, Chechnya, Russia, a female suicide  bomber detonated an improvised explosive device (IED) at the corner of Mira Street and Putin Avenue as police officers were attempting to question her, wounding four nearby civilians and two police officers and destroying a police vehicle. No group claimed responsibility.",2009/9/16,1.0,6.0,1
7,Caucasus Emirate,25.0,four nearby,Eastern Europe,Russia,"On Wednesday morning, in Nazran, Ingushetia, Russia, assailants fired upon the vehicle carrying the deputy head of Ingushetia's Supreme Court, killing her, wounding the driver, four nearby civilians, and causing damage to two vehicles. The Caucasus Emirate claimed responsibility.",2009/6/10,1.0,5.0,1
4,Caucasus Emirate,16.0,wounding two,Eastern Europe,Russia,"On Tuesday morning at about 0830, in Nazran, Ingushetia, Russia, an improvised explosive device (IED) that had been placed under a vehicle belonging to Lt. Colonel Isa Tochiyev, the chief of personal security for the republic's anti-drug department, exploded as the police officer was driving with his family on Moskovskaya Street, killing the police officer, wounding two children and damaging the vehicle. The IED was filled with 100 to 200 grams of explosives. The Caucasus Emirate claimed responsibility.",2009/6/2,1.0,2.0,1
0,Black Widows,5.0,north cachar,Eastern Europe,Russia,"On Sunday morning, Black Widow (BW) militants triggered a bomb blast on the railway track between Harangajao and Mailongdisa railway stations in North Cachar Hills, Assam, India. Three train cars were derailed and 40 meters of track were damaged. Train services in the Hill section were affected due to the blast. No casualties were reported. No group claimed responsibility, but police suspect that Black Widow militants were responsible.",2009/1/4,0.0,0.0,1
1,Black Widows,0.0,north cachar,Eastern Europe,Russia,"On Sunday, in the Dautohaja area of North Cachar Hills, Assam, India, Black Widow militants attacked the railway police force personnel guarding a railway station. No casualties were reported.",2009/4/12,0.0,0.0,-9
2,Black Widows,30.0,north cachar,Eastern Europe,Russia,"On Monday, Black Widow militants ambushed a Vinay Cement Company 20-truck convoy, targeting the vehicles carrying the 16th India Reserve Battalion escorting the convoy, in Panimur Kalanala of North Cachar Hills, Assam, India. Five soldiers and a civilian driver were killed in the attack.",2009/4/20,6.0,0.0,-9
