,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
12,Abu Sayyaf Group (ASG),120.0,group claimed,Southeast Asia,Philippines,"On Saturday morning, in Tuburan, Basilan Province, Philippines, about 70 suspected militants of Abu Sayyaf and former Moro Islamic Liberation Front raided Tubigan village. The militants burned down houses and fired at the villagers. The raid resulted in 11 deaths, including a nine year old boy, and 20 others were injured. The villagers were asleep when the militants began the attack. No group claimed responsibility.",2010/2/27,11.0,20.0,1
83,Abu Sayyaf Group (ASG),87.0,united states,Southeast Asia,Philippines,"On Thursday evening around 1800, outside the Zamboanga International Airport in Zamboanga City, Zamboanga province, Philippines, a bomb was detonated in a suspected suicide bombing attack. The explosion killed two, including the alleged bomb carrier, and injured 24. Amongst the injured were the governor of Sulu, Abdusakur Tan, and a British national, Charles McKercher. The amount of property damage is unknown. The attack came just before the United States ambassador to the Philippines, Harry Thomas, was to arrive; he canceled the visit. Sakur Tan claimed that he was the likely target of the bomb. ""I have received intelligence reports that I would be bombed,"" he told local TV on Friday. Police are investigating the theory that the suspected bomber may not have known he was carrying a bomb which may have been detonated remotely. No group claimed responsibility, but the Abu Sayyaf was suspected.",2010/8/5,2.0,24.0,1
39,New People's Army (NPA),71.0,one election,Southeast Asia,Philippines,"On Monday morning at 0850, in Saranga, Mahayahay, Maragusan, Compostela Valley, Philippines, armed New People's Army/Communist Party of Philippines (NPA-CPP) militants fired upon a convoy carrying election results, killing six people - two soldiers, two militiamen, one election official and one civilian poll watcher - and injuring 12 others - nine soldiers, two civilian poll watchers, and a civilian. Three vehicles were also damaged as a result of the attack. The NPA-CPP claimed responsibility for the incident.",2010/5/10,6.0,12.0,1
73,Abu Sayyaf Group (ASG),38.0,abu sayyaf,Southeast Asia,Philippines,"On Wednesday afternoon at 1400, in Tubigan, Maluso, Basilan, Philippines, about 30 armed assailants led by Abu Sayyaf leader Purudji Indama, stopped a minibus at a barricade then assaulted and fired upon and stabbed passengers, killing the driver, two civilians, and a child and injuring six others. No group claimed responsibility, but authorities believed that Abu Sayyaf Group (ASG) was responsible. No damages were reported.",2010/6/23,4.0,6.0,0
60,New People's Army (NPA),30.0,killing three,Southeast Asia,Philippines,"On Monday around 1200 noon, along the Davao-Mati national highway in Sitio Chapter, Maputi, Banay-Banay, Davao Oriental, Philippines, armed assailants fired upon soldiers guarding Maverick Construction, killing three soldiers and injuring five others. Rebels fired rocket-propelled grenades at the construction site upon arrival. The assailants also kidnapped three civilians and stole three trucks and 11 firearms while escaping, using them as human shields, then released one of the civilians before leaving the area. The raid netted 11 high-powered firearms comprising of two FN Minimi Light Machine Guns, two M203 grenade launcher rifles, three Garand rifles, three M14 rifles and an M16 Armalite rifle. Troops had been deployed to the site last month when the rebels attempted to burn the company's heavy equipment for its refusal to heed the extortion demands of the rebels. The status of the two remaning hostages is unknown. New People's Army/Communist Party of Philippines (NPA-CPP) claimed responsibility.",2010/5/24,3.0,5.0,0
31,New People's Army (NPA),23.0,two civilians,Southeast Asia,Philippines,"On Saturday at 0100, in Malimono, Surigao del Norte, Philippines, approximately 50 assailants fired M-16 rifles upon a mayoral candidate's house, injuring four household members, two civilians passing on a motorcycle. The home was damaged in the attack. New People's Army/Communist Party of Philippines (NPA-CPP) claimed responsibility.",2010/5/1,0.0,6.0,1
68,Muslim Separatists,23.0,unidentified militants,Southeast Asia,Philippines,"On Saturday, in the Nong Chik district of Pattani, Thailand, unidentified militants stopped the vehicle of employees of Charoen Pokphand, a shrimp farm company, and fired upon the vehicle, killing three, wounding another, and damaging the vehicle. No group claimed responsibility, although Muslim separatists were suspected.",2010/6/5,3.0,1.0,1
5,Karen National Union,16.0,karen national,Southeast Asia,Myanmar,"On Friday morning around 1100, in Kawkareik, Kayin, Myanmar, in one of three related attacks, suspected Karen National Union members detonated an improvised explosive device (IED) at a row of stalls close to the wall of the Buddhist monastery outside the entrance of a market, wounding two people and killing one, and damaging the market. A second IED was detonated inside the market around 1200 that same day, causing no casualties. Shortly after the first explosion, vendors were told to close their shops and move out of the market. Authorities later safely defused another IED found in the same area. No group claimed responsibility, but authorities believed the Karen National Union (KNU) was responsible.",2010/2/19,1.0,2.0,1
41,United Front for Democracy Against Dictatorship,12.0,red shirt,Southeast Asia,Thailand,"On Saturday evening at 1820, in Bangkok, Thailand, a man, in connection with the Red Shirt protest, fired M79 grenades from the Wireless-Sarasin intersection at Lumpini Police flats, injuring four people. He also fired at the police station but missed. No group claimed responsibility.",2010/5/15,0.0,4.0,-9
30,Karen National Union,12.0,thaukyegat hydropower,Southeast Asia,Myanmar,"On Tuesday morning at 0600, in Tantabin Township, Pegu, Myanmar, a series of grenades were launched on the Thaukyegat hydropower plant under construction wounding four workers. The Karen National Liberation Army (KNLA) claimed responsibility. KNLA's 2nd Brigade, Brigadier General Saw Mae Ain Zin, commander of the KNLA 2nd Brigade executed the attack.",2010/4/27,0.0,4.0,-9
