,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
11,Al-Qaida in the Islamic Maghreb (AQIM),162.0,adil al,Western Europe,Spain,"On Thursday, in the Djemma el-Fna square in Marrakech Medina, Marrakech-Tensift-El Haouz, Morocco, 17 people including eight French nationals, two Canadians, two Moroccans, one British man, one Dutchman, one Swiss man and one Portuguese were killed and 24 people including seven French, two Dutch, two Swiss, two Russians and two Tunisians were injured when Adil Al Athmani detonated two remote controlled improvised explosive devices (IEDs) in the Argana Café. Dressed as a hippie, wearing a wig and carrying a guitar, Adil Al Athmani carried the two IEDs, weighing 13 and 20 pounds, concealed in two bags into the Argana café. Adil Al Athmani then detonated the IEDs shortly after he left the Argana café. The IEDs were made of PETN, TATP, Ammonium Nitrate and nails. The café sustained a considerable amount of material damage. No group has claimed responsibility, but the militant group Al-Qaeda in the Islamic Maghreb was thought to be responsible for the attack.",2011/4/28,17.0,24.0,1
10,Al-Qaida in the Islamic Maghreb (AQIM),106.0,militant group,Western Europe,Spain,"On Friday evening around 1915, near Azazga, Tizi Ouzou, Algeria, 14 Algerian soldiers were killed and 12 soldiers were injured when 50 unidentified militants attacked an Algerian military post with grenades and unknown firearms. It is unknown if the attack caused any property damage. No group claimed responsibility, but the militant group Al-Qaeda in the Islamic Maghreb (AQIM) was thought to be responsible for the attack.",2011/4/15,14.0,12.0,-9
16,Al-Qaida in the Islamic Maghreb (AQIM),28.0,wounding six,Western Europe,Spain,"On Sunday, in Arlit, Agadez, Niger, unidentified militants opened fire on military forces in the area, killing one soldier and wounding six others while one militant was also killed during the exchange of fire. After the attack was over the soldiers seized a vehicle containing 640 kilograms of explosives, 435 detonators, various military weapons and 90,000 American dollars in cash. No group claimed responsibility for the attack, although Al Qaeda in the Islamic Maghreb (AQIM) militants were suspected.",2011/6/12,2.0,6.0,0
26,Separatists,10.0,tambon wang,Western Europe,Spain,"Suspected separatists planted a homemade explosive device at a banana plantation in Tambon Wang Phraya in Raman district, Yala province, Thailand.  Yako Ya-ngo, a security volunteer who was inspecting the plantation, was killed in the explosion.  The five kilogram bomb also destroyed a shack and left a large hole in the ground.  No group claimed responsibility for the incident and specific motive is unknown.",2011/11/21,1.0,0.0,1
9,Informal Anarchist Federation,6.0,informal anarchist,Western Europe,Italy,"On Thursday morning at 0745, in Olten, Solothurn, Switzerland, a letter bomb detonated at the office of Swissnuclear. The device detonated as a female employee was handling the parcel on the fourth floor. Two people were injured and it is unknown if the attack caused any property damage. No group claimed responsibility for the attack, although the Informal Anarchist Federation was thought to be responsible.",2011/3/31,0.0,2.0,-9
22,Animal Liberation Front (ALF),5.0,group claimed,Western Europe,United Kingdom,"On Wednesday night into Thursday, in Hilversum, Noord Holland, Netherlands, unidentified assailants attacked the Hilversumsche Golf Club holding the 2011 KLM Open. KLM is the world's largest carrier of primates and other animals for biomedical research. The assailants attacked and destroyed four putting greens, causing an unknown amount of damage. No group claimed responsibility, although the Animal Liberation Front (ALF) - Netherlands is suspected.",2011/9/7,0.0,0.0,1
30,Separatists,5.0,hit six,Western Europe,Spain,"Unidentified gunmen opened fire on a member of the Bukit Administration Organization in Cho Irong district, Narathiwat province, Thailand.  Areepeng Jehmu was riding his motorcycle when assailants on another motorcycle shot at him with an 11mm pistol.  Jemhu was hit six times and was declared dead upon arrival at the hospital.  No group claimed responsibility for the incident and specific motive is unknown; however, before the victim died, he blamed the attack on separatist militants.",2011/11/29,1.0,0.0,-9
25,Separatists,5.0,group claimed,Western Europe,Spain,"Two improvised explosive devices attached to two electricity poles detonated in Than To district, Yala province, Thailand.  Both poles were damaged in the explosion and the surrounding area lost electricity; there were no reported injuries.  No group claimed responsibility; however, officials believe that the incident was perpetrated by separatist militants.  Specific motive is unknown.",2011/11/20,0.0,0.0,1
23,Animal Liberation Front (ALF),5.0,animal liberation,Western Europe,United Kingdom,"On Monday morning, in Caldwell, Idaho, United States, animal rights activists drilled a hole into the storage space of Rocky Mountain Fur and Fireworks, pumped several gallons of fuel into and set fire to the retail building. There were no injuries, but the fire caused $100,000 in damage. A group calling themselves the Arson Unit sent a message to the North American Animal Liberation Press Office in Los Angeles, California, United States and the BiteBack Magazine website claiming responsibility for the arson. The Arson Unit is believed to be a branch of the Animal Liberation Front (ALF).",2011/9/26,0.0,0.0,1
19,Animal Liberation Front (ALF),5.0,friday night,Western Europe,United Kingdom,"On Friday night sometime just before 0500, in Gothenburg, Vastra Gotaland, Sweden, members of the Animal Liberation Front (ALF) used hammers to break the windows of a McDonald's and gain entry. Once inside the group spread 10 liters of gasoline throughout the dining area and then exited. After they exited they tossed the gas containers back inside with some ALF slogans written on them, followed by some lit matches. An unknown amount of damage was caused by the fire that resulted. A communication was posted by the group on the Biteback website.",2011/7/8,0.0,0.0,1
15,Real Irish Republican Army (RIRA),5.0,unidentified militants,Western Europe,Ireland,"On Thursday morning around 0400, in the Clondalkin area of Dublin, Republic of Ireland, unidentified militants entered the home of Continuity Irish Republican Army leader, Liam Kenny, and fired on and killed him. Kenny's wife and other individuals were also inside the home at the time of the attack, but managed to escape. Officials believe that Kenny may have been killed by Real Irish Republican Army militants due to a feud. Kenny was also believed to be a former member of the Republican Sinn Fein political group. No group has claimed responsibility for the attack.",2011/6/9,1.0,0.0,0
8,Informal Anarchist Federation,3.0,informal anarchist,Western Europe,Italy,"On Thursday, at a military base in Liverno, Tuscany, Italy, a letter bomb seriously injured a senior Italian Army official, identified as Lt. Col. Alessandro Albamonte. No damages were reported and the Informal Anarchist Federation (FAI) was written on the envelope of the letter.",2011/3/31,0.0,1.0,0
33,Informal Anarchist Federation,3.0,tax collection,Western Europe,Italy,"In Rome, Lazio, Italy, a letter bomb was sent to the tax collection agency's office, called Equitalia.  The explosive was opened by the director general, Maco Cucagna.  He lost part of a finger, but did not sustain any life threatening injuries.  There were no deaths reported.  The Informal Anarchist Federation claimed responsibility for the attack.  However, the motive for the attack is unknown.",2011/12/9,0.0,1.0,0
6,Real Irish Republican Army (RIRA),0.0,army bomb,Western Europe,Ireland,"On Wednesday at 0000 midnight, in the Sandy Braes area of Magherafelt, County Derry, Northern Ireland, suspected dissident republicans planted a pipe bomb outside of a house. Nearby homes were evacuated while the device was handled by Army bomb experts. The attack caused no casualties or damages and no group claimed responsibility but the Real Irish Republican Army (RIRA) was suspected.",2011/2/16,0.0,0.0,0
7,Real Irish Republican Army (RIRA),0.0,homemade bomb,Western Europe,Ireland,"On Monday, in Derry, County Derry, Northern Ireland, police located a car that had a homemade bomb inside, parked near Londonderry Courthouse. Police were able to defuse the device before it could detonate, causing no casualties or damages. The improvised explosive device contained around 110 pounds of explosives inside a beer keg. The Oglaigh na hEireann claimed responsibility for the attack.",2011/3/28,0.0,0.0,0
