,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
10,Anti-Police extremists,15.0,new york,North America,United States,"An assailant opened fire on New York City Police Department officers while they were sitting in their vehicle in Bedford-Stuyvesant neighborhood, Brooklyn, New York City, United States. Officers Wenjian Liu and Rafael Ramos were killed in the attack. The assailant, identified as Ismaaiyl Brinsley, claimed responsibility and stated that the attack was carried out to avenge the deaths of Michael Brown and Eric Garner at the hands of the authorities.",2014/12/20,2.0,0.0,1
6,White extremists,10.0,nearby retirement,North America,United States,"An assailant opened fire on civilians outside of a Jewish community center in Overland Park, Kansas, United States. Two people were killed in the attack. This was one of two attacks carried out by the assailant within a few minutes of each other in the same area; the assailant targeted a nearby retirement home in the second attack. No group claimed responsibility for the incident; however, officials arrested a former Ku Klux Klan member who had shouted ""Heil Hitler"" following the arrest.",2014/4/13,2.0,0.0,0
0,Anti-Police extremists,5.0,kita ward,North America,United States,"A gas cylinder bomb detonated in the parking lot of a police station in Kita Ward area, Sapporo city, Hokkaido prefecture, Japan. It is unknown if there were any casualties in the blast. In a letter sent to a news outlet in April, an anonymous individual claimed responsibility for this and four similar blasts that took place between January and April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May, 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/1/27,0.0,0.0,1
1,Anti-Police extremists,5.0,kita ward,North America,United States,"A gas cylinder bomb detonated in the parking lot of a department store in Kita Ward area, Sapporo city, Hokkaido prefecture, Japan. No casualties were reported. In a letter sent to a news outlet in April, an anonymous individual claimed responsibility for this and four similar blasts that took place betwen January and April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/2/20,0.0,0.0,1
2,Anti-Muslim extremists,5.0,south east,North America,United States,"An assailant set a mosque on fire in Bletchley area, Milton Keynes town, South East region, England, United Kingdom. No one was injured in the attack, but the mosque was damaged. No group claimed responsibility for the incident; however, authorities arrested a local, Richard Bevington, in connection with the arson.",2014/3/9,0.0,0.0,1
7,White extremists,5.0,two incidents,North America,United States,"An assailant opened fire on civilians outside of a Jewish retirement home in Overland Park, Kansas, United States. One person was killed in the attack. This was one of two incidents carried out by the assailant within a few minutes of each other in the same area; the assailant targeted a nearby community center in the first attack. No group claimed responsibility for the incident; however, officials arrested a former Ku Klux Klan member who had shouted ""Heil Hitler"" following the arrest.",2014/4/13,1.0,0.0,0
8,Left-wing extremists,5.0,power cable,North America,United States,"Assailants set fire to a power cable shaft of the subway system in Treptow neighborhood, Berlin city, Berlin state, Germany. There were no reported casualties in the attack. Left wing activists claimed responsibility for the incident and stated that the attack was carried out in order to draw attention to the treatment of illegal immigrants in Germany.",2014/8/28,0.0,0.0,1
9,Anti-Muslim extremists,5.0,group claimed,North America,United States,"Assailants threw an incendiary device through the window of the Islamic Center of New Mexico in Albuquerque, New Mexico, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",2014/10/24,0.0,0.0,1
3,Anti-Police extremists,0.0,kita ward,North America,United States,"An explosive device detonated in the parking lot of a department store in Kita Ward area, Sapporo city, Japan. There were no reported casualties in the attack. In a letter sent to a news outlet in April 2014, an anonymous individual claimed responsibility for this and four similar blasts that took place between January-April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May, 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/3/18,0.0,0.0,-9
4,Anti-Police extremists,0.0,kita ward,North America,United States,"An explosive device detonated in the parking lot of a department store in Kita Ward area, Sapporo city, Japan. There were no reported casualties in the attack. In a letter sent to a news outlet in April 2014, an anonymous individual claimed responsibility for this and four similar blasts that took place between January-April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May of 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/3/27,0.0,0.0,-9
5,Anti-Police extremists,0.0,police apartment,North America,United States,"Three gas cylinder bombs detonated in front of a police apartment building in Kita Ward area, Sapporo city, Hokkaido prefecture, Hokkaido region, Japan. No one was injured in the blast. In a letter sent to a news outlet In April, an anonymous individual claimed responsibility for this and four similar blasts that took place from January-April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May, 2014, police arrested Sanae Nasukawa in connection with the blasts. Nasukawa denied being responsible for the attacks, and while she was in police custody, two more gas cylinder attacks took place in the area. Police dismissed these incidents as ""copycat"" crimes.",2014/4/3,0.0,0.0,-9
