,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
1606,Tehrik-i-Taliban Pakistan (TTP),1158.0,least 151,South Asia,Pakistan,"Assailants detonated an explosives-laden vehicle and then stormed the Army Public School in Peshawar city, Khyber Pakhtunkhwa province, Pakistan. At least 151 students and staff were killed and more than 120 other people were injured in the attack. Additionally, all seven assailants were either killed by security forces or detonated their explosives-laden vests. Finally, several explosive devices planted in the school by the assailants were defused after the attack. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident, stating that it was revenge for Operation Zarb-e-Azb in North Waziristan. The Mullah Fazlullah Group also claimed responsibility for the attack.",2014/12/16,158.0,121.0,1
1432,Tehrik-i-Taliban Pakistan (TTP),645.0,lowering ceremony,South Asia,Pakistan,"A suicide bomber detonated near a flag-lowering ceremony outside of a restaurant in Wagah village, Punjab province, Pakistan. In addition to the bomber, at least 61 people were killed and 110 others were injured in the blast. Jundallah, Jamaat-ul-Ahrar, and Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident. TTP stated that the attack was carried out in retaliation for military operations in North Waziristan as well as for the deaths of members imprisoned in Pakistan. The group also stated that the attack was in response to a United States (US) drone strike that killed Hakimullah Mehsud, the former TTP leader, in 2013.",2014/11/2,62.0,110.0,1
882,Taliban,500.0,group claimed,South Asia,Afghanistan,"Assailants attempted to attack Afghan Border Police (ABP) battalions in Taghar area, Red district, Helmand province, Afghanistan. Seventy assailants were killed and 50 others were wounded in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",2014/7/2,70.0,50.0,-9
1526,Taliban,488.0,yahya khel,South Asia,Afghanistan,"A suicide bomber detonated at a volleyball tournament in Yahya Khel district, Paktika province, Afghanistan. In addition to the bomber, at least 57 people were killed and 66 others were injured in the blast. The Taliban claimed responsibility for the attack; however, authorities attributed the incident to the Haqqani Network.",2014/11/23,58.0,66.0,-9
940,Taliban,421.0,group claimed,South Asia,Afghanistan,"A suicide bomber detonated an explosives-laden vehicle at a market in Urgun district, Paktika province, Afghanistan. In addition to the suicide bomber, 42 people were killed and 67 others were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban, who denied responsibility.",2014/7/15,43.0,67.0,1
765,Tehrik-i-Taliban Pakistan (TTP),261.0,november drone,South Asia,Pakistan,"Ten assailants wearing suicide vests attacked the Jinnah International Airport in Karachi city, Sindh province, Pakistan. Thirty-eight people, including the ten assailants, were killed and at least 22 others were wounded in the attack. Tehrik-i-Taliban Pakistan (TTP) and the Islamic Movement of Uzbekistan (IMU) claimed responsibility for the attack and stated that the attacks were a response to Pakistani airstrikes on villages in Northwestern Pakistan as well as a response to the November drone strike by the United States that killed the former TTP leader Hakimullah Mehsud. Additionally, authorities suspected that Lashkar-e-Jhangvi may have helped to organize the attack.",2014/6/8,38.0,22.0,1
911,Muslim extremists,130.0,joint security,South Asia,Afghanistan,"Assailants attacked a joint security checkpoint/base in Sudur area, Diyala governorate, Iraq. At least eight military personnel were killed and 30 personnel were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.",2014/7/9,8.0,30.0,-9
177,Baloch Republican Army (BRA),120.0,least five,South Asia,Pakistan,"An explosive device detonated on train tracks in Thul town, Sindh province, Pakistan. The explosion caused two coaches of the Khusal Khan Khattak Express Train to derail, killing at least five people and wounding at least 30 others. The Baloch Republican Army (BRA) claimed responsibility for this attack.",2014/2/16,5.0,30.0,1
1665,Baloch Republican Army (BRA),104.0,baloch republican,South Asia,Pakistan,"Assailants opened fire on a Frontier Corps (FC) vehicle in Asreli area, Balochistan province, Pakistan. One soldier and eight assailants were killed and eighteen others were wounded in the ensuing clash. The Baloch Republican Army (BRA) claimed responsibility for the incident.",2014/12/27,9.0,18.0,1
39,Muslim extremists,98.0,suicide bomber,South Asia,Afghanistan,"A suicide bomber detonated an explosives-laden vehicle at a bus station in the Allawi area of Baghdad city, Baghdad governorate, Iraq. Nine people were killed and 16 were wounded by the blast. No group claimed responsibility for the incident; however, sources suspected the involvement of Muslim fundamentalists.",2014/1/12,9.0,16.0,1
170,Muslim extremists,84.0,group claimed,South Asia,Afghanistan,"Assailants planted and detonated multiple land mines underneath the Carlton Hotel in Aleppo city, Aleppo governorate, Syria. The hotel was being used by the military. Five soldiers were killed and 18 others were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.",2014/2/14,5.0,18.0,1
59,Baloch Republican Army (BRA),79.0,least four,South Asia,Pakistan,"An explosive device detonated as a Khushhal Khan Khattak Express train passed by in Kotla Behram village, Punjab province, Pakistan. At least four people were killed and at least 18 others were injured as a result of the blast. The train was also derailed. The Baloch Republican Army (BRA) claimed responsibility for the incident and stated that the BRA would continue to carry out attacks against railways until the military operation in Balochistan is called off.",2014/1/17,4.0,18.0,1
533,Maoists,75.0,group claimed,South Asia,India,"An explosive device detonated near a vehicle carrying police officers and polling officials in Sikaripara city, Jharkhand state, India. Eight people, including five police officers and three polling officials, were killed and ten others were wounded in the blast. No group claimed responsibility for the incident; however; sources attributed the attack to Maoists.",2014/4/24,8.0,10.0,1
1010,Maoists,74.0,three police,South Asia,India,"Assailants opened fire on a joint military team near Ramaram village, Chhattisgarh state, India. Ten assailants were killed and eight people, including five assailants and three police officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",2014/7/28,10.0,8.0,0
853,Maoists,64.0,least four,South Asia,India,"An explosive device detonated on a railway track near Chhapra town, Bihar state, India. A Delhi-Dibrugarh Rajdhani Express train was derailed in the blast, which killed at least four people and injured 13 others. This was one of two bombings targeting trains in Bihar on the same day. No group claimed responsibility; however, officials suspect that Maoists were behind the attack.",2014/6/25,4.0,13.0,1
