,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
26,Basque Fatherland and Freedom (ETA),143.0,broken underground,Western Europe,Spain,"On Wednesday night around 0400, in Burgos, Spain, 46 people were slightly injured when a car bomb, planted by suspected members of the Basque separatist group ETA (Basque Homeland and Freedom), exploded outside a police compound in northern Spain. The blast, which occurred in the city of Burgos, ripped away most of the outer wall of the 14-storey barracks, and gouged a crater that had been filled with water from broken underground pipes.",2009/7/29,0.0,46.0,1,Spain,Western Europe
29,Basque Fatherland and Freedom (ETA),11.0,causing minor,Western Europe,Spain,"On Sunday, in Palma, Islas Baleares, Spain, an improvised explosive device exploded in the La Rigoletta restaurant, damaging the restaurant and causing minor injuries after the bar was warned of an imminent blast. Basque Fatherland and Liberty (ETA) claimed responsibility.",2009/8/9,0.0,2.0,1,Spain,Western Europe
27,Basque Fatherland and Freedom (ETA),10.0,civil guard,Western Europe,Spain,"On Thursday afternoon at about 1400, near Calvia, Islas Baleares, Spain, assailants detonated an improvised explosive device (IED) that was attached to a Civil Guard vehicle, killing two Civil Guard officers and destroying the vehicle. Authorities found a second IED attached to a nearby vehicle and safely defused it. Basque Fatherland and Liberty (ETA) claimed responsibility.",2009/7/30,2.0,0.0,-9,Spain,Western Europe
33,Revolutionary Struggle,8.0,anonymous warning,Western Europe,Greece,"On Wednesday morning at 0538, in one of two related attacks, in Athens, Attiki, Greece, assailants detonated a vehicle borne improvised explosive device outside the Athens stock exchange, wounding a civilian and damaging the building and several cars. The attack was preceded by anonymous warning calls to the newspaper Eleftherotypia about 40 minutes before the attack, but no motive was reported. No group claimed responsibility but police suspected a far-left militant group called the Revolutionary Struggle to be responsible for the attack. This is one of two related attacks.",2009/9/2,0.0,1.0,1,Greece,Western Europe
20,Conspiracy of Cells of Fire,5.0,incendiary device,Western Europe,Greece,"On Tuesday night at 0435, in the Stavroupolis area of Thessaloniki, Thessaloniki, Greece, an incendiary device made with a timing mechanism and large gas canister exploded in a police station under construction, causing minor damage but no casualties. No motive for the attack was reported and the Conspiracy of Fire Nuclei claimed responsibility",2009/5/19,0.0,0.0,1,Greece,Western Europe
25,Conspiracy of Cells of Fire,5.0,three nearby,Western Europe,Greece,"On Saturday night at about 0400, in the Palaion Faliron area of Athens, Attiki, Greece, an improvised explosive device rigged with a timer, detonated in front of the residence belonging to the former deputy Greek police minister, damaging a building and three nearby vehicles but causing no casualties. About 30 minutes before the attack, police received an anonymous telephone tip about the bomb, allowing the police to evacuate the area. No motive for the attack was reported and the group Conspiracy of Fire Nuclei was responsible.",2009/7/11,0.0,0.0,1,Greece,Western Europe
23,Revolutionary Struggle,5.0,wheelchair access,Western Europe,Greece,"On Friday night at 0437, in Ambelokipi, Athens, Attiki, Greece, a time bomb exploded outside a branch of McDonald's, causing extensive damage to the premises to the fast-food outlet, a tax office located above, and showered the sidewalk with broken glass and rubble but causing no casualties. Anonymous warning calls were made to two Athens newspapers naming the McDonald's food chain as the target, allowing police officers to cordon off the area before the explosion. The bomb comprised two kilograms of ammonium nitrate, had been placed under a ramp for wheelchair access outside the fast-food outlet and it was believed to attack being planned to coincide with America's Independence Day on 07/04/2009. No group has claimed responsibility, but the group Revolutionary Struggle is thought to be responsible.",2009/7/3,0.0,0.0,1,Greece,Western Europe
22,Conspiracy of Cells of Fire,5.0,widely believed,Western Europe,Greece,"On Saturday, in the early morning, in the Aghios Dimitrios area of Athens, Attiki, Greece, 25 assailants on motorcycles threw Molotov cocktails at an urban bus depot, destroying five buses, damaging three others but causing no injuries. No group claimed responsibility, although it was widely believed Conspiracy of Fire Nuclei was responsible.",2009/6/27,0.0,0.0,1,Greece,Western Europe
18,Irish Republican Extremists,5.0,sunday evening,Western Europe,Ireland,"On Sunday evening in Derry, Northern Ireland, assailants threw gasoline bombs at the residence belonging to a Member of Legislative Assembly (MLA), causing minor damage to the residence but no casualties. No group claimed responsibility, although it was widely believed dissident republicans were responsible.",2009/5/10,0.0,0.0,1,United Kingdom,Western Europe
17,Revolutionary Struggle,5.0,cetelem insurance,Western Europe,Greece,"On Saturday night at 0415, in the Kallithea area of Athens, Attiki, Greece, an improvised explosive device exploded outside an office building that houses an Alpha Bank branch and the offices of the Cetelem Insurance company, causing minor damage to the building but no casualties.  No group claimed responsibility, although it was widely believed the Revolutionary Struggle was responsible.",2009/4/11,0.0,0.0,1,Greece,Western Europe
