,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
9,Caucasus Emirate,205.0,least 18,Eastern Europe,Russia,"A suicide bomber detonated at the train station in Volgograd city, Volgograd oblast, Russia. In addition to the bomber, at least 18 people were killed, 35 people were injured and the station was severely damaged in the blast. Vilayat Dagestan, a subgroup of Caucasus Emirate, claimed responsibility for the attack and stated that it was a warning ahead of the Winter Olympics in Sochi and in retaliation for the killing of Muslims around the world.",2013/12/29,19.0,35.0,1,Russia,Eastern Europe
10,Caucasus Emirate,174.0,least 16,Eastern Europe,Russia,"A suicide bomber detonated on a trolley bus in Volgograd city, Volgograd oblast, Russia. In addition to the bomber, at least 16 people were killed and 28 others were injured in the blast. Vilayat Dagestan, claimed responsibility for the attack and stated that it was a warning ahead of the Winter Olympics in Sochi and in retaliation for the killing of Muslims around the world.",2013/12/30,17.0,28.0,1,Russia,Eastern Europe
3,Caucasus Emirate,157.0,least four,Eastern Europe,Russia,"An explosives-laden vehicle detonated outside of a court bailiffs' building in Makhachkala city, Republic of Dagestan republic, Russia. At least four people were killed and 44 others were injured in the explosion. This was one of two explosives-packed vehicles to detonate at the same location within a few minutes. This second explosion occurred after a crowd had gathered around the first explosion site. The Caucasus Emirate claimed responsibility for the incidents.",2013/5/20,4.0,44.0,1,Russia,Eastern Europe
5,Muslim extremists,53.0,stores selling,South Asia,Afghanistan,"An explosive device detonated near a grocery store selling alcohol in Makhachkala city, Dagestan republic, Russia. Sixteen people were injured in the attack. This was one of two attacks on stores selling alcohol in Makhachkala. No group claimed responsibility for the incident; however, sources suspected that Muslim fundamentalists were involved.",2013/8/4,0.0,16.0,1,Russia,Eastern Europe
1,Muslim extremists,13.0,interior ministry,South Asia,Afghanistan,"A suicide bomber detonated near the Interior Ministry office in Ordzhonikidzevskaya area, Ingushetia republic, Russia. The bomber was killed and a police officer was injured in the attack. No group claimed responsibility for the incident; however, sources suspect that Muslim Fundamentalists were involved.",2013/5/17,1.0,1.0,1,Russia,Eastern Europe
8,Neo-Nazi extremists,6.0,assailants attacked,Western Europe,Germany,"Two assailants attacked LaSky community center where a weekly meeting of Lesbian, Gay, Bisexual, and Transgender (LGBT) youth meeting was occurring in Saint Petersburg city, Saint Petersburg, Russia. The assailants attacked participants with air guns and baseball bats, injuring at least two people. No group claimed responsibility for the incident; however, sources attributed the attack to a Neo-Nazi group.",2013/11/3,0.0,2.0,0,Russia,Eastern Europe
0,Muslim extremists,5.0,islamic school,South Asia,Afghanistan,"Gunmen shot a teacher at an Islamic school in Gubden village, Republic of Dagestan, Russia. The teacher died in the attack. No group claimed responsibility for the incident; however, sources note that radical Islamic groups frequently attack more moderate individuals.",2013/3/3,1.0,0.0,0,Russia,Eastern Europe
2,Caucasus Emirate,5.0,explosion resulted,Eastern Europe,Russia,"An explosives-laden vehicle detonated outside of a court bailiffs' building in Makhachkala city, Republic of Dagestan, Russia. The explosion resulted in no casualties. This was one of two explosives-packed vehicles to detonate at the same location within a few minutes; the second explosion targeted first responders. The Caucasus Emirate claimed responsibility for the incidents.",2013/5/20,0.0,0.0,1,Russia,Eastern Europe
4,Muslim extremists,3.0,rabbi ovadia,South Asia,Afghanistan,"An assailant opened fire on Rabbi Ovadia Isakov in Derbent city, Dagestan republic, Russia. Isikoff, a Chabad emissary, was injured in the attack. No group claimed responsibility for the incident; however, authorities attributed the attack to Muslim fundamentalists.",2013/7/25,0.0,1.0,0,Russia,Eastern Europe
6,Muslim extremists,0.0,kristal grocery,South Asia,Afghanistan,"An explosive device deonated near the Kristal grocery store which was selling alcohol in Makhachkala city, Dagestan republic, Russia. There were no reported casualties or damages. This was one of two attacks on stores selling alcohol in Makhachkala. No group claimed responsibility for the incident; however, sources suspected that Muslim fundamentalists were involved.",2013/8/4,0.0,0.0,0,Russia,Eastern Europe
7,Caucasus Emirate,15.0,nizhniye achaluki,Eastern Europe,Russia,"Gunmen opened fire on the vehicle of Akhmed Kotiev in Nizhniye Achaluki town, Ingushetia republic, Russia. Kotiev, the head of the Ingushetia Security Council, was killed in the attack along with his driver. The Vilayat Galgayche (Ingushetia) section of Caucasus Emirate claimed responsibility for the incident, stating that Kotiev was targeted because he was the head of an organization which was waging a war against Islam.",2013/8/27,2.0,0.0,1,Russia,Eastern Europe
