,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
3,Uighur Separatists,594.0,least four,East Asia,China,"Assailants attacked a train station in Kunming city, Yunnan province, China. At least four assailants and 29 other people were killed in the attack. Additionally, at least 143 people were wounded. Uighur separatists claimed responsibility for the incident.",2014/3/1,33.0,143.0,0,China,East Asia
9,Uighur Separatists,467.0,five suicide,East Asia,China,"Five suicide bombers detonated two explosives-laden vehicles at a market in Urumqi city, Xinjiang region, China. In addition to five suicide bombers, 31 people were killed and 94 others were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2014/5/22,36.0,94.0,1,China,East Asia
13,Eastern Turkistan Islamic Movement (ETIM),266.0,wounded across,Middle East & North Africa,Turkey,"Assailants attacked Government of China offices and a Chinese Police station in Elixku town, Xinjiang province, China. This was one of two related attacks in Xinjiang province on July 28, 2014. In addition to 59 assailants, 37 people were killed and 13 others were wounded across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Eastern Turkistan Islamic Movement (ETIM).",2014/7/28,48.0,7.0,1,China,East Asia
14,Eastern Turkistan Islamic Movement (ETIM),263.0,wounded across,Middle East & North Africa,Turkey,"Assailants attacked civilians and vehicles in Huangdi town, Xinjiang province, China. This was one of two related attacks in Xinjiang province on July 28, 2014. In addition to 59 assailants, 37 people were killed and 13 others were wounded across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Eastern Turkistan Islamic Movement (ETIM).",2014/7/28,48.0,6.0,1,China,East Asia
7,Eastern Turkistan Islamic Movement (ETIM),252.0,least one,Middle East & North Africa,Turkey,"Two suicide bombers detonated inside a train station in Urumqi city, Xinjiang province, China. In addition to the two bombers, at least one person was killed and 79 others were wounded in the blast. The Eastern Turkistan Islamic Movement (ETIM) claimed responsibility for the attack.",2014/4/30,3.0,79.0,-9,China,East Asia
20,Uighur Separatists,182.0,including four,East Asia,China,"Four assailants attacked police officers and civilians at a farmers market with knives and explosives in Bachu district, Kashgar prefecture, Xinjiang region, China. At least 22 people, including four assailants, were killed and 24 people were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Uighur separatists.",2014/10/12,22.0,24.0,-9,China,East Asia
2,Anti-Police extremists,5.0,kita ward,North America,United States,"A gas cylinder bomb detonated in the parking lot of a department store in Kita Ward area, Sapporo city, Hokkaido prefecture, Japan. No casualties were reported. In a letter sent to a news outlet in April, an anonymous individual claimed responsibility for this and four similar blasts that took place betwen January and April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/2/20,0.0,0.0,1,Japan,East Asia
0,Anti-Police extremists,5.0,kita ward,North America,United States,"A gas cylinder bomb detonated in the parking lot of a police station in Kita Ward area, Sapporo city, Hokkaido prefecture, Japan. It is unknown if there were any casualties in the blast. In a letter sent to a news outlet in April, an anonymous individual claimed responsibility for this and four similar blasts that took place between January and April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May, 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/1/27,0.0,0.0,1,Japan,East Asia
6,Anti-Police extremists,0.0,police apartment,North America,United States,"Three gas cylinder bombs detonated in front of a police apartment building in Kita Ward area, Sapporo city, Hokkaido prefecture, Hokkaido region, Japan. No one was injured in the blast. In a letter sent to a news outlet In April, an anonymous individual claimed responsibility for this and four similar blasts that took place from January-April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May, 2014, police arrested Sanae Nasukawa in connection with the blasts. Nasukawa denied being responsible for the attacks, and while she was in police custody, two more gas cylinder attacks took place in the area. Police dismissed these incidents as ""copycat"" crimes.",2014/4/3,0.0,0.0,-9,Japan,East Asia
1,Uighur Separatists,72.0,laden vehicles,East Asia,China,"Assailants in explosives-laden vehicles carried out an attack in Wushi district, Xinjiang province, China. It is unclear if the explosives detonated as planned or if police officers opened fire, but at least 11 assailants were killed, and two Xinjiang Public Security Bureau (PSB) officers and two civilians were wounded. No group claimed responsibility; however, sources attributed the incident to Uighur separatists.",2014/2/14,11.0,4.0,1,China,East Asia
4,Anti-Police extremists,0.0,kita ward,North America,United States,"An explosive device detonated in the parking lot of a department store in Kita Ward area, Sapporo city, Japan. There were no reported casualties in the attack. In a letter sent to a news outlet in April 2014, an anonymous individual claimed responsibility for this and four similar blasts that took place between January-April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May, 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/3/18,0.0,0.0,-9,Japan,East Asia
5,Anti-Police extremists,0.0,kita ward,North America,United States,"An explosive device detonated in the parking lot of a department store in Kita Ward area, Sapporo city, Japan. There were no reported casualties in the attack. In a letter sent to a news outlet in April 2014, an anonymous individual claimed responsibility for this and four similar blasts that took place between January-April, 2014. In the letter, the individual expressed a number of grievances with the local police. In May of 2014, police arrested Sanae Nasukawa in connection with the blasts.",2014/3/27,0.0,0.0,-9,Japan,East Asia
