,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
144,Abu Sayyaf Group (ASG),264.0,philippine marine,Southeast Asia,Philippines,"Assailants opened fire on Philippine Marine Corps (PMC) personnel in Buhanginan village, Sulu province, Philippines. At least 27 people, including one soldier and 26 assailants, were killed and 43 others, including 19 soldiers and 24 assailants, were injured in the assault. No group claimed responsibility; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2014/4/29,27.0,43.0,-9,Philippines,Southeast Asia
507,Bangsamoro Islamic Freedom Movement (BIFM),157.0,passenger bus,Southeast Asia,Philippines,"An explosive device planted on a passenger bus detonated in Maramag town, Bukidnon province, Philippines. At least ten people were killed and 34 people were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM), which denied involvement.",2014/12/9,10.0,34.0,1,Philippines,Southeast Asia
298,Abu Sayyaf Group (ASG),156.0,least 23,Southeast Asia,Philippines,"Assailants opened fired on two vehicles carrying civilians in Lumapid village, Sulu province, Philippines. At least 23 people were killed and 12 others were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2014/7/28,23.0,12.0,1,Philippines,Southeast Asia
294,Separatists,125.0,holiday hill,Western Europe,Spain,"An explosives-laden vehicle detonated outside the Holiday Hill Hotel in Betong district, Yala province, Thailand. Three people were killed and 35 others were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to separatists.",2014/7/25,3.0,35.0,1,Thailand,Southeast Asia
534,Bangsamoro Islamic Freedom Movement (BIFM),111.0,north cotabato,Southeast Asia,Philippines,"An explosive device detonated in a market in Mlang town, North Cotabato province, Philippines. Two people were killed and 32 others were wounded in the blast. No group claimed responsibility for the incident; however, authorities attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",2014/12/31,2.0,32.0,1,Philippines,Southeast Asia
280,New People's Army (NPA),91.0,group claimed,Southeast Asia,Philippines,"Assailants attacked the residence of Calpito Egua, a village chief, in Prosperidad municipality, Agusan del Sur province, Philippines. In addition to 12 assailants, four people were killed and two others, including Egua, were injured in the attack. This was one of four related attacks carried out by the New People's Army (NPA) in Agusan del Sur province on July 15, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA).",2014/7/15,16.0,2.0,1,Philippines,Southeast Asia
480,Bangsamoro Islamic Freedom Movement (BIFM),86.0,north cotabato,Southeast Asia,Philippines,"An explosive device detonated inside a billiards hall in Mlang town, North Cotabato province, Philippines. At least three civilians were killed and 22 others were injured in the blast. No group claimed responsibility; however, officials attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",2014/11/23,3.0,22.0,1,Philippines,Southeast Asia
495,New People's Army (NPA),81.0,san fernando,Southeast Asia,Philippines,"An explosive device detonated and assailants then opened fire on Filipino military personnel in San Fernando town, Bukidnon province, Philippines. At least five people, including assailants and soldiers, were killed, while 17 other people were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA).",2014/12/3,5.0,17.0,1,Philippines,Southeast Asia
248,Abu Sayyaf Group (ASG),69.0,kabbon takas,Southeast Asia,Philippines,"Assailants launched mortars at a military detachment in Kabbon Takas village, Sulu province, Philippines. Six soldiers were killed and 13 others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2014/6/19,6.0,13.0,-9,Philippines,Southeast Asia
104,New People's Army (NPA),61.0,group claimed,Southeast Asia,Philippines,"A landmine detonated against a military vehicle in Asbang village, Matanao town, Davao del Sur province, Philippines. The vehicle was responding to a clash after earlier attacks on a military detachment and a police station. Seven soldiers were killed and at least seven others were injured in the blast. This was one of three related incidents that occurred in Matanao on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to the New People's Army (NPA).",2014/3/10,7.0,7.0,1,Philippines,Southeast Asia
