,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
9,Uighur Separatists,180.0,least 33,East Asia,China,"Assailants armed with knives and explosives attacked a police checkpoint in Tahtakoruk district, Kashgar city, Xinjiang region, China. At least 33 people were killed and five others were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2015/6/22,33.0,5.0,-9,China,East Asia
2,Uighur Separatists,67.0,group claimed,East Asia,China,"Assailants attacked Fang Kezheng in Yarkant district, Xinjiang province, China. Kezheng, a commander of the People's Armed Police (PAP), was killed along with his wife, his wife's uncle, and a security guard. Seven assailants were also killed and four civilians were wounded when security forces responded. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur Separatists.",2015/3/8,11.0,4.0,0,China,East Asia
0,Uighur Separatists,61.0,group claimed,East Asia,China,"A suicide bomber detonated targeting a police officer in Hotan district, Xinjiang region, China. As many as eight people were killed and seven wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2015/2/13,8.0,7.0,-9,China,East Asia
1,Uighur Separatists,32.0,group claimed,East Asia,China,"Assailants, armed with knives, attacked civilians at a train station in Guangzhou city, Guangdong province, China. One assailant was killed and nine people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2015/3/6,1.0,9.0,0,China,East Asia
3,Uighur Separatists,,uyghur police,East Asia,China,"Assailants kidnapped Imin Mentimin in Baghchi township, Hotan district, Xinjiang province, China. The whereabouts of Mentimin, an Uyghur police chief, are unknown. No group claimed responsibility for the incident; however, sources attributed the abduction to Uighur Separatists.",2015/3/9,,,0,China,East Asia
4,Uighur Separatists,55.0,police opened,East Asia,China,"Assailants armed with knives attacked civilians outside of a casino in Kashgar city, Xinjiang province, China. Eight civilians were wounded in the attack, and four assailants were killed and two were wounded when police opened fire on them. No group claimed responsibility for the incident; however, the assailants were identified as Uighur Separatists.",2015/3/12,4.0,10.0,1,China,East Asia
5,Uighur Separatists,15.0,group claimed,East Asia,China,"An assailant threw an explosive device at a police checkpoint in Hotan town, Xinjiang province, China. Two police officers and one assailant were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur Separatists.",2015/5/11,3.0,0.0,0,China,East Asia
6,Uighur Separatists,27.0,two suicide,East Asia,China,"Two suicide bombers detonated explosives at a police checkpoint in Hotan town, Xinjiang province, China. In addition to the two suicide bombers, one police officer was killed and four officers were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur Separatists.",2015/5/12,3.0,4.0,-9,China,East Asia
7,Uighur Separatists,10.0,group claimed,East Asia,China,"Assailants attacked a police patrol in Zawa township, Xinjiang province, China. Two assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2015/5/26,2.0,0.0,0,China,East Asia
8,Uighur Separatists,5.0,group claimed,East Asia,China,"An assailant attempted to attack a line of passengers at a railway station in Xian city, Shaanxi province, China. The assailant was killed by police before being able to successfully complete the attack. No group claimed responsibility for the incident; however, authorities attributed the attack to Uighur separatists.",2015/6/17,1.0,0.0,0,China,East Asia
10,Uighur Separatists,,least 50,East Asia,China,"Assailants armed with knives attacked the Sogan Colliery coal mine in Baicheng county, Aksu prefecture, Xinjiang region, China. At least 50 people, including five police officers, were killed as a result of the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur Separatists.",2015/9/18,50.0,,0,China,East Asia
