,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
4,Muslim extremists,36.0,mohammad youssuf,South Asia,Afghanistan,"An assailant opened fire on the Navy Operational Support Center in Chattanooga, Tennessee, United States. Five military personnel and the assailant were killed and two people, including a police officer and a Marine recruiter, were injured in the attack. This was one of two attacks carried out by the same assailant within a short period of time; before targeting the support center, the assailant had opened fire on a recruiting office. No group claimed responsibility for the incident; however, the assailant was later identified as Mohammad Youssuf Abdulazeez.",2015/7/16,6.0,2.0,0,United States,North America
0,Anti-Muslim extremists,15.0,yusor mohammad,North America,United States,"An assailant opened fire on Deah Shaddy Barakat, Yusor Mohammad Abu-Salha, and Razan Mohammad Abu-Salha at their residence in Chapel Hill, North Carolina, United States. The three family members were killed in the assault. No group claimed responsibility; however, authorities arrested and indicted Craig Stephen Hicks for the triple homicide. Sources were unsure whether the assailant was motivated by Islamophobic feelings or if the attack was the result of a parking dispute.",2015/2/10,3.0,0.0,0,United States,North America
8,Pagan Sect of the Mountain,5.0,nine coordinated,North America,Mexico,"An explosive device detonated on a Mexibus passenger bus in Ecatepec neighborhood, Mexico City, Mexico. There were no reported casualties in the blast. This was one of nine coordinated attacks on state-run buses in Mexico city on this day. Pagan Sect of the Mountain claimed responsibility for the incident and demanded a halt to the destruction of nature.",2015/10/31,0.0,0.0,1,Mexico,North America
19,Anti-Muslim extremists,5.0,assailants set,North America,United States,"Assailants set fire to Jubba Cafe, a restaurant owned by a Somali-Muslim, in Grand Forks, North Dakota, United States. There were no reported casualties in the attack, but the building was damaged in the blaze. No group claimed responsibility for the incident; however, sources attributed the attack to an individual identified as Matthew Gust.",2015/12/8,0.0,0.0,1,United States,North America
17,Anti-Muslim extremists,5.0,hijrah islamic,North America,United States,"An assailant threw incendiary devices at Dar Al-Hijrah Islamic Center in Falls Church, Virginia, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, an individual, identified as Chester H. Gore, was arrested in connection with the attack.",2015/11/19,0.0,0.0,1,United States,North America
1,Animal Liberation Front (ALF),5.0,kentucky fried,Western Europe,United Kingdom,"Assailants threw an incendiary device at a Kentucky Fried Chicken (KFC) in Reno, Nevada, United States. No one was injured in the attack, but a window was damaged. The Animal Liberation Front (ALF) claimed responsibility for the incident.",2015/3/9,0.0,0.0,1,United States,North America
9,Pagan Sect of the Mountain,5.0,nine coordinated,North America,Mexico,"An explosive device detonated on a Mexibus passenger bus in Ecatepec neighborhood, Mexico City, Mexico. There were no reported casualties in the blast. This was one of nine coordinated attacks on state-run buses in Mexico city on this day. Pagan Sect of the Mountain claimed responsibility for the incident and demanded a halt to the destruction of nature.",2015/10/31,0.0,0.0,1,Mexico,North America
7,Pagan Sect of the Mountain,5.0,nine coordinated,North America,Mexico,"An explosive device detonated on a Mexibus passenger bus in Ecatepec neighborhood, Mexico City, Mexico. There were no reported casualties in the blast. This was one of nine coordinated attacks on state-run buses in Mexico city on this day. Pagan Sect of the Mountain claimed responsibility for the incident and demanded a halt to the destruction of nature.",2015/10/31,0.0,0.0,1,Mexico,North America
3,Muslim extremists,5.0,two attacks,South Asia,Afghanistan,"An assailant opened fire on a military recruiting office in Chattanooga, Tennessee, United States. There were no reported casualties resulting from the assault. This was one of two attacks carried out by the same assailant within a short period of time; after targeting the office, the assailant attacked a military training center in the area. No group claimed responsibility for the incidents; however, the assailant was later identified as Mohammad Youssuf Abdulazeez.",2015/7/16,0.0,0.0,1,United States,North America
2,Animal Liberation Front (ALF),5.0,animal liberation,Western Europe,United Kingdom,"Assailants ignited incendiary devices targeting trucks of Harlan Laboratories in Mississauga, Ontario, Canada. There were no casualties in the attack; however, two trucks were damaged by the fire. Animal Liberation Front (ALF) claimed responsibility for the incident, stating that the group targeted the company because it supplies animals for laboratory research.",2015/6/7,0.0,0.0,1,Canada,North America
15,Right-wing extremists,0.0,confederate flag,Western Europe,Germany,"An assailant threw an explosive device at a Walmart in Tupelo, Mississippi, United States. There were no reported casualties in the blast. An individual, identified as Marshall E. Leonard, claimed responsibility for the incident. Sources posited that Leonard targeted the Walmart because it stopped selling Mississippi state flags containing the Confederate flag symbol.",2015/11/1,0.0,0.0,-9,United States,North America
5,Muslim extremists,0.0,slay infidels,South Asia,Afghanistan,"An assailant dressed in tactical gear and armed with a handgun threatened church-goers at the Corinth Missionary Baptist Church in Bullard, Texas, United States. The pastor of the church, John Johnson, was able to calm the perpetrator down, at which point he fled. Before fleeing, the assailant, identified as Rasheed Abdul Aziz, told the pastor that he had been sent by Allah to ""slay infidels."" Aziz was arrested the following day.",2015/9/13,0.0,0.0,0,United States,North America
