,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
440,Islamic State of Iraq and the Levant (ISIL),4520.0,least three,Middle East & North Africa,Iraq,"Assailants fired 60 rockets holding mustard gas at Taza Khurmatu, Kirkuk, Iraq. At least three children were killed and approximately 1,500 people were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",2016/3/9,3.0,1500.0,1,Iraq,Middle East & North Africa
1325,Islamic State of Iraq and the Levant (ISIL),2520.0,least 382,Middle East & North Africa,Iraq,"A suicide bomber detonated an explosives-laden vehicle at a shopping center in Karada neighborhood, Baghdad, Iraq. In addition to the bomber, at least 382 people were killed and 200 others were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",2016/7/3,383.0,200.0,1,Iraq,Middle East & North Africa
237,Islamic State of Iraq and the Levant (ISIL),1500.0,security force,Middle East & North Africa,Iraq,"Assailants executed 300 civilian activists and security force members in Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",2016/2/7,300.0,0.0,0,Iraq,Middle East & North Africa
1540,Kurdistan Workers' Party (PKK),676.0,suicide bomber,Middle East & North Africa,Turkey,"A suicide bomber detonated an explosives-laden vehicle at a police station in Elazig, Turkey. In addition to the assailant, at least three police officers were killed and 217 people, including officers and civilians, were injured in the blast. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident; however, sources also attributed the attack to the Fetullah Terrorist Organization.",2016/8/18,4.0,217.0,1,Turkey,Middle East & North Africa
45,Tripoli Province of the Islamic State,635.0,victims included,Middle East & North Africa,Libya,"A suicide bomber detonated an explosives-laden vehicle at a police training facility in Suq al-Thulatha neighborhood, Misrata district, Libya. In addition to the assailant, at least 65 people were killed and 100 people were injured in the blast; the victims included civilians and police officers. The Tripoli Province of the Islamic State claimed responsibility for the incident.",2016/1/7,66.0,100.0,1,Libya,Middle East & North Africa
1585,Kurdistan Workers' Party (PKK),301.0,turkish national,Middle East & North Africa,Turkey,"A suicide bomber detonated an explosives-laden vehicle near a Turkish National Police (EGM) checkpoint in Cizre, Sirnak, Turkey. In addition to the bomber, at least 12 people were killed and 77 others, 74 officers and three civilians, were injured in the blast. The Kurdistan Workers' Party (PKK) claimed responsibility and stated that the attack was carried out in retaliation for the detainment of PKK leader Abdullah Ocalan.",2016/8/26,13.0,77.0,1,Turkey,Middle East & North Africa
2362,Sinai Province of the Islamic State,288.0,suicide bomber,Middle East & North Africa,Egypt,"A suicide bomber detonated at a Coptic Church in Abassiya, Cairo, Egypt. In addition to the assailant, at least 28 people were killed and 46 other people were injured in the blast. The Sinai Province of the Islamic State claimed responsibility for the attack; however, sources doubted the veracity of the claim and instead attributed the attack to the Muslim Brotherhood.",2016/12/11,29.0,46.0,1,Egypt,Middle East & North Africa
1448,Kurdistan Workers' Party (PKK),250.0,security forces,Middle East & North Africa,Turkey,"Assailants attempted to attack a military base in Cukurca, Hakkari, Turkey. Security forces repelled the attack, killing 35 assailants and injuring 25 others. No group claimed responsibility for the incident; however, sources attributed the attempted attack to the Kurdistan Workers' Party (PKK).",2016/7/30,35.0,25.0,0,Turkey,Middle East & North Africa
82,Sinai Province of the Islamic State,224.0,including four,Middle East & North Africa,Egypt,"Assailants opened fire on Egyptian Army soldiers constructing a checkpoint between Al Muqataah and At Tumah, North Sinai governorate, Egypt. At least 34 people, including four soldiers and 30 assailants, were killed and 18 others, including 8 soldiers and 10 assailants, were injured in the ensuing clash. The Sinai Province of the Islamic State claimed responsibility for the attack.",2016/1/14,34.0,18.0,-9,Egypt,Middle East & North Africa
1681,Houthi extremists (Ansar Allah),210.0,least 24,Middle East & North Africa,Yemen,"Assailants attacked military forces in Dukhan Mountains area, Jazan region, Saudi Arabia. At least 24 assailants were killed and 30 assailants were injured in the ensuing clash. Huthi extremists claimed responsibility for the incident.",2016/9/15,24.0,30.0,0,Saudi Arabia,Middle East & North Africa
1098,Houthi extremists (Ansar Allah),180.0,huthi extremists,Middle East & North Africa,Yemen,"Assailants fired rockets that struck a market in Taizz, Yemen. At least 17 civilians were killed and 30 civilians were injured in the attack. No group claimed responsibility for the incident; however, sources suspected that Huthi extremists carried out the attack.",2016/6/3,17.0,30.0,1,Yemen,Middle East & North Africa
1349,Houthi extremists (Ansar Allah),178.0,security forces,Middle East & North Africa,Yemen,"Assailants attacked a security forces camp in Taizz, Yemen. At least 26 people, including 23 assailants and three soldiers, were killed and sixteen people were wounded in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Huthi extremists.",2016/7/7,26.0,16.0,-9,Yemen,Middle East & North Africa
985,Tripoli Province of the Islamic State,160.0,two related,Middle East & North Africa,Libya,"A suicide bomber detonated an explosives-laden vehicle targeting military forces near Sirte, Libya. This was one of two related attacks on military personnel in the area on this date. In addition to the assailants, at least 32 soldiers were killed and 50 soldiers were injured across both blasts. The Tripoli Province of the Islamic State claimed responsibility for the incidents.",2016/5/18,17.0,25.0,-9,Libya,Middle East & North Africa
984,Tripoli Province of the Islamic State,160.0,two related,Middle East & North Africa,Libya,"A suicide bomber detonated an explosives-laden vehicle targeting military forces in Buairat el-Hassun, Sirte, Libya. This was one of two related attacks on military personnel in the area on this date. In addition to the assailants, at least 32 soldiers were killed and 50 soldiers were injured across both blasts. The Tripoli Province of the Islamic State claimed responsibility for the incidents.",2016/5/18,17.0,25.0,-9,Libya,Middle East & North Africa
1958,Sinai Province of the Islamic State,153.0,area 40,Middle East & North Africa,Egypt,"Assailants attacked a military checkpoint in an area 40 kilometers from Bir al-Abd in North Sinai, Egypt. Twenty-seven people, including 12 soldiers and 15 assailants, were killed and six soldiers and an unknown number of assailants were injured in the ensuing clash. The Sinai Province of the Islamic State claimed responsibility for the incident.",2016/10/14,27.0,6.0,0,Egypt,Middle East & North Africa
