,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
11,Anti-Police extremists,30.0,hated police,North America,United States,"An assailant shot and injured police sergeant Sylvia Young in Philadelphia, Pennsylvania, United States. When officers responded, the assailant proceeded to shoot at additional targets, including people sitting in a tavern and in a vehicle, and another police officer in an alley. The assailant and one civilian were killed and five people, including two police officers, were injured in the attack. Nicholas Glenn claimed responsibility for the incident and stated in a note left at the scene that he hated police officers.",2016/9/16,2.0,5.0,1,United States,North America
7,Anti-Police extremists,29.0,recent racial,North America,United States,"An assailant opened fire on police in Baton Rouge, Louisiana, United States. Four people, including three police officers and the assailant, were killed and three officers were injured in the assault. Sources identified the assailant as Gavin Long and while his specific motive is unknown, Long's social media presence indicated that the attack may have been related to recent racial tensions.",2016/7/17,4.0,3.0,0,United States,North America
5,Anti-Police extremists,22.0,assailant opened,North America,United States,"An assailant opened fire on police officers and civilians in Bristol, Tennessee, United States. One person was killed and four others, including a police officer and the assailant, were injured in the attack. Lakeem Keon Scott claimed responsibility for the incident and stated that he carried out the attack because he was upset with the deaths of African Americans by authorities in Louisiana and Minnesota. Additionally, witnesses reported Scott shouting, ""Police suck! Black lives matter!"" during the attack.",2016/7/7,1.0,4.0,1,United States,North America
2,Muslim extremists,17.0,wounded four,South Asia,Afghanistan,"A machete-wielding assailant attacked and wounded four people in Nazareth Restaurant & Deli in Columbus, Ohio, United States. Police shot and killed the assailant after he fled the restaurant. No group claimed responsibility for the incident; however sources identified the assailant as Mohamed Barry, who shouted ""Allahu Akbar"" immediately before the attack.",2016/2/11,1.0,4.0,0,United States,North America
4,White extremists,9.0,stephen sorensen,North America,United States,"Three assailants armed with knives attacked a group of Hispanic teenagers playing soccer at Stephen Sorensen Park in Lake Los Angeles, California, United States. At least two people suffered minor injuries in the assault. The three assailants, identified as Ian Justine Plankey, Richard Lawrence Daulton, and Kevin Matthew Stewart, were arrested following the incident. During the attack, they shouted white supremacist statements and racial slurs, including ""Heil Hitler, AV Skins.""",2016/2/28,0.0,3.0,0,United States,North America
6,Anti-Muslim extremists,5.0,islamic community,North America,United States,"An assailant opened fire on an Islamic Community center in College Station, Texas, United States. There were no reported casualties in the assault. No group claimed responsibility; however, sources suspected that the attack was carried out by anti-Muslim extremists.",2016/7/7,0.0,0.0,1,United States,North America
9,Anti-Muslim extremists,5.0,joseph michael,North America,United States,"An assailant set fire to the Islamic Center mosque in Fort Pierce, Florida, United States. There were no reported casualties in the attack. Joseph Michael Schreiber was arrested and claimed responsibility for the incident.",2016/9/12,0.0,0.0,1,United States,North America
10,Anti-Muslim extremists,5.0,ibrahim jame,North America,United States,"An assailant set fire to Ibrahim Jame Mosque in Hamilton, Ontario, Canada. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources identified the assailant, Keith Frederick, as an anti-Muslim extremist.",2016/9/14,0.0,0.0,1,Canada,North America
0,Muslim extremists,3.0,least one,South Asia,Afghanistan,"Two assailants opened fire on TenX nightclub in Calgary, Alberta, Canada. At least one person was injured in the assault. No group claimed responsibility; however, sources identified the assailants as Mohamed Elmi and Mohamed Salad.",2016/1/10,0.0,1.0,0,Canada,North America
3,White extremists,3.0,court ericson,North America,United States,"An assailant armed with a hatchet attacked Zhang Yue, an 18-year-old Chinese exchange student, in Nashville, Indiana, United States. Yue was injured in the assault. Authorities arrested Dana Ericson, who confessed to the attack, self-identified as a white supremacist, and indicated that his goal was ethnic cleansing. In court Ericson stated that he was ""trying to start a revolution.""",2016/2/18,0.0,1.0,0,United States,North America
1,Anti-Muslim extremists,3.0,new york,North America,United States,"Assailants attacked a Muslim civilian from Bangladesh in Bronx, New York City, United States. The civilian was injured in the assault. No group claimed responsibility; however, sources noted that the two assailants shouted ""ISIS, ISIS"" at the victim during the attack.",2016/1/15,0.0,1.0,0,United States,North America
8,Anti-Police extremists,5.0,parked police,North America,United States,"An assailant threw an incendiary device at a parked police vehicle in Daytona Beach, Florida, United States. There were no reported casualties in the attack. An unknown anti-police extremist group claimed responsibility for the incident in a note left at the scene and stated ""Black Lives Matter"" while also mentioning Alton Sterling and Philando Castile.",2016/7/17,0.0,0.0,1,United States,North America
