,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
375,Tehrik-i-Taliban Pakistan (TTP),1453.0,least 78,South Asia,Pakistan,"A suicide bomber detonated at Gulishan-e-Iqbal Park in Lahore, Punjab, Pakistan. In addition to the bomber, at least 78 people were killed and more than 350 others were injured in the blast. Jamaat-ul-Ahrar, a faction of the Tehrik-i-Taliban Pakistan (TTP), claimed responsibility and stated that the attack targeted Christians celebrating Easter Sunday and was also in retaliation for military operations in the area.",2016/3/27,79.0,351.0,1,Pakistan,South Asia
484,Taliban,1401.0,taliban claimed,South Asia,Afghanistan,"A suicide bomber detonated an explosives-laden vehicle targeting a National Directorate for Security (NDS) building in Kabul, Afghanistan. Assailants then opened fire on civilians, security members, and government employees following the blast. In addition to the deaths of three assailants, at least 68 people were killed and 347 people were injured in the assault. The Taliban claimed responsibility for the attack. However, sources also attributed the incident to the Haqqani Network.",2016/4/19,71.0,347.0,1,Afghanistan,South Asia
1235,Taliban,1135.0,casualties included,South Asia,Afghanistan,"Assailants attacked Kunduz city, Kunduz, Afghanistan. At least 154 people were killed and 120 people were injured in the ensuing clashes which lasted until October 9, 2016. The casualties included assailants, security forces, and civilians. The Taliban claimed responsibility for the incident and demanded that the United States remove all American armed forces from Afghanistan.",2016/10/3,154.0,120.0,1,Afghanistan,South Asia
884,Khorasan Chapter of the Islamic State,1105.0,least 80,Middle East & North Africa,Iraq,"Two suicide bombers detonated targeting a Hazara protest in Kabul, Afghanistan. A third assailant was shot and killed before successfully detonating. In addition to the three assailants, at least 80 people were killed and 230 people were injured in the blasts. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",2016/7/23,83.0,230.0,-9,Afghanistan,South Asia
1104,Taliban,758.0,taliban claimed,South Asia,Afghanistan,"Assailants attacked Giro, Ghazni, Afghanistan. At least 80 assailants and five security personnel were killed and 111 people, including assailants, security forces and civilians, were wounded in the ensuing clash. The Taliban claimed responsibility for the incident.",2016/9/5,85.0,111.0,-9,Afghanistan,South Asia
978,Khorasan Chapter of the Islamic State,755.0,also claimed,Middle East & North Africa,Iraq,"A suicide bomber detonated outside a hospital in Quetta, Balochistan, Pakistan. In addition to the bomber, at least 74 people were killed and 125 others were injured in the blast. This was one of two attacks in Quetta on the same day; this blast targeted lawyers and journalists that had gathered at the hospital after a previous incident. The Khorasan Chapter of the Islamic State claimed responsibility for the attack, although officials questioned the veracity of the claim. Separately, the Jamaat-ul-Ahrar faction of Tehrik-i-Taliban Pakistan (TTP) also claimed responsibility for the incidents.",2016/8/8,75.0,125.0,1,Pakistan,South Asia
1434,Khorasan Chapter of the Islamic State,570.0,sources also,Middle East & North Africa,Iraq,"A suicide bomber detonated at the Shah Noorani shrine in Khuzdar district, Balochistan, Pakistan. In addition to the bomber, at least 52 people were killed and 100 others were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the attack; however, officials questioned the veracity of this claim. Sources also attributed the incident to Lashkar-e-Jhangvi.",2016/11/12,53.0,100.0,1,Pakistan,South Asia
1166,Tehrik-i-Taliban Pakistan (TTP),288.0,least 37,South Asia,Pakistan,"A suicide bomber detonated at a mosque in Pai Khan, Mohmand district, Federally Administered Tribal Areas, Pakistan. In addition to the bomber, at least 37 people were killed and 31 others were injured in the blast. The Jamaat-ul-Ahrar faction of Tehrik-i-Taliban Pakistan (TTP) claimed responsibility and stated that the attack was carried out in retaliation for military operations against the group.",2016/9/16,38.0,31.0,1,Pakistan,South Asia
1095,Tehrik-i-Taliban Pakistan (TTP),202.0,suicide bomber,South Asia,Pakistan,"A suicide bomber threw a grenade, opened fire, and detonated an explosives-laden vest at the district and sessions court in Mardan, Khyber Pakhtunkhwa, Pakistan. In addition to the bomber, at least 13 were killed and 44 others were injured in the blast. The Jamaat-ul-Ahrar faction of Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the attack.",2016/9/2,14.0,44.0,-9,Pakistan,South Asia
867,Communist Party of India - Maoist (CPI-Maoist),95.0,least six,South Asia,India,"Assailants detonated explosive devices and opened fire on Central Reserve Police Force (CRPF) personnel in Aurangabad district, Bihar, India. At least six assailants and 10 CRPF members were killed and five CRPF members were injured in the ensuing clash. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident.",2016/7/18,16.0,5.0,-9,India,South Asia
104,Communist Party of India - Maoist (CPI-Maoist),58.0,seven police,South Asia,India,"An explosive device detonated targeting police personnel near Kasiyar, Madhya Pradesh, India. Seven police officers were killed and six others were injured in the blast. In addition, an unknown number of police were reported missing; their whereabouts remain unknown. Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the death of Communist Party of India - Maoist (CPI-Maoist) members in Aurangabad district.",2016/1/27,7.0,6.0,1,India,South Asia
284,Maoists,54.0,joint commando,South Asia,India,"Assailants attacked a joint Commando Battalion for Resolute Action (COBRA) and District Reserve Group (DRG) team in Sukma district, Chhattisgarh, India. At least three soldiers were killed and 13 soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",2016/3/3,3.0,13.0,0,India,South Asia
329,Maoists,39.0,least 13,South Asia,India,"Sometime between March 1, 2016 and March 31, 2016, Assailants attacked Kumakoleng, Chhattisgarh, India. At least 13 civilians were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",2016/3/15,0.0,13.0,0,India,South Asia
317,Maoists,22.0,group claimed,South Asia,India,"Assailants attacked a Border Security Force (BSF) patrol in Becha village, Chhattisgarh, India. Two BSF members were killed while four others were wounded in the attack. No group claimed responsibility for the attack; however, sources attributed it to Maoists.",2016/3/12,2.0,4.0,0,India,South Asia
401,Communist Party of India - Maoist (CPI-Maoist),18.0,group claimed,South Asia,India,"Approximately 52 landmines detonated targeting a Central Reserve Police Force (CRPF) patrol in Topchanchi, Jharkhand, India. Following the blasts, assailants opened fire on the patrol. At least six CRPF members were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Communist Party of India - Maoist (CPI-Maoist).",2016/4/2,0.0,6.0,0,India,South Asia
