,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
81,Bangsamoro Islamic Freedom Movement (BIFM),128.0,sultan kudarat,Southeast Asia,Philippines,"Assailants threw grenades at a carnival in Poblacion neighborhood, Esperanza, Sultan Kudarat province, Philippines. At least one person was killed and 47 others were injured in the blasts. No group claimed responsibility; however, sources attributed the attack to the Bangsamoro Islamic Freedom Movement (BIFM).",2016/2/21,1.0,41.0,0,Philippines,Southeast Asia
349,Bangsamoro Islamic Freedom Movement (BIFM),110.0,simultaneous explosions,Southeast Asia,Philippines,"Simultaneous explosions occurred at an amateur boxing match in Hilongos, Leyte, Philippines. At least 35 people were injured in the blasts. No group claimed responsibility; however, sources suspected that the attack was carried out by the Bangsamoro Islamic Freedom Movement (BIFM) and the Maute Group.",2016/12/28,0.0,35.0,1,Philippines,Southeast Asia
235,Bangsamoro Islamic Freedom Movement (BIFM),71.0,least four,Southeast Asia,Philippines,"Assailants attacked military personnel in Meta, Maguindanao, Philippines. At least four people, including a civilian and three assailants, were killed and 17 others, including soldiers and assailants, were injured in the ensuing clash, which lasted until July 15, 2016. The Bangsamoro Islamic Freedom Movement (BIFM) claimed responsibility for the incident.",2016/7/13,4.0,17.0,0,Philippines,Southeast Asia
261,Runda Kumpulan Kecil (RKK),70.0,runda kumpulan,Southeast Asia,Thailand,"An explosive device detonated at Johnny Bar in Hua Hin, Prachuap Khiri Khan, Thailand. At least one person was killed and 20 people were injured in the blast. This was one of 13 coordinated attacks in southern Thailand overnight. The Runda Kumpulan Kecil (RKK) claimed responsibility for the incident and stated that the attack was carried out due to a lack of progress in peace negotiations between the government and armed groups in southern Thailand. In addition, sources attributed the attack to Barisan Revolusi Nasional (BRN); however, authorities expressed doubt as to the group's involvement.",2016/8/11,1.0,20.0,1,Thailand,Southeast Asia
69,New People's Army (NPA),64.0,six police,Southeast Asia,Philippines,"Assailants detonated an explosive device and opened fire on police officers responding to an earlier attack in Santa Margarita village, Cagayan province, Philippines. Eight people, including two assailants and six police officers, were killed and eight police officers were injured in the ensuing clash. This was one of two related attacks that occurred in Baggao on this date. The New People's Army (NPA) claimed responsibility for the incident and stated that the attack was carried out in response to environment and health violations committed by the Brostan Company through their mining operations.",2016/2/16,8.0,8.0,0,Philippines,Southeast Asia
93,Separatists,49.0,border patrol,Western Europe,Spain,"An explosives-laden vehicle detonated near a Border Patrol Police (BPP) base in Rusa Milae, Muang district, Pattani province, Thailand. At least seven police officer and three civilians were injured in the blast. This was one of two coordinated attacks in the district on the same day. Separatists claimed responsibility for the incident.",2016/2/27,7.0,3.0,1,Thailand,Southeast Asia
164,Runda Kumpulan Kecil (RKK),48.0,runda kumpulan,Southeast Asia,Thailand,"An explosive device detonated targeting the Chana train station in Chana, Songkhla, Thailand. At least two people were killed and 11 others were wounded in the blast. No group claimed responsibility for the incident; however, authorities attributed the attack to Runda Kumpulan Kecil (RKK) and Barisan Revolusi Nasional (BRN).",2016/4/11,2.0,11.0,1,Thailand,Southeast Asia
288,Runda Kumpulan Kecil (RKK),41.0,runda kumpulan,Southeast Asia,Thailand,"An explosives-laden motorcycle detonated targeting a school in Ban Taba, Narathiwat, Thailand. At least three people were killed and seven people were injured in the blast. The Runda Kumpulan Kecil (RKK) claimed responsibility for the incident and stated that the attack was carried out due to a lack of progress in peace negotiations between the Thai government and armed groups in southern Thailand.",2016/9/6,3.0,7.0,1,Thailand,Southeast Asia
13,Separatists,29.0,two coordinated,Western Europe,Spain,"An explosive device detonated at a karaoke bar in Thepa district, Songkhla province, Thailand. One person was killed and eight people were injured in the blast. This was one of two coordinated attacks at the bar on the same night. No group claimed responsibility for the incident; however, sources attributed the attack to separatists.",2016/1/18,1.0,8.0,-9,Thailand,Southeast Asia
199,Abu Sayyaf Group (ASG),26.0,least seven,Southeast Asia,Philippines,"Assailants threw a grenade at a military truck in Jolo, Sulu, Philippines. At least seven soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2016/5/18,0.0,7.0,1,Philippines,Southeast Asia
77,New People's Army (NPA),25.0,negros occidental,Southeast Asia,Philippines,"Assailants opened fire on police officers at Panapulan Bridge in Caningay village, Negros Occidental province, Philippines. At least two police officers were killed and five others were injured in the attack. The New People's Army (NPA) claimed responsibility for the incident.",2016/2/18,2.0,5.0,0,Philippines,Southeast Asia
138,New People's Army (NPA),23.0,least six,Southeast Asia,Philippines,"An explosive device detonated near an Armed Forces of the Philippines (AFP) vehicle in Mahawan-hawan, Camarines Norte, Philippines. At least six people, four soldiers and two civilians, were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the New People's Army (NPA).",2016/3/20,0.0,6.0,1,Philippines,Southeast Asia
337,Abu Sayyaf Group (ASG),23.0,two fishing,Southeast Asia,Philippines,"Assailants abducted two people from two fishing vessels off the coast of Lahad Datu, Sabah, Malaysia. Three assailants were killed and a police officer was injured after security personnel responded to the attack. One of the hostages was rescued on the same day, while the fate of the remaining hostage is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2016/12/8,3.0,1.0,1,Malaysia,Southeast Asia
39,Abu Sayyaf Group (ASG),21.0,philippine marine,Southeast Asia,Philippines,"An explosive device detonated targeting a Philippine Marine convoy in Lagtoh village, Sulu province, Philippines. Seven Marines were wounded in the attack. This was one of two related events in Lagtoh on the same day. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2016/2/4,0.0,7.0,-9,Philippines,Southeast Asia
