,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
23,Right-wing extremists,131.0,group claimed,Western Europe,Germany,"An assailant opened fire on civilians at a shopping mall in Munich, Bavaria, Germany. At least nine people were killed and 27 people were injured in the assault before the assailant fled and later killed himself. No group claimed responsibility for the incident; however, sources attributed the attack to David Ali Sonboly.",2016/7/22,10.0,27.0,0,Germany,Western Europe
16,Muslim extremists,14.0,assailant stabbed,South Asia,Afghanistan,"An assailant stabbed people at a train station in Grafing, Bavaria, Germany. One person was killed and three others were wounded in the attack.  The assailant stated that he wanted to target ""non-believers.""",2016/5/10,1.0,3.0,0,Germany,Western Europe
32,Muslim extremists,12.0,three police,South Asia,Afghanistan,"An assailant stabbed police officers in Schaerbeek, Brussels, Belgium. Three police officers and the assailant were injured in the attack and ensuing police pursuit. A Muslim extremist, identified as Hicham Diop, claimed responsibility for the incident and stated that he carried out the attack in retaliation for police running him over in 2011.",2016/10/5,0.0,4.0,0,Belgium,Western Europe
20,Kurdistan Workers' Party (PKK),11.0,least two,Middle East & North Africa,Turkey,"Assailants attacked a Turkish mosque in Dodrecht, Netherlands. At least two people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",2016/6/23,0.0,2.0,1,Netherlands,Western Europe
33,Right-wing extremists,9.0,group claimed,Western Europe,Germany,"Assailants attacked and injured three Syrian refugees in Sebnitz, Saxony, Germany. No group claimed responsibility for the incident; however, sources attributed the attack to right-wing extremists.",2016/10/6,0.0,3.0,0,Germany,Western Europe
19,Kurdistan Workers' Party (PKK),8.0,least one,Middle East & North Africa,Turkey,"Assailants opened fire on a Grey Wolves office in Dodrecht, Netherlands. At least one person was killed and another was injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",2016/6/23,1.0,1.0,0,Netherlands,Western Europe
6,Muslim extremists,8.0,united kingdom,South Asia,Afghanistan,"An assailant beat and stabbed a Muslim shopkeeper in Glasgow, Scotland, United Kingdom. The shopkeeper, identified as Asad Shah, was killed and another person was injured in the assault. Tanveer Ahmed claimed responsibility for the incident and stated that he targeted Shah because he was disrespectful toward the Prophet Muhammad.",2016/3/24,1.0,1.0,0,United Kingdom,Western Europe
17,Neo-Nazi extremists,8.0,labour party,Western Europe,Germany,"An assailant shot and stabbed Jo Cox in Birstall, England, United Kingdom. Cox, a Labour Party Member of Parliament, was killed and a bystander who intervened was injured in the assault. Tommy Mair, a neo-Nazi supporter, claimed responsibility for the incident and stated ""put Britain first"" as he attacked Cox, who supported Britain remaining in the European Union. Moreover, in court Mair identified himself as ""Death to traitors, freedom for Britain.""",2016/6/16,1.0,1.0,0,United Kingdom,Western Europe
9,Dissident Republicans,6.0,group claimed,Western Europe,Ireland,"Assailants threw petrol bombs at police officers in Kilwilkie area, Lurgan, Northern Ireland, United Kingdom. Two police officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to dissident republicans.",2016/3/28,0.0,2.0,0,United Kingdom,Western Europe
0,Neo-Nazi extremists,6.0,least two,Western Europe,Germany,"An assailant attacked Afghan refugees in Altenberg, Saxony, Germany. At least two refugees were injured in the assault. No group claimed responsibility; however, sources attributed the incident to Neo-Nazi extremists.",2016/1/17,0.0,2.0,0,Germany,Western Europe
40,Right-wing extremists,5.0,group claimed,Western Europe,Germany,"Assailants set fire to a building that was planned to house a mosque in Culemborg, Gelderland, Netherlands. There were no casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to right-wing extremists.",2016/12/28,0.0,0.0,1,Netherlands,Western Europe
30,Neo-Nazi extremists,5.0,two related,Western Europe,Germany,"An explosive device detonated outside the International Congress Center in Dresden, Saxony, Germany. There were no reported casualties in the blast. This was one of two related attacks in Dresden on this day. No group claimed responsibility for the incident; however, sources attributed the attack to Neo-Nazis.",2016/9/26,0.0,0.0,1,Germany,Western Europe
34,Dissident Republicans,5.0,killed joe,Western Europe,Ireland,"Assailants shot and killed Joe Reilly, a civilian, at his residence in Belfast, Northern Ireland, United Kingdom. No group claimed responsibility for the incident; however, sources attributed the attack to dissident republicans.",2016/10/20,1.0,0.0,0,United Kingdom,Western Europe
26,Kurdistan Workers' Party (PKK),5.0,turkish avrasya,Middle East & North Africa,Turkey,"Two assailants threw Molotov cocktails at the Turkish Avrasya Culture and Sports Association building in Wels, Upper Austria, Austria. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to the Kurdistan Workers' Party (PKK).",2016/8/15,0.0,0.0,1,Austria,Western Europe
24,Dissident Republicans,5.0,group claimed,Western Europe,Ireland,"Assailants opened fire on a van in front of the Carlton Hotel in Belleek, Northern Ireland, United Kingdom. There were no reported casualties in the assault. No group claimed responsibility; however, authorities suspected that the attack may have been carried out by dissident republicans.",2016/8/2,0.0,0.0,1,United Kingdom,Western Europe
