,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
39,Al-Shabaab,295.0,killing 17,Sub-Saharan Africa,Somalia,"In Mogadishu, Somalia, assailants launched mortars at Ethiopian bases which ignited a firefight, killing 17 civillians, 13 soldiers, and four children.  Forty people were wounded and a residence, market, and restaurant all sustained damages.  Al-Shabaab al-Islamiya claimed responsibility.",2007/12/17,34.0,40.0,1
22,Movement of Niger People for Justice (MNJ),209.0,armed assailants,Sub-Saharan Africa,Niger,"Armed assailants attacked a Niger Army base in Agadez, Niger, killing 15 soldiers, wounding 43, and kidnapping 72 others.  The base also sustained damages.  Thirty hostages were released on June 28, 2007.  On or about July 11, 2007, the assailants released three injured hostages to the Red Cross, six more hostages were released on August 4, 2007.  The Niger People's Movement for Justice (MNJ) claimed responsability.",2007/6/22,15.0,43.0,1
8,Democratic Front for the Liberation of Rwanda (FDLR),169.0,village kaniola,Sub-Saharan Africa,Rwanda,"Seventeen villagers were killed, twenty-eight were injured, and 12 were kidnapped in the village Kaniola village of Katanga province in the Democratic Republic of Congo.  The attack was claimed by the FDLR (Democratic Forces for the Liberation of Rwanda).",2007/5/27,17.0,28.0,-9
26,Movement of Niger People for Justice (MNJ),99.0,wounding several,Sub-Saharan Africa,Niger,"Near Agadez, Niger, assailants wielding unspecified firearms attacked a military convoy, killing 17 soldiers, and wounding several others. Seven vehicles were destroyed. The Niger People's Movement for Justice (MNJ) claimed responsibility.",2007/8/21,17.0,3.0,1
6,Democratic Front for the Liberation of Rwanda (FDLR),75.0,one claimed,Sub-Saharan Africa,Rwanda,"The Democratic Liberation Forces of Rwanda (FDLR), a Hutu rebel group, is suspected of attacking a convoy in the Nord-Kivu region, Democratic Republic of Congo, killing 3 civilians and injuring 20 others.  However, no one claimed responsibility.  The weapons used are unknown.",2007/5/19,3.0,20.0,0
14,Mujahideen Youth Movement (MYM),63.0,two somali,Sub-Saharan Africa,Somalia,"Five Somali police officers and two Somali civilians were killed and at least six other people were wounded when Abdul-Aziz Muhammad Semter, a Mujahedin Youth Movement perpetrator, detonated a suicide car bomb at the premiers residence in Mogadishu, Benadir Region, Somalia. The Mujahedin Youth Movement later claimed responsibility for the attack.",2007/6/3,8.0,6.0,1
28,Mujahideen Youth Movement (MYM),59.0,suuqa xoolaha,Sub-Saharan Africa,Somalia,"In the Suuqa Xoolaha neighborhood of Mogadishu, Somalia, assailants armed with rocket-propelled grenades (RPGs) and firearms attacked an Ethiopian military convoy.  A heavy gun battle ensued resulting in the death of six civillans and three soldiers.  Several other soldiers were wounded and several vehicles sustained damages,  The Mujahideen Youth Movement (MYM) claimed responsibility.",2007/10/21,9.0,3.0,1
2,Democratic Front for the Liberation of Rwanda (FDLR),55.0,killing 11,Sub-Saharan Africa,Rwanda,"In Rutshura, Democratic Republic of Congo, assailants wielding unspecified firearms fought with government forces, killing 11 civillians.  No group claimed responsibility but it is widely believed to be the actions of the Democratic Forces for the Liberation of Rwanda (FDLR).",2007/3/10,11.0,0.0,0
10,Mujahideen Youth Movement (MYM),52.0,unknown number,Sub-Saharan Africa,Somalia,"Four Somali Police officers were wounded when an unknown number of Mujahedin Youth Movement perpetrators landed by boat at the remote northern fishing village of Bargal, Puntland State, Somalia and fired on Somali Police Police officers with small arms before fleeing into nearby mountains. Police in Bargal contacted Combined Task Force 150 and requested naval artillery support. At least eight of the perpetrators were killed in the subsequent counterattack, and one American, one Swedish, one British, one Eritrean, one Yemeni, one Pakistani, one Moroccan, and at least one other unspecified Middle Eastern passport were found among the bodies on 06/02/2007.",2007/6/1,8.0,4.0,0
9,Movement for the Emancipation of the Niger Delta (MEND),10.0,firing small,Sub-Saharan Africa,Nigeria,"Eight people, including three Indian senior managers of Indonesian petrochemical company Indorama and three women and two children from the same family, were abducted and two police guards killed by suspected members of the Movement for the Emancipation of the Niger Delta (MEND) firing small arms at a housing compound for expatriate oil workers in Port Harcourt, Rivers State, Nigeria.  No claim of responsibility was reported.",2007/6/1,2.0,0.0,0
3,Movement for the Emancipation of the Niger Delta (MEND),10.0,kidnapped six,Sub-Saharan Africa,Nigeria,"Gunmen assaulted a Chevron Corp. tanker in Nigerias River Delta region.  They assaulters killed a government sailor and kidnapped six workers, including one American.  The damage to the tankers was not described though it was extensive enough for Chevron to find it necessary to cease pumping oil to the tanker.  The kidnappers claimed the hostages would be released on May 30, 2007 and listed no demands.  The Movement for the Emancipation of the Niger Delta (MEND) claimed responsibility for the attack.",2007/5/2,1.0,0.0,1
34,Movement of Niger People for Justice (MNJ),9.0,mnj ).,Sub-Saharan Africa,Niger,"Soldiers in Niger were attacked by members of the Movement of the People of Niger for Justice (MNJ). Three of the soldiers were wounded and four were missing after the civilian convoy that they were escorting was attacked. The attack occurred on the road between Agadez and Arlit, Niger.",2007/11/9,0.0,3.0,-9
35,Movement for the Emancipation of the Niger Delta (MEND),5.0,royal dutch,Sub-Saharan Africa,Nigeria,An oil pipeline run by Royal Dutch Shell was attacked in southern Nigeria. A spokesman from the Movement for the Emancipation of the Niger Delta (MEND) claimed responsibility for the attack. No casualties were reported but the disruption did cause significant losses for the company.,2007/11/15,0.0,0.0,1
37,Al-Shabaab,5.0,shabab claimed,Sub-Saharan Africa,Somalia,"Ugandan peacekeepers, acting as part of an African Union mission, were attacked in Mogadishu, Somali by Islamic insurgents wielding guns and grenades. No peacekeepers were injured or killed, but one of the insurgents was killed in the fighting. The group Al-Shabab claimed responsibility for the attack.",2007/11/17,1.0,0.0,0
31,Al-Shabaab,,used chain,Sub-Saharan Africa,Somalia,"Al-Shabaab claimed a hotel blast in Dolo, Ethiopia, in connection with the insurgency in and around Mogadishu, Somalia. They used chain explosions. The militants claimed that over 100 Tigrayans (Ethiopian soldiers) were killed and countless others were wounded. Their claim was not confirmed.",2007/11/2,100.0,,1
