,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
29,Revolutionary Armed Forces of Colombia (FARC),203.0,one government,South America,Colombia,"On Wednesday morning at 0930, a car bomb exploded in the Colombian port town of Buenaventura, Valle del Cauca, killing one police officer, one government official, two government employees, and five civilians; wounding one police officer, two journalists, five government employees, and 43 people. The blast destroyed part of the local office of the attorney general in Buenaventura, the country's largest port which handles half the country's coffee exports but is also a major drug trafficking route to the Pacific coast. The vehicle used was a green Mazada 323 with license plates VEM-060 from Popayan. Local television images from the city showed wrecked taxis and destroyed store fronts as residents carried wounded people to hospitals minutes after the blast. The blast caused substantial property damage within a three block radius, as well as to two taxis, a van and a motorcycle. The Revolutionary Armed Forces of Colombia's (FARC) 30th Front is believed to have financed the operation. No group has claimed responsibility, however authorities attribute the attack to the Manuel Cepeda Front and the 30th Front of the Revolutionary Armed Forces of Colombia.",2010/3/24,9.0,51.0,1
58,Revolutionary Armed Forces of Colombia (FARC),61.0,revolutionary armed,South America,Colombia,"On Saturday at 1710, in Apartado, Antioquia, Colombia, an explosion went off near a commercial warehouse, damaging a store, killing a civilian and injuring 17 others including three children. No group claimed responsibility but the Revolutionary Armed Forces of Colombia (FARC) were suspected responsible for the attack.",2010/6/12,1.0,17.0,1
104,Revolutionary Armed Forces of Colombia (FARC),56.0,revolutionary armed,South America,Colombia,"On Friday, in Roncesvalles, Tolima, Colombia, assailants detonated an improvised explosive device outside the restaurant La Gorda. The blast caused an unknown amount of property damage to the restaurant, killed three civilians and injured 12 others including nine off-duty policemen. No group claimed responsibility for the attack but authorities suspected the 21st Front of the Revolutionary Armed Forces of Colombia (FARC) was responsible after arresting Moisés Hernández Quiñónez, alias Tocayo and known member of the FARC's 21st Front, for allegedly carrying out the attack.",2010/11/19,3.0,12.0,1
59,Paraguayan People's Army (EPP),31.0,rural forested,South America,Paraguay,"On Thursday morning at 1030, in the rural forested area of San Roque of Kurusu del Hierro, Concepcion, Paraguay, at least five armed guerillas fired upon 50 police officers, killing two police officers and wounding at least one guerilla member, four civilians and two children. No group claimed responsibility, although authorities believed the Paraguay People's Army (EPP) was responsible, and that possibly EPP leaders carried out the attack.",2010/6/17,2.0,7.0,0
103,National Liberation Army of Colombia (ELN),24.0,revolutionary armed,South America,Colombia,"On Wednesday morning at 0630, in the rural area of La Llanada, Pasto, Nariño, Colombia, militants detonated explosives as police and a public service vehicle were passing by. The attack injured three police officers and killed Rodrigo Rosero, the driver of the public service vehicle and his granddaughter Ana Maria Lopez, who was also aboard. The attack damaged approximately six nearby residences and an auto shop. No group claimed responsibility but authorities suspected either the National Liberation Army (ELN) or the Revolutionary Armed Forces of Colombia (FARC) were responsible for the attack.",2010/11/17,2.0,3.0,1
91,Paraguayan People's Army (EPP),5.0,group claimed,South America,Paraguay,"On Wednesday night, in Alegria, Huguá Ñandú, Huguá Ñandú, Paraguay, armed assailant fired upon a police patrol vehicle. The attack damaged the windows of the vehicle but caused no casualties. No group claimed responsibility but authorities suspected the Paraguayan People's Army (EPP) was responsible for the attack.",2010/9/22,0.0,0.0,1
89,Paraguayan People's Army (EPP),5.0,paraguayan people,South America,Paraguay,"On Thursday, 35 kilometers from Curuguaty, Canindeyú, Paraguay, armed assailants dressed in military uniforms shot and killed  farmer and teacher, Hugo Ortiz. Ortiz, the father in law of Oscar Luis Benitez, former treasurer for the Paraguayan Peoples Army (EPP), was ambushed while he was working in his farm and his wife was the only witness of the attack. No group claimed responsibility but authorities suspected the EPP was responsible for the attack.",2010/9/2,1.0,0.0,0
21,National Liberation Army of Colombia (ELN),0.0,national liberation,South America,Colombia,"On Thursday, in Saravena, Arauca, Colombia, armed assailants kidnapped three members of the Social National Unity party, Yesid Lozado brother of the ex- governor of Arauca, Donaldo Sanchez ex console of Saravena and Alexander Pirilla . The victims were released unharmed on 03/15/2010. No group claimed responsibility, although authorities believed the National Liberation Army (ELN) was responsible.",2010/3/11,0.0,0.0,0
54,National Liberation Army of Colombia (ELN),0.0,revolutionary armed,South America,Colombia,"On Tuesday, in Tame, Arauca, Colombia, armed assailants fired upon civilians killing a total of 11 in two separate attacks. No group claimed responsibility, although authorities believed the Revolutionary Armed Forces of Colombia (FARC) and the National Liberation Army (ELN) was responsible.",2010/6/1,0.0,0.0,-9
0,Revolutionary Armed Forces of Colombia (FARC),5.0,tanker truck,South America,Colombia,"On Saturday, in Mocoa, Putumayo, Colombia, members of the Revolutionary Armed Forces of Colombia (FARC) set fire to a tanker truck used to transport gasoline on the route that leads from Mocoa, Putumayo to Pitalito, Huila. No casualties were reported and no group has claimed responsibility for the arson attack.",2010/1/9,0.0,0.0,1
1,Revolutionary Armed Forces of Colombia (FARC),0.0,revolutionary armed,South America,Colombia,"On Tuesday, in the rural site of La Loma in Yarumal, Antioquia, Colombia, Army troops from the 10th Infantry Battalion found and safely destroyed an antipersonnel mine. The explosives were suspected to be planted by the Revolutionary Armed Forces of Colombia's (FARC) 36th Front with the intention to be used against the local civilian population and military troops in that area. No casualties or damages were reported and no group claimed responsibility for the attempted bombing.",2010/1/12,0.0,0.0,0
2,Revolutionary Armed Forces of Colombia (FARC),0.0,revolutionary armed,South America,Colombia,"On Tuesday, in the rural area of San Luis, in the municipality of Caloto, Cauca, Colombia, Army troops from the eighth Quinbayas Counterinsurgency Battalion located and safely destroyed a 20 pound cylinder bomb containing unknown explosives and one antipersonnel mine which was installed with a pressurized detonating system. The explosives were suspected to be planted by the Revolutionary Armed Forces of Colombia's (FARC) 6th Front with the intention to be used against the local civilian population and military troops in that area. No casualties or damages were reported and no group claimed responsibility for the attempted bombing.",2010/1/12,0.0,0.0,0
