,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
805,Al-Qaida in the Arabian Peninsula (AQAP),990.0,suicide bomber,Middle East & North Africa,Yemen,"Assailants attacked the Ministry of Defense in Sanaa city, Amanat Al-Asimah governorate, Yemen. The attack began when a suicide bomber detonated an explosives-laden vehicle at the entrance of the ministry. Following the explosion, 12 assailants opened fire on the military and civilian personnel within the complex. The assailants then entered the Al-Oradi military hospital and a laboratory facility and continued their attack. In addition to 12 assailants, 56 military personnel and civilians were killed, while 215 others were injured in the attack. Furthermore, three buildings and ten vehicles were damaged in the attack. Al-Qai'da in the Arabian Peninsula (AQAP) claimed responsibility for the incident, stating that the Defense Ministry was targeted because it was being used as a staging area for United States (US) drone operations in Yemen.",2013/12/5,68.0,215.0,1
57,Al-Qaida in Iraq,440.0,al qa,Middle East & North Africa,Iraq,"A suicide bomber named Ahmed Ibrahim Hassan al-Hashmawi detonated explosives at a funeral for a politician killed the previous day in Tuz Khurmato, Saladin governorate, Iraq. Among those in attendance were the provincial governor and high-ranking military officers. Forty-two people were killed and 75 were wounded in the blast. No group claimed responsibility for the incident; however, Al Qa ida in Iraq is suspected.",2013/1/23,43.0,75.0,0
675,Islamic State of Iraq and the Levant (ISIL),440.0,least 42,Middle East & North Africa,Iraq,"A suicide bomber detonated his explosives targeting Shiite Muslim pilgrims in the Kadhimiya area of Baghdad city, Baghdad governorate, Iraq. In addition to the bomber, at least 42 people were killed and another 75 were injured in the blast. No group claimed responsibility for the incident; however, sources speculated that Islamic State of Iraq and the Levant (ISIL) was behind the attack.",2013/10/5,43.0,75.0,-9
161,Boko Haram,425.0,least 37,Middle East & North Africa,Iraq,"At least two suicide bombers in an explosives-laden vehicle rammed into a full passenger bus at a bus station in Sabon Gari area, Kano city, Kano state, Nigeria. At least 37 people were killed and another 75 were injured in the explosion and five buses were destroyed. No group claimed responsibility for the incident; however, suspicion fell on Boko Haram.",2013/3/18,39.0,75.0,1
78,Al-Qaida in Iraq,395.0,group claimed,Middle East & North Africa,Iraq,"A suicide car bomb detonated outside of a police headquarters in Kirkuk city, Kirkuk, Iraq. The explosion was followed by an armed attack involving grenades and gunfire. At least 36 people died and 70 people were injured in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in Iraq was involved in the event.",2013/2/3,36.0,70.0,1
21,Al-Qaida in Iraq,365.0,two coordinated,Middle East & North Africa,Iraq,"A suicide bomber detonated an explosives-laden vehicle near the offices of Massoud Barzani, a regional leader of the Kurdistan Democratic Party (KDP) in Kirkuk city, Kirkuk, Iraq. In addition to the bomber, at least 17 people were killed and another 90 people were injured in the blast. This was one of two coordinated bombings in the same area of the city and one of 14 coordinated attacks across the country on the same day. Al-Qaida in Iraq claimed responsibility for the incidents.",2013/1/16,18.0,90.0,1
650,Islamic State of Iraq and the Levant (ISIL),360.0,least 40,Middle East & North Africa,Iraq,"A suicide bomber detonated during a funeral at Al-Hussein Mosque in Musayyib city, Babil governorate, Iraq. In addition to the bomber, at least 40 people were killed and 50 others were injured in the blast. No group claimed responsibility; however, sources suspected that Islamic State of Iraq and the Levant (ISIL) was behind the attack.",2013/9/29,41.0,50.0,1
258,Islamic State of Iraq and the Levant (ISIL),350.0,turkish authorities,Middle East & North Africa,Iraq,"An explosives-laden vehicle detonated outside City Hall in Reyhanli town, Hatay province, Turkey. This was one of two car bombs in Reyhanli on the same day. At least 53 civilians were killed and another 140 were injured across the two blasts. Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident; however, Turkish authorities denied the group's involvement, attributing the attack to Mihrac Ural, the leader of the Syrian Resistance.",2013/5/11,27.0,70.0,1
509,Boko Haram,298.0,least 44,Middle East & North Africa,Iraq,"Assailants dressed in military uniforms opened fire on Muslim worshippers at a mosque in Konduga town, southeast of Maiduguri city, Borno state, Nigeria. At least 44 people were killed and another 26 were injured in the attack. Boko Haram claimed responsibility for the incident.",2013/8/11,44.0,26.0,-9
738,Al-Nusrah Front,277.0,rif dimashq,Middle East & North Africa,Iraq,"An explosives-laden vehicle detonated at the Osama Bin Zeid mosque in Suq Wadi Barada town, Rif Dimashq governorate, Syria. At least 40 people were killed and 24 others were injured in the blast. No group claimed responsibility for this incident; however, state sources reported Al-Nusra Front was responsible for the attack.",2013/10/25,40.0,24.0,1
