,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
169,Bangsamoro Islamic Freedom Movement (BIFM),165.0,kilafah islamic,Southeast Asia,Philippines,"An explosive device detonated in the Kyla Bistro in Cagayan de Oro City, Misamis Oriental province, Philippines. At least eight people were killed and 40 people were injured in the blast. No group claimed responsibility for the bombing; however, officials attributed the attack to the Moro Islamic Liberation Front - Special Operations Group, Bangsamoro Islamic Freedom Movement (BIFM), and Kilafah Islamic Movement.",2013/7/26,8.0,40.0,1
179,Bangsamoro Islamic Freedom Movement (BIFM),135.0,least eight,Southeast Asia,Philippines,"An explosive device attached to a vehicle detonated in Cotabato City, Maguindanao province, Philippines. The blast targeted the vehicle of Cynthia Gulani-Sayadi, a city administrator. She was unharmed in the explosion; however, at least eight people, including two of Gulani-Sayadi's bodyguards, were killed and another 30 were injured. No group claimed responsibility; however, sources suspect that Bangsamoro Islamic Freedom Movement (BIFM) was behind the attack.",2013/8/5,8.0,30.0,1
316,Runda Kumpulan Kecil (RKK),90.0,runda kumpulan,Southeast Asia,Thailand,"An explosives-laden vehicle detonated near Oliver Hotel in Danok town, Songkhla province, Thailand. At least two people were killed and 25 others were injured in the blast. This was one of five bombings in Sadao district on the same day. No group claimed responsibility; however, sources attributed the attacks to Runda Kumpulan Kecil (RKK).",2013/12/22,2.0,25.0,1
15,New People's Army (NPA),77.0,vehicle carrying,Southeast Asia,Philippines,"Gunmen opened fire on a vehicle carrying civilians and police in La Castellana municipality, Negros Occidental province, Philippines. Eight people were killed and eight others were wounded. Police officials indicated that officer Richard Canja was the target of the attack. The New People's Army (NPA) claimed responsibility for the attack but did not corroborate the police's statement in regards to Officer Canja.",2013/1/27,9.0,9.0,1
114,New People's Army (NPA),71.0,group claimed,Southeast Asia,Philippines,"Assailants detonated an explosive device near a police vehicle in Cagayan province, Philippines. After the explosion, the attackers fired on the officers, killing nine people and injuring seven more individuals. No group claimed responsibility for the incident; however, the attack was attributed to the New People's Army (NPA).",2013/5/27,9.0,7.0,1
115,New People's Army (NPA),61.0,seven police,Southeast Asia,Philippines,"A roadside land mine exploded under a vehicle of the Special Action Force police in Allacapan municipality, Cagayan province, Philippines. Seven police officers were killed and seven others were injured in the blast. No group claimed responsibility for the incident; however the attack was attributed to the New People's Army (NPA).",2013/5/27,7.0,7.0,1
323,Abu Sayyaf Group (ASG),55.0,zone 6,Southeast Asia,Philippines,"An explosive device detonated near a private residence in Zone 6 area of Tumahubong village, Sumisip municipality, Basilan province, Philippines. At least seven people were killed and five were injured in the blast. No group claimed responsibility; however, a source attributed the attack to the Abu Sayyaf Group (ASG).",2013/12/31,7.0,5.0,1
91,Abu Sayyaf Group (ASG),46.0,group claimed,Southeast Asia,Philippines,"Assailants ambushed a government humanitarian convoy in the Barka area of Basilan province, Philippines. Two soldiers and two assailants were killed in the ensuing firefight; in addition, three assailants and four soldiers were injured. No group claimed responsibility for the incident; however, sources attribute the attack to Abu Sayyaf Group (ASG) and Bangsamoro Islamic Freedom Movement (BIFM).",2013/5/6,4.0,7.0,1
159,Bangsamoro Islamic Freedom Movement (BIFM),41.0,least two,Southeast Asia,Philippines,"Approximately 20 gunmen ambushed army soldiers along the highway near barangay Kateman, Guindulungan municipality, Maguindanao province, Philippines. Two soldiers and five assailants were killed in the attack and at least two soldiers were injured. No group claimed responsibility for the incident; however, authorities attributed the incident to the Bangsamoro Islamic Freedom Movement (BIFM).",2013/7/13,7.0,2.0,0
233,Moro National Liberation Front (MNLF),33.0,national statistics,Southeast Asia,Philippines,"Assailants launched a grenade at the National Statistics Office (NSO) in Zamboanga City, Zamboanga del Sur province, Philippines. At least 11 people, including civilians, soldiers, and police officers, were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the incident to the Misuari faction of the Moro National Liberation Front (MNLF).",2013/9/13,0.0,11.0,-9
133,Abu Sayyaf Group (ASG),25.0,wounding five,Southeast Asia,Philippines,"Gunmen opened fire on a military helicopter in Sulu province, Philippines. The helicopter returned fire, killing two assailants and wounding five others. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",2013/6/27,2.0,5.0,0
232,Moro National Liberation Front (MNLF),23.0,least six,Southeast Asia,Philippines,"Assailants attacked a Department of Public Works and Highways (DPWH) satellite building in Lamitan city, Basilan province, Philippines. Philippine Army soldiers repelled the attack, but at least six soldiers were wounded in the incident. No group claimed responsibility for the incident; however, authorities attributed the attack to the Moro National Liberation Front (MNLF), the Abu Sayyaf Group (ASG), and the Bangsamoro Islamic Freedom Movement (BIFM).",2013/9/13,0.0,6.0,1
