,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
216,Donetsk People's Republic,1495.0,republic claimed,Eastern Europe,Ukraine,"Assailants launched a surface-to-air missile at a Malaysia Airlines aircraft, traveling from Amsterdam to Kuala Lumpur, near Hrabove, Donetsk, Ukraine. At least 298 people, including one United States citizen, were killed in the attack. The Donetsk People's Republic claimed responsibility for the incident; however, authorities questioned the veracity of this claim.",2014/7/17,298.0,0.0,1
199,Luhansk People's Republic,379.0,republic claimed,Eastern Europe,Ukraine,"Assailants launched rockets at a border post in Zelenopolye village, Luhansk oblast, Ukraine. At least 19 soldiers were killed and 93 others were wounded in the attack. The Luhansk People's Republic claimed responsibility for the incident.",2014/7/11,19.0,93.0,1
76,Donetsk People's Republic,279.0,ukrainian military,Eastern Europe,Ukraine,"Assailants attacked a Ukrainian military convoy in the Semyonvka suburb of Slovyansk city, Donetsk oblast, Ukraine. At least 35 people, including assailants, civilians and soldiers, were killed and 33 others were injured in the ensuing clash. The Donetsk People's Republic claimed responsibility for the incident.",2014/5/5,35.0,33.0,1
145,Luhansk People's Republic,250.0,republic claimed,Eastern Europe,Ukraine,"Assailants opened fire on a military transport plane as it was landing in Luhansk city, Luhansk oblast, Ukraine. At least 40 soldiers and nine crew members were killed in the attack. The Luhansk People's Republic claimed responsibility for the incident.",2014/6/14,49.0,0.0,1
343,Donetsk People's Republic,185.0,least 30,Eastern Europe,Ukraine,"Assailants shelled an Ukrainian Airmobile Forces vehicle near the Donetsk airport in Donetsk city, Donetsk oblast, Ukraine. Including assailants, at least eighteen people were killed and at least 30 others were injured in the ensuing clash. No group claimed responsibility for the attack; however, sources attributed the incident to the Donetsk People's Republic.",2014/9/29,18.0,30.0,1
268,Luhansk People's Republic,108.0,group claimed,Eastern Europe,Ukraine,"Assailants launched mortars and rockets at a refugee convoy near Novosvitlivka town, Luhansk oblast, Ukraine. At least 17 people were killed and six others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Luhansk People's Republic, who denied involvement.",2014/8/18,17.0,6.0,1
440,Caucasus Emirate,77.0,muslim women,Eastern Europe,Russia,"Assailants attacked a police checkpoint in Grozny city, Chechnya republic, Russia. This was one of three coordinated attacks in the city carried out by the same group. At least 28 people, including assailants and police officers, were killed, while 27 officers were injured across all of the attacks. The Caucasus Emirate claimed responsibility for the incidents, stating they were carried out in retaliation for the ""oppression of Muslim women"".",2014/12/4,10.0,9.0,0
441,Caucasus Emirate,77.0,muslim women,Eastern Europe,Russia,"Assailants stormed and set fire to the Press House media center in Grozny city, Chechnya republic, Russia. This was one of three coordinated attacks in the city carried out by the same group. At least 28 people, including assailants and police officers, were killed, while 27 officers were injured across all of the attacks. The Caucasus Emirate claimed responsibility for the incidents, stating they were carried out in retaliation for the ""oppression of Muslim women"".",2014/12/4,9.0,9.0,1
442,Caucasus Emirate,77.0,muslim women,Eastern Europe,Russia,"Assailants raided a school in Grozny city, Chechnya republic, Russia. This was one of three coordinated attacks in the city carried out by the same group. At least 28 people, including assailants and police officers, were killed, while 27 officers were injured across all of the attacks. The Caucasus Emirate claimed responsibility for the incidents, stating they were carried out in retaliation for the ""oppression of Muslim women"".",2014/12/4,9.0,9.0,1
4,Chechen Rebels,46.0,russian reconnaissance,Eastern Europe,Russia,"An explosive device detonated underneath a Russian reconnaissance unit in Yandi village, Chechnya republic, Russia. The blast killed four service members and wounded seven. Chechen rebels claimed responsibility for the incident.",2014/4/3,4.0,7.0,1
361,Pro-Russia Militia,30.0,ukrainian military,Eastern Europe,Ukraine,"A landmine detonated as Ukrainian military personnel were attempting to remove it from a road at an unknown location in Ukraine. Six soldiers were killed in the blast. No group claimed responsibility; however, sources attributed the incident to a pro-Russian militia.",2014/10/14,6.0,0.0,0
118,Pro-Russia Militia,16.0,group claimed,Eastern Europe,Ukraine,"Assailants threw a grenade at a military convoy in Kharkiv oblast, Ukraine. One soldier was killed and two others were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Pro-Russia militia.",2014/5/29,1.0,2.0,1
3,Pro-Russia Militia,8.0,group claimed,Eastern Europe,Ukraine,"Assailants opened fire on a military base in Simferopo city, Crimea, Ukraine. One soldier was killed and one other was wounded in the attack. No group claimed responsibility for the incident; however, authorities suspected that the pro-Russia militia was involved in the attack.",2014/3/18,1.0,1.0,0
