pub_date,keyword_name,keyword_value,word_count,score,headline_main
 2016-12-13T17:47:37+0000,glocations,Kunduz(Afghanistan),1182,8.795012e-06,Tending  to  the  Living  and  the  Dead  in  a  Battle-Torn  Afghan  City 
 2016-12-06T10:00:40+0000,glocations,Afghanistan,3236,4.9407e-06,Saudis  Bankroll  Taliban,  Even  as  King  Officially  Supports  Afghan  Government 
 2016-12-02T10:00:36+0000,glocations,Afghanistan,1449,1.1107865e-06,Afghan  Security  Crisis  Sets  Stage  for  Terrorists’  Resurgence 
 2016-11-12T06:13:13+0000,glocations,BagramAirBase(Afghanistan),251,6.477151e-07,Bomber  Kills  4  Americans  at  U.S.  Base  in  Afghanistan 
 2016-11-05T18:57:19Z,glocations,Kunduz(Afghanistan),1134,3.6540763e-07,On  Street  Where  U.S.  Soldiers  Died,  Afghans  Say:  Taliban?  What  Taliban? 
 2016-11-03T10:43:32+0000,glocations,Kunduz(Afghanistan),890,2.9348752e-07,2  U.S.  Soldiers  and  30  Afghans  Killed  in  Kunduz  Battle 
 2016-12-09T09:33:43+0000,glocations,BagramAirBase(Afghanistan),654,2.4785015e-07,Ashton  Carter,  U.S.  Defense  Chief,  Makes  Unannounced  Visit  to  Afghanistan 
 2016-11-04T09:00:38+0000,glocations,Afghanistan,1422,1.1950078e-07,Afghanistan  Itself  Is  Now  Taking  In  the  Most  Afghan  Migrants 
 2016-11-26T16:25:44+0000,glocations,Pakistan,774,8.680856e-08,Pakistan  Names  New  Military  Leader 
 2016-12-02T05:48:23+0000,glocations,Afghanistan,1243,7.759335e-08,He  Was  a  Senior  Afghan  Government  Official.  Except  He  Wasn’t. 
 2016-10-30T16:44:14+0000,glocations,Afghanistan,790,7.4191604e-08,Taliban  Gain  Ground  in  Afghanistan  as  Soldiers  Surrender  Their  Posts 
 2016-11-16T18:10:39Z,glocations,Kabul(Afghanistan),376,7.2815816e-08,Afghan  Bodyguards  Targeted  in  Bombing  Claimed  by  ISIS  Affiliates 
 2016-10-12T21:33:17+0000,glocations,Afghanistan,1109,4.0243243e-08,Afghan  Forces,  Their  Numbers  Dwindling  Sharply,  Face  a  Resurgent  Taliban 
 2016-11-15T19:53:05Z,glocations,Afghanistan,731,2.4568703e-08,Afghanistan  Fires  7  From  Cabinet  in  Intensifying  Political  Crisis 
 2016-10-07T04:00:00+0000,glocations,Kunduz(Afghanistan),992,2.3061483e-08,A  Few  Medics  Hold  the  Line  in  Kunduz,  Their  Hospital  Also  a  Casualty 
 2016-10-04T04:00:00+0000,glocations,Afghanistan,1168,1.7479454e-08,Emboldened  Taliban  Overrun  Parts  of  Kunduz  and  Taunt  Afghan  Forces 
 2016-10-05T04:00:00+0000,glocations,Kunduz(Afghanistan),1032,8.195984e-09,Afghan  Forces  Push  Taliban  Out  of  Kunduz  Center,  Officials  Say 
 2016-10-02T04:00:00+0000,glocations,Afghanistan,1967,7.108238e-09,15  Years  in  the  Afghan  Crucible 
 2016-10-29T16:54:04+0000,glocations,Afghanistan,968,4.2949972e-09,Pashtana’s  Lesson 
 2016-09-22T11:57:59+0000,glocations,Afghanistan,847,2.6956524e-09,Afghanistan  Signs  Draft  Peace  Deal  With  Faction  Led  by  Gulbuddin  Hekmatyar 
 2016-10-12T04:00:00+0000,glocations,Afghanistan,612,2.1889561e-09,Gunmen  Attack  Crowded  Shiite  Shrine  in  Kabul 
 2016-09-20T04:00:00+0000,glocations,Afghanistan,563,2.1665048e-09,At  Least  7  Afghan  Police  Officers  Killed  in  Errant  U.S.  Strike,  Officials  Say 
 2016-10-21T09:00:08+0000,glocations,Calais(France),1120,2.001818e-09,‘I  Am  Alone’:  Migrant  Children  in  Calais  ‘Jungle’  Face  an  Uncertain  Fate 
 2016-09-09T14:05:21+0000,glocations,Afghanistan,1357,1.4774351e-09,From  Where  Ex-Taliban  Minister  Sits,  Demand  Is  Growing  for  Afghan  Peace 
 2016-09-09T04:00:00+0000,glocations,Afghanistan,780,1.4592545e-09,An  Afghan  Father-Son  Tale  Takes  a  Fatal  Turn,  but  Does  Not  End 
 2016-10-18T01:24:20+0000,glocations,Mosul(Iraq),1201,1.4465827e-09,Battle  for  Mosul  Tests  Obama  Strategy  to  Shift  Fight’s  Burden  From  U.S. 
 2016-09-05T15:02:07+0000,glocations,Kabul(Afghanistan),491,9.66503e-10,Coordinated  Bombs  in  Kabul  Kill  Senior  Afghan  Officials  at  Defense  Ministry 
 2016-09-12T04:00:00+0000,glocations,Afghanistan,418,7.223401e-10,Afghan  Police  Chief  Is  Killed  as  He  Tries  to  Turn  Tide  Against  Taliban 
 2016-09-09T04:00:00+0000,glocations,TirinKot(Afghanistan),630,6.194869e-10,Taliban  Close  to  Overtaking  Afghan  Provincial  Capital,  Officials  Say 
 2016-09-07T04:00:00+0000,glocations,Kabul(Afghanistan),1039,5.9343963e-10,A  Day  of  Bloodshed  in  Kabul:  Attacks  at  Defense  Ministry  and  Aid  Compound 
 2016-09-09T04:00:00+0000,glocations,Afghanistan,997,4.4532256e-10,U.S.  Rescue  Attempt  in  Afghanistan  Missed  Western  Hostages  by  Hours 
 2016-08-27T14:01:04+0000,glocations,Afghanistan,1285,3.8565973e-10,An  Afghan  Feud  Reignites,  Putting  Police  Families  at  Odds 
 2016-09-04T04:00:00+0000,glocations,Afghanistan,1223,3.1175418e-10,New  Afghan  Attorney  General  Seeks  Justice  in  System  Rife  With  Graft 
 2016-08-23T15:17:22+0000,glocations,Afghanistan,1173,2.4955477e-10,Bomb  Kills  an  American  Soldier  Near  Besieged  Afghan  City 
 2016-09-28T04:00:00+0000,glocations,Afghanistan,1086,2.1304922e-10,U.S.-Backed  Effort  to  Fight  Afghan  Corruption  Is  a  Near-Total  Failure,  Audit  Finds 
 2016-09-27T10:26:48+0000,glocations,Timbuktu(Mali),1197,2.0176853e-10,Prison  Sentence  Over  Smashing  of  Shrines  in  Timbuktu:  9  Years 
