pub_date,keyword_name,keyword_value,word_count,score,headline_main
 2007-12-31T00:00:00Z,glocations,Morocco,2335,0,Jihadists  in  Jails  Win  Leverage  Over  Their  Keepers 
 2007-12-27T00:00:00Z,glocations,Mauritania,623,0,Hunt  for  Suspects  in  Mauritania  Killing 
 2007-12-26T00:00:00Z,glocations,Turkey,932,0,Turkey  Says  Its  Raids  in  Iraq  Killed  150  Rebels 
 2007-12-26T00:00:00Z,glocations,Iraq,421,0,Turkey  Says  150  Killed  in  Strikes  on  Rebel  Kurds 
 2007-12-24T00:00:00Z,glocations,Israel,904,0,Israel  Angers  Palestinians  With  Housing  Plan 
 2007-12-21T00:00:00Z,glocations,GreatBritain,69,0,Britain:  3  From  GuanÌÁnamo  Freed  in  London 
 2007-12-21T00:00:00Z,glocations,Israel,550,0,Gaza  Missiles  and  Israeli  Operations  Continue 
 2007-12-19T00:00:00Z,glocations,Bali(Indonesia),839,0,What  Was  That  All  About? 
 2007-12-17T00:00:00Z,glocations,Turkey,670,0,Turkey  Bombs  Kurdish  Militants  in  Northern  Iraq 
 2007-12-17T00:00:00Z,glocations,Israel,748,0,Palestinian  Rocket  Injures  Child  in  an  Israeli  Kibbutz 
 2007-12-16T00:00:00Z,glocations,Egypt,177,0,Egypt  and  Human  Rights 
 2007-12-13T00:00:00Z,glocations,Algeria,869,0,An  Appeal  for  Calm  After  Suicide  Bombings  in  Algeria 
 2007-12-12T00:00:00Z,glocations,Egypt,385,0,Rights  Group  Says  Egypt  Used  Torture  in  Terror  Case 
 2007-12-07T00:00:00Z,glocations,GreatBritain,93,0,Britain:  Terror  Detention  Plan  Draws  Fire 
 2007-12-06T00:00:00Z,glocations,GuantanamoBayNavalBase(Cuba),788,0,Defense  Challenges  Status  of  GuantÌÁnamo  Detainee 
 2007-11-30T00:00:00Z,glocations,Syria,921,0,A  Payoff  for  Syrians:  Seats  at  the  Table
 2007-11-28T00:00:00Z,glocations,Israel,2003,0,Ex-Commander  of  NATO  Named  Mideast  Liaison 
 2007-11-28T00:00:00Z,glocations,Israel,1355,0,Israel  and  Palestinians  Set  Goal  of  a  Treaty  in  2008 
 2007-11-27T00:00:00Z,glocations,Annapolis(Md),2442,0,Text  of  Bush‰Ûªs  Remarks  at  Annapolis  Conference 
 2007-11-27T00:00:00Z,glocations,Israel,1347,0,Framework  Set  by  Palestinians  and  Israelis  for  Peace  Talks 
 2007-11-26T00:00:00Z,glocations,Syria,922,0,Syria  Says  It  Will  Join  Conference  in  Maryland 
 2007-11-26T00:00:00Z,glocations,Syria,961,0,Syria  Plans  to  Attend  Meeting  on  Mideast  Peace 
 2007-11-24T00:00:00Z,glocations,India,531,0,Courthouse  Bombings  Strike  3  Indian  Cities 
 2007-11-22T00:00:00Z,glocations,Israel,811,0,Israel  Allows  Some  Gaza  Exports 
 2007-11-21T00:00:00Z,glocations,Cambodia,1097,0,Khmer  Rouge  Hearing  Ends 
 2007-11-21T00:00:00Z,glocations,Israel,757,0,Egypt‰Ûªs  Leader  Endorses  Peace  Meeting 
