,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
9,Jemaah Islamiya (JI),152.0,busy terminal,Southeast Asia,Indonesia,"A homemade bomb went off in Tacurong, Philippines.  Five people were killed and 35 wounded in the attack.  The bomb squad claimed that the bomb was similar to bombs used by Jemaah Islamiyah (JI).  JI did not claim responsibility for the attack.  The attack came six days before the mid-term elections.  The location was at a busy terminal across from a restaurant where election officials were meting to discuss the upcoming election.  Specifics about the explosive device were not reported.  No claim of responsibility was reported.",2007/5/8,9.0,34.0,1
19,Jemaah Islamiya (JI),118.0,quick succession,Southeast Asia,Indonesia,"Two Filipino civilians were killed and 36 others were wounded when two timer-controlled improvised explosive devices (IEDs) planted by an unknown number of Jemaah Islamiyah (J-I) perpetrators detonated in quick succession outside a market in Kidapawan City, Cotabato Province, Philippines.",2007/10/5,2.0,36.0,-9
25,Abu Sayyaf Group (ASG),51.0,two others,Southeast Asia,Philippines,"A congressman was assassinated by the Abu Sayyaf Group in a remote controlled bomb explosion outside of the House of Representatives in Manila, Philippines. Two others victims were killed in the attack.",2007/11/13,3.0,12.0,-9
17,Jemaah Islamiya (JI),46.0,two bombs,Southeast Asia,Indonesia,"Two bombs tore through a bus station in Koronadal in the Philippines. The first bomb, an improvised device containing nails, was left among baggage to explode killing one and wounding 12. The second bomb went off inside an empty bus and injured no one. Although no group has claimed responsibility for the attack, the police suspect the Alcobar gang and the al-Qaeda-linked Jemaah Islamiyah terror group.",2007/8/3,1.0,12.0,1
10,New People's Army (NPA),44.0,new peoples,Southeast Asia,Philippines,"The New Peoples Army (NPA) ambushed Philippine soldiers in the Moliney village in Abra province, Philippines.  The Philippine soldiers were guarding the roads that the election ballots were to be taken on.  7 Philippine soldiers were killed and 3 others were wounded during a gun battle with the NPA.  There are no reports of NPA casualties.",2007/5/16,7.0,3.0,-9
8,Abu Sayyaf Group (ASG),35.0,unassociated factory,Southeast Asia,Philippines,"Six government road project workers and a unassociated factory worker were abducted by Abu Sayyaf on Jolo Island, Philippines. The incident was believed to be led by Abu Sayyaf commander Albader Parad who demanded $105,000 ransom for the kidnapped workers. However, the captives were found beheaded two days later.",2007/4/17,7.0,0.0,0
3,Barisan Revolusi Nasional (BRN),30.0,myanmar workers,Southeast Asia,Thailand,"A Myanmar workers camp in Thailand's Pattani province was attacked by gunmen who killed 3 workers, decapitating one. This attack appears to be a commemoration of the anniversary  of the founding of Barisan Revolusi Nasional (National Revolution Front). No claim of responsibility was reported.",2007/3/12,3.0,5.0,-9
5,New People's Army (NPA),30.0,pursuing suspected,Southeast Asia,Philippines,Three soldiers were killed and five more were wounded when a landmine exploded near their vehicles in the town of Isabela in the Philippines as the men were pursuing suspected members of the New Peoples Army (NPA).  The NPA did not officially claim responsibility for the mine explosion.,2007/4/8,3.0,5.0,-9
0,Moro Islamic Liberation Front (MILF),14.0,responsible,Southeast Asia,Philippines,"A bomb injured two people near a fastfood restaurant in Cotabato, Philippines. Police suspect Moro Islamic Liberation Front (MILF) is responsible for the attack.",2007/1/5,0.0,3.0,1
16,Abu Sayyaf Group (ASG),13.0,two filipino,Southeast Asia,Philippines,Two Filipino marines were killed and another was wounded when Abu Sayyaf Group (ASG) launched an ambush on the island of Jolo in the Sulu province of the Philippines. The group did not claim responsibility for the attack.,2007/7/17,2.0,1.0,0
11,New People's Army (NPA),10.0,new people,Southeast Asia,Philippines,"Rolly Mondejar and Reynante Capao, Filipino civilian members of the Citizens Armed Force Geographical Unit (CAFGU), were shot and killed while repairing a water pipeline by New Peoples Army perpetrators firing small arms at approximately 8:00 AM near the Globe cellular repeater site in Barangay Pasian district, Monkayo, Compostela Valley Province, Davo Region, Philippines.  No claim of responsibility was reported.",2007/6/2,2.0,0.0,0
22,Moro Islamic Liberation Front (MILF),5.0,improvised explosive,Southeast Asia,Philippines,"No casualties were reported but a vehicle was damaged by shrapnel when an improvised explosive device (IED) planted by an unknown number of unknown perpetrators detonated adjacent to the three-vehicle convoy of Kabuntalan Mayor Salaban Diocolano at approximately 4:00 PM beneath a bridge on the edge of town in Shariff Aguak, Maguindanao Province, Philippines.",2007/10/31,0.0,0.0,1
14,Moro Islamic Liberation Front (MILF),0.0,zamboanga sibugay,Southeast Asia,Philippines,"Father Giancarlo Bossi, an Italian civilian and Roman Catholic priest, was kidnapped by an unknown number of perpetrators with small arms between 9:30 AM and 10:00 AM on the coast road in Bulawan, Payao District, Zamboanga Sibugay Province, Philippines.  No claim of responsibility was reported.",2007/6/10,0.0,0.0,0
