,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
106,Al-Shabaab,1011.0,shabaab claimed,Sub-Saharan Africa,Somalia,"On Tuesday, in Mogadishu, Banaadir, Somalia, at least 100 people were killed and more than 160 people were injured when a Somali national, Bashar Abdulahi Nur, detonated a suicide vehicle borne improvised explosive device (SVBIED) targeting the compound that houses several Somali government ministries. The SVBIED was made of a truck that had been loaded with drums of fuel. The attack caused an unknown amount of material damage. The militant group Al-Shabaab claimed responsibility for the attack by unknown means.",2011/10/4,101.0,167.0,1
18,Al-Shabaab,205.0,improvised explosive,Sub-Saharan Africa,Somalia,"On Monday morning, in the Hamar Jajab area of Mogadishu, Banaadir, Somalia, seven policemen and eight civilians were killed and 35 people were injured when four militants detonated a suicide vehicle borne improvised explosive device targeting a police training camp. The improvised explosive device was planted in a small Toyota truck with oil barrels and was disguised as a civilian transportation vehicle. The police training building and several nearby cars were damaged in the attack and the militant group Al Shabaab claimed responsibility.",2011/2/21,19.0,35.0,1
34,Al-Shabaab,155.0,militant group,Sub-Saharan Africa,Somalia,"On Tuesday, in Mogadishu, Banaadir, Somalia, at least four people were killed and more than 45 others were injured when unidentified militants fired mortars targeting the 51st Anniversary of Somali military forces celebration at the Villa Baidoa, a military base. It is unknown if the attack caused any property damage. No group claimed responsibility, but the militant group al-Shabaab was thought to be responsible for the attack.",2011/4/12,4.0,45.0,-9
42,Sudan People's Liberation Army (SPLA),116.0,united nations,Sub-Saharan Africa,Sudan,"On Thursday night, in Abyei, Janub Kurdufan, Sudan, unidentified militants opened fire on a convoy of armed forces and United Nations Mission in the Sudan peacekeepers while they were leaving to the Goli area, wounding two security force personnel and killing 22 soldiers. No group claimed responsibility, although the Sudan People's Liberation Army was thought to be responsible.",2011/5/19,22.0,2.0,-9
151,Movement of Democratic Forces of Casamance,55.0,specific motive,Sub-Saharan Africa,Senegal,"Suspected members of the Movement of Democratic Forces of Casamance killed eleven civilians near the village of Diagnon,  Ziguinchor Region, Senegal.  Approximately 24 villagers had gone to cut wood in the forest; eleven villagers were shot and killed when the suspected separatists attacked the group.  Specific motive behind the attack is unknown; however, members of the separatist group are believed to be taking a more predatory stance towards small communities in the area.",2011/11/21,11.0,0.0,0
104,Mayi Mayi,49.0,road near,Sub-Saharan Africa,Democratic Republic of the Congo,"On Tuesday, on a road near Baraka, South Kivu, Congo (Kinshasa), five workers and two civilians were killed and three people were injured when militants fired upon a vehicle owned by a local non-governmental organization, Eben Ezer. The attack caused minor damage to the vehicle. No group has claimed responsibility, but the militant group Mai Mai was thought to be responsible for the attack.",2011/10/4,7.0,3.0,1
179,Movement of Democratic Forces of Casamance,47.0,five members,Sub-Saharan Africa,Senegal,"Members of the Casesmance Movement of Democratic Forces (MFDC) attacked a military outpost in the district of Dirgiune in Senegal.  The attack occurred at dawn.  Five members of the MFDC and one soldier were killed.  During the attack, military reinforcements on their way to assist the outpost were attacked by MFDC members using RPG's.  Their vehicle then crashed into a home.  The result of this portion of the event is that four soldiers and two civilians were killed, and four soldiers were wounded.",2011/12/20,7.0,4.0,-9
20,Lord's Resistance Army (LRA),40.0,group claimed,Sub-Saharan Africa,Uganda,"On Thursday morning, in the village of Banangana in unknown area of Kasai Oriental, Congo (Kinshasa), eight people were killed when unidentified militants attacked civilians in the village with unknown firearms. The militants also kidnapped 30 civilians in the attack. No damage was reported and no group claimed responsibility, but the militant group Lords Resistance Army was thought to be responsible for the attack. The status of the hostages is unknown.",2011/2/24,8.0,0.0,0
26,Lord's Resistance Army (LRA),30.0,unidentified militants,Sub-Saharan Africa,Uganda,"On Sunday, in Nzako, Mbomou, Central African Republic, six people were killed when unidentified militants attacked the town with unknown firearms. The militants also kidnapped 30 people and took them to an unknown location. The status of the hostages is unknown. It is unknown if the attack caused any property damage. No group claimed responsibility, but the militant group Lords Resistance Army (LRA) was thought to be responsible for the attack.",2011/3/13,6.0,0.0,-9
3,Sudan People's Liberation Army (SPLA),28.0,tor abieth,Sub-Saharan Africa,Sudan,"On Friday night, in the Tor Abieth area, in an unknown location in Al Wahdah, Sudan, in one of two related attacks, two militants were killed and six were injured when Sudan People's Liberation Army (SPLA) militants attacked a splinter SPLA militant group lead by Gatluak Gai. The militant group SPLA claimed responsibility for the attack.",2011/1/7,2.0,6.0,-9
