,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
113,Separatists,125.0,holiday hill,Western Europe,Spain,"An explosives-laden vehicle detonated outside the Holiday Hill Hotel in Betong district, Yala province, Thailand. Three people were killed and 35 others were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to separatists.",2014/7/25,3.0,35.0,1
58,Al-Qaida in the Islamic Maghreb (AQIM),70.0,tizi ouzou,Western Europe,Spain,"Assailants opened fire on a military convoy in Iboudraren town, Tizi Ouzou province, Algeria. At least 11 soldiers were killed and 5 others were wounded in the attack. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident.",2014/4/19,11.0,5.0,-9
110,Al-Qaida in the Islamic Maghreb (AQIM),40.0,group claimed,Western Europe,Spain,"A roadside bomb detonated near a military vehicle in Ain Kercha town, Oum El Bouaghi province, Algeria. Seven soldiers were killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Islamic Maghreb (AQIM).",2014/7/12,7.0,0.0,1
17,Separatists,38.0,police attributed,Western Europe,Spain,"Four assailants on two motorcycles opened fire on Buddhist villagers offering food to a monk in village number one, Maelan district, Pattani province, Thailand. Four people, including a monk, were killed and six people, including a police officer providing protection, were wounded in the attack. No group claimed responsibility for the incident; however, police attributed responsibility to separatists.",2014/2/13,4.0,6.0,0
119,Al-Qaida in the Islamic Maghreb (AQIM),36.0,suicide bomber,Western Europe,Spain,"A suicide bomber detonated an explosives-laden vehicle at a United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) camp in Ber village, Timbuktu region, Mali. In addition to the suicide bomber, two peacekeepers were killed and seven others were wounded in the attack. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident.",2014/8/16,3.0,7.0,-9
71,Separatists,27.0,sungai kolok,Western Europe,Spain,"An explosive device detonated near an electricity pole in Sirinthon Park in Sungai Kolok district, Narathiwat province, Thailand. Nine people were injured in the blast. This was one of 23 coordinated attacks across Narathiwat and Yala provinces on the night of May 11, 2014 and early morning of May 12, 2014. No group claimed responsibility; however, sources suspect that separatists were behind the incident.",2014/5/11,0.0,9.0,-9
92,Informal Anarchist Federation,5.0,south west,Western Europe,Italy,"Assailants detonated a homemade incendiary explosive device at the entrance of the North Avon Magistrate's Court in Yate city, South West region, England, United Kingdom. There were no casualties in the attack; however, the entrance and lobby of the building were damaged in the fire. The Informal Anarchist Federation claimed responsibility for the incident in a post online.",2014/5/22,0.0,0.0,1
107,Informal Anarchist Federation,5.0,south west,Western Europe,Italy,"Assailants set fire to four cars on Glebe Road in St. George area, Bristol city, South West region, England, United Kingdom. There were no reports of injuries in the attack. Police arrested one individual in connection with this and several related arson incidents. The Informal Anarchist Federation claimed responsibility for the incident and stated that the attack was to disprove the notion of social peace and to ""intensify the hostilities.""",2014/6/30,0.0,0.0,1
91,Informal Anarchist Federation,5.0,assailants set,Western Europe,Italy,"Assailants set fire to a luxury vehicle on Moncur street in Woolahra neighborhood, Sydney city, New South Wales state, Australia. There were no reported casualties in the attack. This was one of two coordinated attacks carried out by the same group in Woolahra neighborhood on May 18, 2014. The Informal Anarchist Federation claimed responsibility for the incident.",2014/5/18,0.0,0.0,1
96,The New Irish Republican Army,5.0,explosive device,Western Europe,Ireland,"Assailants threw an explosive device at the Everglades Hotel in Prehen area, Londonderry district, Northern Ireland, United Kingdom. The explosive device detonated while security personnel were attempting to defuse it. There were no reported casualties in the blast. The New Irish Republican Army claimed responsibility for the incident.",2014/5/29,0.0,0.0,1
114,Dissident Republicans,5.0,group claimed,Western Europe,Ireland,"Assailants opened fire on a police patrol in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to dissident republicans.",2014/7/29,0.0,0.0,1
147,The New Irish Republican Army,5.0,united kingdom,Western Europe,Ireland,"Assailants launched an explosive device at a police vehicle on Twaddell Avenue in Belfast city, Belfast district, Northern Ireland, United Kingdom. No casualties were reported, but the vehicle was slightly damaged by the blast. The New Irish Republican Army claimed responsibility for the incident.",2014/11/16,0.0,0.0,1
143,Dissident Republicans,5.0,nearby civilian,Western Europe,Ireland,"Assailants threw a mortar at a police vehicle in Creggan Heights area, Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured in the blast, but the vehicle and a nearby civilian car were damaged. No group claimed responsibility for the incident; however, sources attributed the attack to dissident republicans.",2014/11/2,0.0,0.0,1
139,Dissident Republicans,5.0,group claimed,Western Europe,Ireland,"An explosive device detonated after being tossed into a van in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties, but the van suffered damages in the blast. No group claimed responsibility; however, sources attributed the incident to dissident republicans.",2014/10/12,0.0,0.0,1
50,The New Irish Republican Army,5.0,group claimed,Western Europe,Ireland,"Assailants threw a pipe bomb into a civilian vehicle in Creggan neighborhood, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties; however, the vehicle was damaged in the blast. No group claimed responsibility for the incident; however, sources suspected that the New Irish Republican Army was involved in the attack.",2014/3/26,0.0,0.0,1
