,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
318,Donetsk People's Republic,845.0,seize marinka,Eastern Europe,Ukraine,"Assailants attacked and attempted to seize Marinka town, Donetsk oblast, Ukraine. At least 85 people, including five soldiers and 80 assailants, were killed and 140 others, including 101 soldiers and 39 assailants, were wounded in the ensuing clash. Additionally at least one soldier, Roman Marchenko, was abducted and released as of June 7th, 2015. The Donetsk People's Republic claimed responsibility for the incident.",2015/6/3,85.0,140.0,-9
351,Donetsk People's Republic,805.0,30 ukrainian,Eastern Europe,Ukraine,"Assailants attacked Ukrainian soldiers with artillery and tanks near Starohnativka, Donetsk oblast, Ukraine. At least seven Ukrainian soldiers were killed and 30 Ukrainian soldiers were wounded, and 136 assailants were killed. The Donetsk People's Republic claimed responsibility for the incident.",2015/8/10,143.0,30.0,-9
149,Donetsk People's Republic,536.0,least 13,Eastern Europe,Ukraine,"Assailants ambushed Ukrainian soldiers evacuating residents in Debaltseve city, Donetsk oblast, Ukraine. At least 13 soldiers were killed, 157 were wounded, and 90 were abducted during the withdrawal; the outcome of the abduction is unknown. The Donetsk People's Republic claimed responsibility for the incident.",2015/2/18,13.0,157.0,-9
103,Luhansk People's Republic,95.0,group claimed,Eastern Europe,Ukraine,"Assailants attacked a Ukrainian military checkpoint near Novotoshkivske town, Luhansk oblast, Ukraine. This was one of nine similar attacks on Ukrainian soldiers on this day. At least 110 assailants were killed and 90 were wounded across the attacks. No group claimed responsibility for the incident; however, sources attributed it to the Luhansk People's Republic.",2015/1/24,12.0,10.0,1
100,Luhansk People's Republic,95.0,least 110,Eastern Europe,Ukraine,"Assailants attacked Ukrainian soldiers near Novozvanivka town, Luhansk oblast, Ukraine. This was one of nine similar attacks on Ukrainian soldiers on this day. At least 110 assailants were killed and 90 were wounded across the attacks. No group claimed responsibility for the incident; however, sources attributed it to the Luhansk People's Republic.",2015/1/24,12.0,10.0,1
102,Luhansk People's Republic,95.0,least 110,Eastern Europe,Ukraine,"Assailants attacked Ukrainian soldiers near Popasna town, Luhansk oblast, Ukraine. This was one of nine similar attacks on Ukrainian soldiers on this day. At least 110 assailants were killed and 90 were wounded across the attacks. No group claimed responsibility for the incident; however, sources attributed it to the Luhansk People's Republic.",2015/1/24,12.0,10.0,1
80,Pro-Russia Militia,39.0,least 13,Eastern Europe,Ukraine,"An explosive device detonated near the district court building in Moskovskyi neighborhood, Kharkiv city, Kharkiv oblast, Ukraine. At least 13 people were wounded in the blast. A pro-Russia militia claimed responsibility for the attack.",2015/1/19,0.0,13.0,-9
243,Kosovo Liberation Army (KLA),8.0,ohrid framework,Eastern Europe,Albania,"Assailants stormed a police department and took four officers hostage in Gosince village, Lipkovo municipality, Macedonia. The officers were able to free themselves soon afterward. The Kosovo Liberation Army (KLA) claimed responsibility and stated that the group did not observe the Ohrid Framework Agreement, although sources questioned the veracity of this claim.",2015/4/21,0.0,1.0,1
194,Pro-Russia Militia,5.0,russia militia,Eastern Europe,Ukraine,"An explosive device detonated targeting the Self Reliance political party office in Admiralsky neighborhood, Odessa city, Odessa oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, authorities arrested three Pro-Russia Militia members in connection with the attack.",2015/3/12,0.0,0.0,1
244,Pro-Russia Militia,5.0,ukrainian military,Eastern Europe,Ukraine,"An explosives-laden vehicle detonated targeting a Ukrainian military vehicle in Kharkiv city, Kharkiv oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to a Pro-Russia Militia.",2015/4/21,0.0,0.0,1
81,Chechen Rebels,0.0,group claimed,Eastern Europe,Russia,"Assailants abducted a former separatist governor from his residence in Donetsk city, Donetsk oblast, Ukraine. The former governor, Pavel Gubarev, was released on January 20th, 2015. No group claimed responsibility; however, sources attributed the attack to Chechen rebels.",2015/1/19,0.0,0.0,0
237,Kosovo Liberation Army (KLA),0.0,kosovo liberation,Eastern Europe,Albania,"Assailants threw grenades that detonated near a government building in Skopje, Skopje region, Macedonia. There were no reported casualties in the blasts. The Kosovo Liberation Army (KLA) claimed responsibility for the attack.",2015/4/10,0.0,0.0,0
