,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
10,Anti-Police extremists,30.0,hated police,North America,United States,"An assailant shot and injured police sergeant Sylvia Young in Philadelphia, Pennsylvania, United States. When officers responded, the assailant proceeded to shoot at additional targets, including people sitting in a tavern and in a vehicle, and another police officer in an alley. The assailant and one civilian were killed and five people, including two police officers, were injured in the attack. Nicholas Glenn claimed responsibility for the incident and stated in a note left at the scene that he hated police officers.",2016/9/16,2.0,5.0,1
6,Anti-Police extremists,29.0,recent racial,North America,United States,"An assailant opened fire on police in Baton Rouge, Louisiana, United States. Four people, including three police officers and the assailant, were killed and three officers were injured in the assault. Sources identified the assailant as Gavin Long and while his specific motive is unknown, Long's social media presence indicated that the attack may have been related to recent racial tensions.",2016/7/17,4.0,3.0,0
4,Anti-Police extremists,22.0,assailant opened,North America,United States,"An assailant opened fire on police officers and civilians in Bristol, Tennessee, United States. One person was killed and four others, including a police officer and the assailant, were injured in the attack. Lakeem Keon Scott claimed responsibility for the incident and stated that he carried out the attack because he was upset with the deaths of African Americans by authorities in Louisiana and Minnesota. Additionally, witnesses reported Scott shouting, ""Police suck! Black lives matter!"" during the attack.",2016/7/7,1.0,4.0,1
3,White extremists,9.0,stephen sorensen,North America,United States,"Three assailants armed with knives attacked a group of Hispanic teenagers playing soccer at Stephen Sorensen Park in Lake Los Angeles, California, United States. At least two people suffered minor injuries in the assault. The three assailants, identified as Ian Justine Plankey, Richard Lawrence Daulton, and Kevin Matthew Stewart, were arrested following the incident. During the attack, they shouted white supremacist statements and racial slurs, including ""Heil Hitler, AV Skins.""",2016/2/28,0.0,3.0,0
11,Young Communist League,5.0,revolutionary claimed,North America,United States,"An explosive device detonated at Akashdeep School in Jorpati, Kathmandu, Nepal. There were no reported casualties in the blast. This was one of eight related attacks on schools in this area on this day. The Young Communist League and All Nepal National Free Student Union-Revolutionary claimed responsibility for the incident in pamphlets left at the scene which demanded free tuition for students; however, an All Nepal Free Student Union-Revolutionary spokesperson later denied responsibility for the incident. The Maoist Communist Central of Nepal (MCCN) also claimed responsibility for the incident.",2016/9/20,0.0,0.0,1
19,Left-wing extremists,5.0,health insurance,North America,United States,"Assailants attacked the office of Bettina Kudla, a member of parliament, in Leipzig, Saxony, Germany. No casualties were reported in the attack. Left wing extremists claimed responsibility for the incident and stated that the victim was responsible for conservative policies on asylum and the deterioration of health insurance for the unemployed.",2016/10/4,0.0,0.0,1
20,Left-wing extremists,5.0,targeted exhibition,North America,United States,"Assailants attacked and set fire to an exhibition center in Hamburg, Germany. There were no reported casualties in the assault. Left-Wing extremists claimed responsibility for the incident and stated that the group did not approve of the meetings that were held at the targeted exhibition center.",2016/11/26,0.0,0.0,1
5,Anti-Muslim extremists,5.0,islamic community,North America,United States,"An assailant opened fire on an Islamic Community center in College Station, Texas, United States. There were no reported casualties in the assault. No group claimed responsibility; however, sources suspected that the attack was carried out by anti-Muslim extremists.",2016/7/7,0.0,0.0,1
8,Anti-Muslim extremists,5.0,joseph michael,North America,United States,"An assailant set fire to the Islamic Center mosque in Fort Pierce, Florida, United States. There were no reported casualties in the attack. Joseph Michael Schreiber was arrested and claimed responsibility for the incident.",2016/9/12,0.0,0.0,1
9,Anti-Muslim extremists,5.0,ibrahim jame,North America,United States,"An assailant set fire to Ibrahim Jame Mosque in Hamilton, Ontario, Canada. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources identified the assailant, Keith Frederick, as an anti-Muslim extremist.",2016/9/14,0.0,0.0,1
12,Young Communist League,5.0,revolutionary claimed,North America,United States,"An explosive device detonated at Manakamana School in Jorpati, Kathmandu, Nepal. There were no reported casualties in the blast. This was one of eight related attacks on schools in this area on this day. The Young Communist League and All Nepal National Free Student Union-Revolutionary claimed responsibility for the incident in pamphlets left at the scene which demanded free tuition for students; however, an All Nepal Free Student Union-Revolutionary spokesperson later denied responsibility for the incident. The Maoist Communist Central of Nepal (MCCN) also claimed responsibility for the incident.",2016/9/20,0.0,0.0,1
2,White extremists,3.0,court ericson,North America,United States,"An assailant armed with a hatchet attacked Zhang Yue, an 18-year-old Chinese exchange student, in Nashville, Indiana, United States. Yue was injured in the assault. Authorities arrested Dana Ericson, who confessed to the attack, self-identified as a white supremacist, and indicated that his goal was ethnic cleansing. In court Ericson stated that he was ""trying to start a revolution.""",2016/2/18,0.0,1.0,0
14,Young Communist League,0.0,revolutionary claimed,North America,United States,"An explosive device was discovered and safely defused at Rai School in Jorpati, Kathmandu, Nepal. This was one of eight related attacks on schools in this area on this day. The Young Communist League and All Nepal National Free Student Union-Revolutionary claimed responsibility for the incident in pamphlets left at the scene which demanded free tuition for students; however, an All Nepal Free Student Union-Revolutionary spokesperson later denied responsibility for the incident. The Maoist Communist Central of Nepal (MCCN) also claimed responsibility for the incident.",2016/9/20,0.0,0.0,0
