,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
362,Tehrik-i-Taliban Pakistan (TTP),1453.0,least 78,South Asia,Pakistan,"A suicide bomber detonated at Gulishan-e-Iqbal Park in Lahore, Punjab, Pakistan. In addition to the bomber, at least 78 people were killed and more than 350 others were injured in the blast. Jamaat-ul-Ahrar, a faction of the Tehrik-i-Taliban Pakistan (TTP), claimed responsibility and stated that the attack targeted Christians celebrating Easter Sunday and was also in retaliation for military operations in the area.",2016/3/27,79.0,351.0,1
470,Taliban,1401.0,taliban claimed,South Asia,Afghanistan,"A suicide bomber detonated an explosives-laden vehicle targeting a National Directorate for Security (NDS) building in Kabul, Afghanistan. Assailants then opened fire on civilians, security members, and government employees following the blast. In addition to the deaths of three assailants, at least 68 people were killed and 347 people were injured in the assault. The Taliban claimed responsibility for the attack. However, sources also attributed the incident to the Haqqani Network.",2016/4/19,71.0,347.0,1
1228,Taliban,1135.0,casualties included,South Asia,Afghanistan,"Assailants attacked Kunduz city, Kunduz, Afghanistan. At least 154 people were killed and 120 people were injured in the ensuing clashes which lasted until October 9, 2016. The casualties included assailants, security forces, and civilians. The Taliban claimed responsibility for the incident and demanded that the United States remove all American armed forces from Afghanistan.",2016/10/3,154.0,120.0,1
1099,Taliban,758.0,taliban claimed,South Asia,Afghanistan,"Assailants attacked Giro, Ghazni, Afghanistan. At least 80 assailants and five security personnel were killed and 111 people, including assailants, security forces and civilians, were wounded in the ensuing clash. The Taliban claimed responsibility for the incident.",2016/9/5,85.0,111.0,-9
1161,Tehrik-i-Taliban Pakistan (TTP),288.0,least 37,South Asia,Pakistan,"A suicide bomber detonated at a mosque in Pai Khan, Mohmand district, Federally Administered Tribal Areas, Pakistan. In addition to the bomber, at least 37 people were killed and 31 others were injured in the blast. The Jamaat-ul-Ahrar faction of Tehrik-i-Taliban Pakistan (TTP) claimed responsibility and stated that the attack was carried out in retaliation for military operations against the group.",2016/9/16,38.0,31.0,1
1091,Tehrik-i-Taliban Pakistan (TTP),202.0,suicide bomber,South Asia,Pakistan,"A suicide bomber threw a grenade, opened fire, and detonated an explosives-laden vest at the district and sessions court in Mardan, Khyber Pakhtunkhwa, Pakistan. In addition to the bomber, at least 13 were killed and 44 others were injured in the blast. The Jamaat-ul-Ahrar faction of Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the attack.",2016/9/2,14.0,44.0,-9
857,Communist Party of India - Maoist (CPI-Maoist),95.0,least six,South Asia,India,"Assailants detonated explosive devices and opened fire on Central Reserve Police Force (CRPF) personnel in Aurangabad district, Bihar, India. At least six assailants and 10 CRPF members were killed and five CRPF members were injured in the ensuing clash. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident.",2016/7/18,16.0,5.0,-9
242,Muslim extremists,77.0,least seven,South Asia,Afghanistan,"Assailants fired rockets that landed and detonated in Jamiliyeh neighborhood, Aleppo city, Aleppo governorate, Syria. At least seven people were killed and 14 others were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Muslim extremists.",2016/2/24,7.0,14.0,-9
1019,Muslim extremists,67.0,least seven,South Asia,Afghanistan,"Assailants fired projectiles that landed and detonated in Saladin neighborhood, Aleppo, Syria. At least seven people were killed and nine others were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Muslim extremists.",2016/8/17,7.0,9.0,1
898,Muslim extremists,65.0,group claimed,South Asia,Afghanistan,"An assailant threw grenades and opened fire on a mosque in Bani Bahlol, Sanaa, Yemen. At least four people were killed and 15 people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim extremists.",2016/7/26,4.0,15.0,-9
100,Communist Party of India - Maoist (CPI-Maoist),58.0,seven police,South Asia,India,"An explosive device detonated targeting police personnel near Kasiyar, Madhya Pradesh, India. Seven police officers were killed and six others were injured in the blast. In addition, an unknown number of police were reported missing; their whereabouts remain unknown. Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the death of Communist Party of India - Maoist (CPI-Maoist) members in Aurangabad district.",2016/1/27,7.0,6.0,1
277,Maoists,54.0,joint commando,South Asia,India,"Assailants attacked a joint Commando Battalion for Resolute Action (COBRA) and District Reserve Group (DRG) team in Sukma district, Chhattisgarh, India. At least three soldiers were killed and 13 soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",2016/3/3,3.0,13.0,0
317,Maoists,39.0,least 13,South Asia,India,"Sometime between March 1, 2016 and March 31, 2016, Assailants attacked Kumakoleng, Chhattisgarh, India. At least 13 civilians were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",2016/3/15,0.0,13.0,0
309,Maoists,22.0,group claimed,South Asia,India,"Assailants attacked a Border Security Force (BSF) patrol in Becha village, Chhattisgarh, India. Two BSF members were killed while four others were wounded in the attack. No group claimed responsibility for the attack; however, sources attributed it to Maoists.",2016/3/12,2.0,4.0,0
388,Communist Party of India - Maoist (CPI-Maoist),18.0,group claimed,South Asia,India,"Approximately 52 landmines detonated targeting a Central Reserve Police Force (CRPF) patrol in Topchanchi, Jharkhand, India. Following the blasts, assailants opened fire on the patrol. At least six CRPF members were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Communist Party of India - Maoist (CPI-Maoist).",2016/4/2,0.0,6.0,0
