,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
55,Al-Qaida in the Islamic Maghreb (AQIM),334.0,suicide bomber,Western Europe,Spain,"On Tuesday morning, a suicide bomber drove a car packed with explosives into an Algerian police academy in Les Issers, Boumerdès, Algeria. The bomb killed 43 people and injured 38 others. Actual damage is unknown. No group claimed responsibility but al Qaeda is suspected for this attack.",2009/8/18,43.0,38.0,1
48,Basque Fatherland and Freedom (ETA),143.0,broken underground,Western Europe,Spain,"On Wednesday night around 0400, in Burgos, Spain, 46 people were slightly injured when a car bomb, planted by suspected members of the Basque separatist group ETA (Basque Homeland and Freedom), exploded outside a police compound in northern Spain. The blast, which occurred in the city of Burgos, ripped away most of the outer wall of the 14-storey barracks, and gouged a crater that had been filled with water from broken underground pipes.",2009/7/29,0.0,46.0,1
41,Al-Qaida in the Islamic Maghreb (AQIM),140.0,two linked,Western Europe,Spain,"On Friday, in al-Wasra, Gao of northern Mali, Al-Qaeda in the Islamic Maghreb (AQIM) fighters claimed to have killed 28 Malian soldiers when they attacked their convoy. It also claims to have captured three other soldiers in the same attack. This incident was part of a series of two linked attacks that targeted Malian soldiers around Gao. The status of the three captured soldiers is unknown.",2009/7/3,28.0,0.0,-9
36,Al-Qaida in the Islamic Maghreb (AQIM),124.0,assailants also,Western Europe,Spain,"Members of Al-Qa ida in the Lands of the Islamic Maghreb (AQLIM) ambushed a convoy of police near El Mehir, Bordj Bou Arreridj province, Algeria.  The convoy was returning from escorting  Chinese construction workers to a road project when they were attacked.  The assailants detonated two roadside bombs as the convoy passed by, then opened fire on it.  At least 18 officers and one civilian was killed in the attack, while another eight were injured; the assailants also took the victims' weapons and uniforms.",2009/6/17,19.0,8.0,1
52,Basque Fatherland and Freedom (ETA),11.0,causing minor,Western Europe,Spain,"On Sunday, in Palma, Islas Baleares, Spain, an improvised explosive device exploded in the La Rigoletta restaurant, damaging the restaurant and causing minor injuries after the bar was warned of an imminent blast. Basque Fatherland and Liberty (ETA) claimed responsibility.",2009/8/9,0.0,2.0,1
37,Basque Fatherland and Freedom (ETA),10.0,police chief,Western Europe,Spain,"On Friday morning at 0905, in Arrigorriaga, Vizkaya/Biscay, Spain, an improvised explosive device exploded as a police chief started his vehicle, killing him and destroying the vehicle. Basque Fatherland and Liberty (ETA) claimed responsibility.",2009/6/19,1.0,0.0,1
57,Revolutionary Struggle,8.0,group claimed,Western Europe,Greece,"On Wednesday morning at 0538, in one of two related attacks, in Athens, Attiki, Greece, assailants detonated a vehicle borne improvised explosive device outside the Athens stock exchange, wounding a civilian and damaging the building and several cars. The attack was preceded by anonymous warning calls to the newspaper Eleftherotypia about 40 minutes before the attack, but no motive was reported. No group claimed responsibility but police suspected a far-left militant group called the Revolutionary Struggle to be responsible for the attack. This is one of two related attacks.",2009/9/2,0.0,1.0,1
58,Revolutionary Struggle,5.0,group claimed,Western Europe,Greece,"On Wednesday night at 0456, in one of two related attacks, in Thessaloniki, Macedonia, Greece, assailants detonated a bomb hidden in a telephone booth outside the provincial ministry for Macedonia caused no casualties but damaged the building. The attack was preceded by anonymous warning calls to the newspaper Eleftherotypia about 40 minutes before the attack, but no motive was reported. No group claimed responsibility but police suspected a far-left militant group called Revolutionary Struggle to be responsible for the attack. This is one of two related attacks.",2009/9/2,0.0,0.0,1
60,Conspiracy of Cells of Fire,5.0,release four,Western Europe,Greece,"On Friday evening at about 2000, in Athens, Attiki, Greece, assailants detonated an improvised explosive device during a political campaign rally, shortly before a scheduled speech by Prime Minister Karamanlis, damaging two motorcycles, several stores, and an apartment building, but caused no casualties. The motive for the attack was to send a message to the authorities to release four members that had been arrested a few days earlier. The Conspiracy of Fire Nuclei claimed responsibility for the attack with an online proclamation.",2009/10/2,0.0,0.0,1
66,Conspiracy of Cells of Fire,5.0,greek member,Western Europe,Greece,"On Friday afternoon at about 1400, in Athens, Attiki, Greece, an improvised explosive device exploded outside the residence of a Greek Member of Parliament, damaging the residence but causing no casualties. The Conspiracy of Fire Nuclei claimed responsibility.",2009/11/13,0.0,0.0,1
