,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
0,Anti-Police extremists,8.0,personal frustrations,North America,United States,"An assailant opened fire on two Riverside police officers in Corona, California, United States. One police officer died and the other officer was wounded in the asault. The perpetrator, Christopher Dorner, posted a lengthy statement online detailing his grievances, including both his personal frustrations regarding his dismissal from the Los Angeles Police Department (LAPD) as well as what he viewed as excessive use of force and racism in policing. This attack took place in the context of an extensive manhunt for Dorner, who carried out an initial attack on February 3 against targets he selected in retaliation for the decision to fire him. Following the manhunt, police located and surrounded Dorner in a remote cabin where he had died of a self-inflicted gunshot wound.",2013/2/7,1.0,1.0,0
1,White extremists,5.0,west midlands,North America,United States,"An assailant stabbed and killed Mohammed Saleem, a Muslim civilian, as he walked home from a mosque in Small Heath neighborhood, Birmingham city, West Midlands region, England, United Kingdom. In July, 2013, police arrested Pavlo Lapsyn, a self-described white supremacist, for the murder. Lapsyn confessed to the killing, as well as planting several bombs outside of mosques in the area. He was sentenced to 40 years in prison.",2013/4/29,1.0,0.0,0
3,Anti-Muslim extremists,5.0,group claimed,North America,United States,"Assailants set a fire outside of Masjid-e-Noor mosque in Gloucester city, Gloucestershire county, England, United Kingdom. No injuries were reported in the attack. No group claimed responsibility for the incident; however, two individuals, Clive Ceronne and Ashley Juggins, were arrested in connection with the attack. Authorities believe that the attack was a response to the killing of a British soldier, Lee Rigby, in May, 2013.",2013/6/18,0.0,0.0,1
4,White extremists,5.0,identified white,North America,United States,"An explosive device detonated at a mosque in Walsall, West Midlands, England, United Kingdom. No injuries were reported, and the blast caused little damage. Pavlo Lapshyn, a self-identified white supremacist, was arrested and pled guilty to the offence.",2013/6/21,0.0,0.0,1
7,Anti-Muslim extremists,5.0,great manchester,North America,United States,"Assailants vandalized the Islamic Society of Great Manchester Mosque and attempted to set it on fire in Manchester, New Hampshire, United States. There were no reported casualties in the attack. Two assailants, identifed as anti-Muslim extremists, claimed responsibility for the incident.",2013/7/25,0.0,0.0,1
9,Jewish Defense League (JDL),3.0,six assailants,North America,United States,"Six assailants beat up a man and locked him in the trunk of a car in Villeurbanne city, Rhone-Alpes department, France. The Jewish Defense League (JDL) claimed responsibility for the attack, stating that the victim was being punished for performing the quenelle, an anti-Semitic gesture.",2013/12/22,0.0,1.0,0
2,Anti-Muslim extremists,0.0,video attempting,North America,United States,"An assailant attempted to set fire to a local mosque in Rhyl town, Wales, United Kingdom. The attacker, John Parkin, was arrested at the scene after he was caught on video attempting to light a beer bottle on fire on the grounds of the mosque. Parkin, who admitted to being under the influence of alcohol at the time of the incident, told police that it was his intention to light the bottle and hurl it at the mosque. Police suspected that Parkin was inspired to carry out the attack in response to the murder of a British soldier, Lee Rigby, on May 22, 2013, in England.",2013/5/25,0.0,0.0,0
5,White extremists,0.0,west midlands,North America,United States,"An explosive device detonated near the central mosque in Wolverhampton city, West Midlands region, England, United Kingdom. No casualties were reported, and evidence of the incident was not discovered until July 18, 2013. No group claimed responsibility for the incident; however, authorities detained and convicted Pavlo Lapshyn in connection with the incident in October, 2013.",2013/6/28,0.0,0.0,0
8,Jewish Defense League (JDL),,mama shelter,North America,United States,"Assailants attempted to attack an employee of the Mama Shelter Hotel in Lyon city, Rhone-Alpes department, France. Hotel security protected the employee, and the casualty information resulting from the incident is unknown. The Jewish Defense League (JDL) claimed responsibility for the attack, stating that the employee was being punished for performing the quenelle, an anti-Semitic gesture.",2013/12/21,0.0,,0
6,White extremists,0.0,west midlands,North America,United States,"A pipe bomb detonated at the Kanz Ul Iman Masjid mosque in Tipton city, West Midlands region, England, United Kingdom. No casualties were reported. No group claimed responsibility for the incident; however, authorities detained and convicted Pavlo Lapshyn in connection with the incident in October, 2013. This incident occurred on the same day as the funeral for Lee Rigby, a soldier killed by alleged Islamic extremists in London.",2013/7/12,0.0,0.0,0
