,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
1,Uighur Separatists,594.0,least four,East Asia,China,"Assailants attacked a train station in Kunming city, Yunnan province, China. At least four assailants and 29 other people were killed in the attack. Additionally, at least 143 people were wounded. Uighur separatists claimed responsibility for the incident.",2014/3/1,33.0,143.0,0
3,Uighur Separatists,467.0,five suicide,East Asia,China,"Five suicide bombers detonated two explosives-laden vehicles at a market in Urumqi city, Xinjiang region, China. In addition to five suicide bombers, 31 people were killed and 94 others were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2014/5/22,36.0,94.0,1
12,Uighur Separatists,182.0,including four,East Asia,China,"Four assailants attacked police officers and civilians at a farmers market with knives and explosives in Bachu district, Kashgar prefecture, Xinjiang region, China. At least 22 people, including four assailants, were killed and 24 people were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Uighur separatists.",2014/10/12,22.0,24.0,-9
0,Uighur Separatists,72.0,laden vehicles,East Asia,China,"Assailants in explosives-laden vehicles carried out an attack in Wushi district, Xinjiang province, China. It is unclear if the explosives detonated as planned or if police officers opened fire, but at least 11 assailants were killed, and two Xinjiang Public Security Bureau (PSB) officers and two civilians were wounded. No group claimed responsibility; however, sources attributed the incident to Uighur separatists.",2014/2/14,11.0,4.0,1
2,Uighur Separatists,21.0,group claimed,East Asia,China,"An assailant with a knife attacked a train station in Guangzhou city, Guangdong province, China. Seven people, including one assailant, were injured in the incident. No group claimed responsibility for the attack; however, authorities attributed the incident to Uighur separatists.",2014/5/6,0.0,7.0,0
4,Uighur Separatists,25.0,least two,East Asia,China,"Assailants wielding knives attacked a chess hall in Hotan district, Xinjiang province, China. The people in the hall retaliated; at least two assailants were killed and five victims and assailants were injured in the ensuing clash. Muslim fundamentalists claimed responsibility for the incident. In his claim of the attack, one of the assailants noted that he was attempting to wage a holy war and attacked the chess hall because he thought the people inside would not put up a resistance.",2014/6/15,2.0,5.0,0
5,Uighur Separatists,25.0,group claimed,East Asia,China,"Assailants attacked a vehicle carrying Han Chinese businesspeople and stabbed them in Aksu city, Xinjiang province, China. Five people were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2014/7/12,5.0,0.0,0
6,Uighur Separatists,5.0,group claimed,East Asia,China,"Assailants attacked and stabbed Nurmemet Rozi in Aktokay town, Xinjiang province, China. Rozi, the Director of the Justice Department, was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2014/7/18,1.0,0.0,0
7,Uighur Separatists,5.0,group claimed,East Asia,China,"Assailants stabbed Jume Tahir in Kashgar city, Xinjiang region, China. Tahir, an imam, was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2014/7/30,1.0,0.0,0
8,Uighur Separatists,112.0,least 50,East Asia,China,"An explosive device detonated near a Chinese Police Station in Luntai district, Xinjiang region, China. This was one of four bombings in Luntai on the same day. At least 50 people, including 40 assailants, were killed and 54 others were injured across all four attacks. No group claimed responsibility; however, sources attributed the attacks to Mamat Tursun, a Uighur separatist.",2014/9/21,13.0,14.0,1
9,Uighur Separatists,112.0,least 50,East Asia,China,"An explosive device detonated near a Chinese Police Station in Luntai district, Xinjiang region, China. This was one of four bombings in Luntai on the same day. At least 50 people, including 40 assailants, were killed and 54 others were injured across all four attacks. No group claimed responsibility; however, sources attributed the attacks to Mamat Tursun, a Uighur separatist.",2014/9/21,13.0,14.0,1
10,Uighur Separatists,104.0,least 50,East Asia,China,"An explosive device detonated near a market in Luntai district, Xinjiang region, China. This was one of four bombings in Luntai on the same day. At least 50 people, including 40 assailants, were killed and 54 others were injured across all four attacks. No group claimed responsibility; however, sources attributed the attacks to Mamat Tursun, a Uighur separatist.",2014/9/21,12.0,13.0,1
