,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
434,Al-Shabaab,265.0,two explosive,Sub-Saharan Africa,Somalia,"Two explosive devices, one planted in a mini-bus and another planted under a vehicle, detonated simultaneously at the Gikomba market in Nairobi city, Nairobi county, Kenya. Ten people were killed and 70 others were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",2014/5/16,10.0,70.0,1
527,Al-Shabaab,254.0,target political,Sub-Saharan Africa,Somalia,"A group of 50 assailants attacked Mpeketoni town, Lamu province, Kenya. At least 48 residents were killed and three residents were injured in the incident; assailant casualties are unknown. This was one of two attacks carried out by the same group on the same day. Al-Shabaab claimed responsibility for the incidents The specific motive is unknown; however, some sources stated that Al-Shabaab members committed the attack and told victims that the attack was in revenge for Kenyan intervention in Somalia; however, authorities later arrested a local governor, Issa Timamy, and accused him of orchestrating the attacks, which were meant to target political rivals. Timamy is currently awaiting trial.",2014/6/15,48.0,3.0,1
468,Al-Shabaab,252.0,somali national,Sub-Saharan Africa,Somalia,"Assailants opened fire on a joint Ethiopian African Union Mission in Somalia (AMISOM) and Somali National Army (SNA) convoy in Caato, Bakool, Somalia. At least 39 people, including 27 soldiers and 12 assailants, were killed and 19 others were injured in the assault. Al-Shabaab claimed responsibility for the attack.",2014/5/27,39.0,19.0,-9
38,Anti-Balaka Militia,251.0,least 43,Sub-Saharan Africa,Central African Republic,"Assailants attacked a mosque in Bossembele town, Ombella-M'Poko prefecture, Central African Republic. At least 43 people were killed and at least 12 others were injured in the attack. No group claimed responsibility for the incident; however, authorities attributed it to an anti-Balaka militia.",2014/1/16,43.0,12.0,-9
13,Fulani extremists,247.0,thirty four,Sub-Saharan Africa,Nigeria,"More than 100 gunmen attacked the Shonong village, Bachit District, Plateau state, Nigeria. Thirty four people were killed and 24 others were wounded. Additionally, 56 homes were burned down and dozens of domesticated animals were stolen or killed in the attack. No group claimed responsibility for the incident; however, surviving victims and local authorities attributed the attack to Fulani militants.",2014/1/6,34.0,24.0,1
134,Janjaweed,229.0,south darfur,Sub-Saharan Africa,Sudan,"Assailants attacked Hijer Tunja area in South Darfur state, Sudan. At least 31 people were killed and 23 others were wounded and 35 villages were set on fire in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Janjaweed.",2014/2/28,31.0,23.0,1
324,Anti-Balaka Militia,215.0,least 37,Sub-Saharan Africa,Central African Republic,"Assailants attacked the positions of ex-Seleka rebels in Dekoa town, Kemo prefecture, Central African Republic. At least 37 people were killed and 10 injured in the attack, including many civilians. No group claimed responsibility for the incident; however, sources attributed it to anti-Balaka assailants.",2014/4/8,37.0,10.0,-9
893,Fulani extremists,188.0,least 12,Sub-Saharan Africa,Nigeria,"Assailants attacked residents and buildings in Fadan Karshi village, Kaduna state, Nigeria. At least 12 people were killed and 41 others were injured in the assault. This was one of four attacks carried out by the same group of assailants in Sanka local government area on this night. No group claimed responsibility; however, sources attributed the attacks to Fulani militants.",2014/9/17,12.0,41.0,1
1138,Allied Democratic Forces (ADF),186.0,north kivu,Sub-Saharan Africa,Uganda,"Assailants wielding axes and machetes attacked civilians in Oicha village, North Kivu province, Democratic Republic of the Congo. At least 36 people were killed and two others were wounded in the attack. Additionally, two people were abducted; their whereabouts are unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Allied Democratic Forces (ADF).",2014/12/7,36.0,2.0,-9
39,Anti-Balaka Militia,184.0,least 23,Sub-Saharan Africa,Central African Republic,"Gunmen attacked a Muslim refugee convoy near Bouar town, Nana-Mambere prefecture, Central African Republic. At least 22 people were killed and at least 23 others were wounded as a result. No group claimed responsibility for the attack; however, sources attributed it to an anti-Balaka militia.",2014/1/17,22.0,23.0,1
611,Allied Democratic Forces (ADF),180.0,least 96,Sub-Saharan Africa,Uganda,"Assailants attacked a police checkpoint in Kasese district, Western region, Uganda. This was one of three coordinated attacks in districts in the area. At least one police officer was killed in Kasese. Additionally, at least 96 people were killed and 15 others were wounded across all three attacks. No group claimed responsibility for the incidents; however, sources suspected the involvement of Allied Democratic Forces (ADF) and Mayi Mayi tribesmen.",2014/7/5,32.0,5.0,1
613,Allied Democratic Forces (ADF),180.0,mayi mayi,Sub-Saharan Africa,Uganda,"Assailants attacked police and military forces in Ntoroko district, Western region, Uganda. This was one of three coordinated attacks in districts in the area. At least 96 people were killed and 15 others were wounded across all three attacks. No group claimed responsibility for the incidents; however, sources suspected the involvement of Allied Democratic Forces (ADF) and Mayi Mayi tribesmen.",2014/7/5,32.0,5.0,1
918,Fulani extremists,175.0,least ten,Sub-Saharan Africa,Nigeria,"Assailants opened fire on residents and buildings in Gidan-Gambo village, Nassarawa state, Nigeria. At least ten people were killed and 40 others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Fulani militants.",2014/9/23,10.0,40.0,1
143,Janjaweed,90.0,south darfur,Sub-Saharan Africa,Sudan,"Sometime between March 1 and March 2, 2014, assailants set fire to Tukumari village in South Darfur state, Sudan. This was one of seven attacks carried out by the assailants between February 28 and March 2, 2014. At least 100 civilians were killed across all of the attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Janjaweed.",2014/3/2,17.0,0.0,1
717,Janjaweed,88.0,north darfur,Sub-Saharan Africa,Sudan,"Assailants opened fire on commercial trucks in Uzban area, near El Fasher city, North Darfur state, Sudan. At least 13 people were killed and six others were injured in the attack. No group claimed responsibility for the attack; however witnesses attributed the incident to the Janjaweed. The government attributed the incident to the Minni Minnawi faction of the Sudan Liberation Army; the group denied the accusations.",2014/7/19,13.0,6.0,1
