,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
12,Donetsk People's Republic,99.0,two related,Eastern Europe,Ukraine,"Assailants opened fire on military forces near Debaltseve, Donetsk, Ukraine. This was one of two related attacks in the area on this date. At least 25 assailants and five soldiers were killed and 16 soldiers were injured across the ensuing clashes. The Donetsk People's Republic claimed responsibility for the incidents.",2016/12/18,15.0,8.0,-9
13,Donetsk People's Republic,99.0,two related,Eastern Europe,Ukraine,"Assailants opened fire on military forces in Svitlodarsk, Donetsk, Ukraine. This was one of two related attacks in the area on this date. At least 25 assailants and five soldiers were killed and 16 soldiers were injured across the ensuing clashes. The Donetsk People's Republic claimed responsibility for the incidents.",2016/12/18,15.0,8.0,-9
4,Chechen Rebels,29.0,vehicle carrying,Eastern Europe,Russia,"Assailants attacked a vehicle carrying journalists and activists of varying nationalities in Ordzhonikidzevskaya, Ingushetia, Russia. Eight people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Chechen rebels.",2016/3/9,0.0,8.0,1
10,Caucasus Emirate,15.0,assailants opened,Eastern Europe,Russia,"Assailants opened fire on police personnel during a traffic stop in Kabardino-Balkaria, Russia. Three assailants were killed in the ensuing clash. The Caucasus Emirate claimed responsibility for the incident.",2016/10/13,3.0,0.0,-9
3,Pro-Russia Militia,5.0,group claimed,Eastern Europe,Ukraine,"Assailants threw a hand grenade at a Crimean Tatar People office in the Iliushi Kulyka Street area, Kherson city, Kherson oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to a pro-Russian militia.",2016/2/7,0.0,0.0,1
5,Donetsk People's Republic,5.0,vehicle near,Eastern Europe,Ukraine,"Assailants attacked an Organization for Security and Cooperation in Europe (OSCE) vehicle near Snizhne, Donetsk, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the incident to the Donetsk People's Republic.",2016/4/7,0.0,0.0,1
6,Luhansk People's Republic,0.0,group claimed,Eastern Europe,Ukraine,"Armed assailants forced an Organization for Security and Cooperation in Europe (OSCE) observation team to leave a check point in Luhansk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the incident to the Luhansk People's Republic.",2016/4/7,0.0,0.0,0
0,Donetsk People's Republic,0.0,group claimed,Eastern Europe,Ukraine,"Assailants stopped an Organization for Security and Cooperation in Europe (OSCE) vehicle and held the occupants at gunpoint in Horlivka, Donetsk oblast, Ukraine. There were no reported casualties and the victims were released 30 minutes later. No group claimed responsibility for the incident; however, sources attributed the incident to the Donetsk People's Republic.",2016/1/7,0.0,0.0,0
1,Donetsk People's Republic,,religious studies,Eastern Europe,Ukraine,"Assailants abducted a religious studies expert, Ihor Kozlovskyy, in Donetsk city, Donetsk oblast, Ukraine. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",2016/1/28,,,1
2,Donetsk People's Republic,0.0,group claimed,Eastern Europe,Ukraine,"Assailants abducted Maryna Cherenkova, the Responsible Citizens volunteer group coordinator, in Donetsk city, Donetsk oblast, Ukraine. Cherenkova was released on February 22, 2016. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",2016/1/29,0.0,0.0,0
7,Donetsk People's Republic,0.0,two related,Eastern Europe,Ukraine,"Assailants attacked an Organization for Security and Cooperation in Europe (OSCE): Special Monitoring Mission to Ukraine (SMM) convoy in Lukove, Donetsk, Ukraine. This was one of two related attacks on the convoy on this date. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",2016/7/29,0.0,0.0,0
8,Donetsk People's Republic,5.0,two related,Eastern Europe,Ukraine,"Assailants attacked an Organization for Security and Cooperation in Europe (OSCE): Special Monitoring Mission to Ukraine (SMM) convoy and abducted the occupants in Lukove, Donetsk, Ukraine. This was one of two related attacks on the convoy on this date. The hostages were released later the same day. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",2016/7/29,0.0,0.0,1
