,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
27,Shining Path (SL),70.0,least 10,South America,Peru,"Assailants attacked a Peruvian military patrol transporting election material in Jatun Asha, Junin, Peru. At least 10 people were killed and five individuals were wounded in the attack. This is one of two attacks in Junin on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Shining Path (SL).",2016/4/9,10.0,5.0,1
55,Paraguayan People's Army (EPP),45.0,least eight,South America,Paraguay,"Multiple explosive devices detonated near a Paraguayan Armed Forces patrol in Arroyito, Alto Paraguay, Paraguay. Following the blast, assailants then opened fire on the patrol. At least eight soldiers were killed in the attack. No group claimed responsibility; however, sources attributed the incident to the Paraguayan People's Army (EPP).",2016/8/27,8.0,0.0,1
81,National Liberation Army of Colombia (ELN),44.0,norte de,South America,Colombia,"An explosive device detonated targeting a police vehicle in Cucuta, Norte de Santander, Colombia. At least 13 people, including police officers and civilians, were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the National Liberation Army of Colombia (ELN).",2016/11/16,0.0,13.0,1
16,National Liberation Army of Colombia (ELN),41.0,national liberation,South America,Colombia,"An explosive device detonated targeting a police truck in Casanare Department, Colombia. Three police officers were killed and seven officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the National Liberation Army of Colombia (ELN).",2016/2/26,3.0,7.0,1
8,National Liberation Army of Colombia (ELN),24.0,parque lineal,South America,Colombia,"An explosive device detonated in Parque Lineal sector, Cucuta city, Norte de Santander department, Colombia. Eight police officers were wounded in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the National Liberation Army of Colombia (ELN).",2016/2/10,0.0,8.0,0
52,Revolutionary Armed Forces of Colombia (FARC),20.0,revolutionary armed,South America,Colombia,"An explosive device attached to a motorcycle detonated near the town hall in El Retorno, Guaviare, Colombia. At least five people, including police officers and civilians, were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Revolutionary Armed Forces of Colombia (FARC).",2016/8/10,0.0,5.0,1
67,Mapuche activists,11.0,mapuche activists,South America,Chile,"Assailants attacked forestry workers at a tree farm in Santa Aurora, Bio-Bio, Chile. Two workers were injured and two vehicles and a container were set on fire during the attack. No group claimed responsibility for the incident; however, sources suspected that Mapuche activists carried out the attack.",2016/9/29,0.0,2.0,1
82,Revolutionary Armed Forces of Colombia (FARC),10.0,security forces,South America,Colombia,"Assailants extorted money from civilians in Santa Rosa, Bolivar, Colombia. Security forces intervened and killed two assailants and captured a third. The Revolutionary Armed Forces of Colombia (FARC) claimed responsibility for the incident.",2016/11/16,2.0,0.0,0
28,Shining Path (SL),6.0,group claimed,South America,Peru,"Assailants attacked a military ship on the Apurimac River in Junin, Peru. Two soldiers were wounded in the attack. This is one of two attacks in Junin on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Shining Path (SL).",2016/4/9,0.0,2.0,-9
51,Mapuche activists,5.0,assailants set,South America,Chile,Assailants set fire to a church in southern Chile. There were no reported casualties. Mapuche activists claimed responsibility for the incident.,2016/8/5,0.0,0.0,1
59,Paraguayan People's Army (EPP),5.0,security guard,South America,Paraguay,"Assailants shot and killed a security guard working on a ranch in Arroyito, Concepcion, Paraguay. No group claimed responsibility; however, sources suspected that the attack was carried out by the Paraguayan People's Army (EPP).",2016/9/3,1.0,0.0,0
87,Paraguayan People's Army (EPP),5.0,assailants set,South America,Paraguay,"Assailants set fire to construction machinery at a private business near Tacuati, San Pedro, Paraguay. The Paraguayan People's Army (EPP) claimed responsibility for the attack.",2016/12/20,0.0,0.0,1
25,Mapuche activists,5.0,group claimed,South America,Chile,"Assailants set fire to and opened fire on a lumber truck in Araucania, Chile. There were no reported casualties in this incident. No group claimed responsibility for this incident; however, sources attributed the attack to Mapuche activists.",2016/4/1,0.0,0.0,1
32,Revolutionary Armed Forces of Colombia (FARC),5.0,sniper opened,South America,Colombia,"A sniper opened fire on a Colombian soldier in Florencia, Caqueta, Colombia. The soldier was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Revolutionary Armed Forces of Colombia (FARC).",2016/5/7,1.0,0.0,0
