,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
4,Revolutionary Armed Forces of Colombia (FARC),112.0,one claimed,South America,Colombia,"One person was killed and 34 were hurt when a bomb exploded in front of police headquarters in Cali, a city in Colombias Valle de Cauca Department.  No one claimed responsibility for the attack, but police believed the Fuerzas Armadas Revolucionarias de Colombia (FARC) may have been responsible.",2007/4/9,1.0,34.0,1,Colombia,South America
21,Revolutionary Armed Forces of Colombia (FARC),85.0,five peasants,South America,Colombia,"Five peasants were killed and 20 more kidnapped by member of Fuerzas Armadas Revolucionarias de Colombia (FARC) in Riosucio, Colombia.",2007/12/6,5.0,20.0,0,Colombia,South America
5,Revolutionary Armed Forces of Colombia (FARC),65.0,revolutionary armed,South America,Colombia,"In Tame, Colombia, 13 farmers were killed by armed assailants wielding unspecified firearms.  No group claimed responsibility but the Revolutionary Armed Forces of Colombia (FARC) is believed to be responsible.",2007/4/9,13.0,0.0,0,Colombia,South America
8,Shining Path (SL),26.0,unknown number,South America,Peru,"Peruvian civilian Arturo Campos Vicente (a public prosecutor) and three Peruvian Police officers were killed and two other officers were wounded when an unknown number of Shining Path perpetrators fired small arms (assault rifles) at their vehicle in Ramal District, Andayacu Province, Peru.  No claim of responsibility was reported.",2007/6/14,4.0,2.0,-9,Peru,South America
16,Shining Path (SL),26.0,wounding two,South America,Peru,"Suspected Shining Path guerillas using firearms ambushed police in Peru's central highland jungle, killing four officers and wounding two others.",2007/11/13,4.0,2.0,0,Peru,South America
22,Shining Path (SL),20.0,four peruvian,South America,Peru,"Four Peruvian famers were shot dead by member of Shining Path (Sendero Luminoso) in Pacae, Peru.",2007/12/8,4.0,0.0,0,Peru,South America
0,Revolutionary Armed Forces of Colombia (FARC),,revolutionary armed,South America,Colombia,"Five policemen were killed, and more where injured when a police patrol in La Playa, Colombia was attacked by a roadside bomb. The Revolutionary Armed Forces of Colombia, (FARC) are suspected to be responsible for the attack.",2007/1/14,5.0,,0,Colombia,South America
1,Revolutionary Armed Forces of Colombia (FARC),8.0,revolutionary armed,South America,Colombia,"A pickup truck carrying 660 pounds of explosives destroyed a dairy plant owned by Swiss food company Nestle SA in Doncello, Colombia. Police attributed the attack to the Revolutionary Armed Forces of Colombia (FARC). One man at the plant was injured. No claim of responsibility was forthcoming.",2007/1/19,0.0,1.0,1,Colombia,South America
2,Revolutionary Armed Forces of Colombia (FARC),42.0,pacific port,South America,Colombia,"A police officer and two civilians were killed when a homemade mortar was launched on a police truck in the Pacific port city of Buenaventura, Colombia. The attack also injured nine others. Officials blamed FARC for the attack.",2007/1/21,3.0,9.0,-9,Colombia,South America
3,Revolutionary Armed Forces of Colombia (FARC),60.0,least five,South America,Colombia,"A bomb left in a popular neighborhood in Buenaventura, Colombia detonated as policemen passed, leaving at least five dead. FARC rebels are suspected.  No claim of responsibility was reported.",2007/3/16,5.0,10.0,1,Colombia,South America
6,Revolutionary Armed Forces of Colombia (FARC),2.0,valle del,South America,Colombia,"Capt. Julio Solorzano, a Colombian police chief, and two Colombian civilians were kidnapped by Fuerzas Armadas Revolucionarias de Colombia (FARC) perpetrators carrying small arms in Florida, Department of Valle del Cauca, Colombia.   No claim of responsibility was reported.",2007/6/4,0.0,0.0,0,Colombia,South America
7,Revolutionary Armed Forces of Colombia (FARC),2.0,cartagena del,South America,Colombia,"Three Colombian Police officers were kidnapped by an unknown number of Fuerzas Armadas Revolucionarias de Colombia (FARC) perpetrators with unspecified weapons in Cartagena del Chaira, Caqueta Department, Colombia.  No claim of responsibility was reported.",2007/6/10,0.0,0.0,0,Colombia,South America
