,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
39,Al-Shabaab,295.0,killing 17,Sub-Saharan Africa,Somalia,"In Mogadishu, Somalia, assailants launched mortars at Ethiopian bases which ignited a firefight, killing 17 civillians, 13 soldiers, and four children.  Forty people were wounded and a residence, market, and restaurant all sustained damages.  Al-Shabaab al-Islamiya claimed responsibility.",2007/12/17,34.0,40.0,1,Somalia,Sub-Saharan Africa
24,Justice and Equality Movement (JEM),268.0,forty six,Sub-Saharan Africa,Sudan,"Suspected rebels from the group, Justice and Equality Movement against Wad Banda, attacked a town in Kudurfan, Sudan. Forty six civilian and policemen were killed and eleven others were injured.",2007/8/31,46.0,11.0,1,Sudan,Sub-Saharan Africa
18,Movement of Niger People for Justice (MNJ),209.0,armed assailants,Sub-Saharan Africa,Niger,"Armed assailants attacked a Niger Army base in Agadez, Niger, killing 15 soldiers, wounding 43, and kidnapping 72 others.  The base also sustained damages.  Thirty hostages were released on June 28, 2007.  On or about July 11, 2007, the assailants released three injured hostages to the Red Cross, six more hostages were released on August 4, 2007.  The Niger People's Movement for Justice (MNJ) claimed responsability.",2007/6/22,15.0,43.0,1,Niger,Sub-Saharan Africa
28,Justice and Equality Movement (JEM),100.0,including three,Sub-Saharan Africa,Sudan,"Five civilian oil workers, including three Sudanese, one Egyptian, and one Iraqi, were kidnapped and 20 Sudanese Army troops were killed when an unknown number of Justice and Equality Movement (JEM) perpetrators stormed the Bafra oil field, overwhelmed the garrison, and absconded with hostages in West Kurdufan State, Sudan.",2007/10/23,20.0,0.0,0,Sudan,Sub-Saharan Africa
23,Movement of Niger People for Justice (MNJ),99.0,wounding several,Sub-Saharan Africa,Niger,"Near Agadez, Niger, assailants wielding unspecified firearms attacked a military convoy, killing 17 soldiers, and wounding several others. Seven vehicles were destroyed. The Niger People's Movement for Justice (MNJ) claimed responsibility.",2007/8/21,17.0,3.0,1,Niger,Sub-Saharan Africa
25,Justice and Equality Movement (JEM),65.0,widely believed,Sub-Saharan Africa,Sudan,"In Sudan, armed assailants fired upon a convoy as it approached Shamal, Darfur, Sudan.  Twelve civilians were killed and several vehicles were damaged.  No group claimed responsibility, although it was widely believed to be the actions of the Justice and Equality Movement (JEM).",2007/9/26,12.0,0.0,1,Sudan,Sub-Saharan Africa
10,Mujahideen Youth Movement (MYM),63.0,two somali,Sub-Saharan Africa,Somalia,"Five Somali police officers and two Somali civilians were killed and at least six other people were wounded when Abdul-Aziz Muhammad Semter, a Mujahedin Youth Movement perpetrator, detonated a suicide car bomb at the premiers residence in Mogadishu, Benadir Region, Somalia. The Mujahedin Youth Movement later claimed responsibility for the attack.",2007/6/3,8.0,6.0,1,Somalia,Sub-Saharan Africa
27,Mujahideen Youth Movement (MYM),59.0,suuqa xoolaha,Sub-Saharan Africa,Somalia,"In the Suuqa Xoolaha neighborhood of Mogadishu, Somalia, assailants armed with rocket-propelled grenades (RPGs) and firearms attacked an Ethiopian military convoy.  A heavy gun battle ensued resulting in the death of six civillans and three soldiers.  Several other soldiers were wounded and several vehicles sustained damages,  The Mujahideen Youth Movement (MYM) claimed responsibility.",2007/10/21,9.0,3.0,1,Somalia,Sub-Saharan Africa
7,Mujahideen Youth Movement (MYM),52.0,unknown number,Sub-Saharan Africa,Somalia,"Four Somali Police officers were wounded when an unknown number of Mujahedin Youth Movement perpetrators landed by boat at the remote northern fishing village of Bargal, Puntland State, Somalia and fired on Somali Police Police officers with small arms before fleeing into nearby mountains. Police in Bargal contacted Combined Task Force 150 and requested naval artillery support. At least eight of the perpetrators were killed in the subsequent counterattack, and one American, one Swedish, one British, one Eritrean, one Yemeni, one Pakistani, one Moroccan, and at least one other unspecified Middle Eastern passport were found among the bodies on 06/02/2007.",2007/6/1,8.0,4.0,0,Somalia,Sub-Saharan Africa
2,Movement for the Emancipation of the Niger Delta (MEND),10.0,kidnapped six,Sub-Saharan Africa,Nigeria,"Gunmen assaulted a Chevron Corp. tanker in Nigerias River Delta region.  They assaulters killed a government sailor and kidnapped six workers, including one American.  The damage to the tankers was not described though it was extensive enough for Chevron to find it necessary to cease pumping oil to the tanker.  The kidnappers claimed the hostages would be released on May 30, 2007 and listed no demands.  The Movement for the Emancipation of the Niger Delta (MEND) claimed responsibility for the attack.",2007/5/2,1.0,0.0,1,Nigeria,Sub-Saharan Africa
6,Movement for the Emancipation of the Niger Delta (MEND),10.0,firing small,Sub-Saharan Africa,Nigeria,"Eight people, including three Indian senior managers of Indonesian petrochemical company Indorama and three women and two children from the same family, were abducted and two police guards killed by suspected members of the Movement for the Emancipation of the Niger Delta (MEND) firing small arms at a housing compound for expatriate oil workers in Port Harcourt, Rivers State, Nigeria.  No claim of responsibility was reported.",2007/6/1,2.0,0.0,0,Nigeria,Sub-Saharan Africa
34,Movement of Niger People for Justice (MNJ),9.0,mnj ).,Sub-Saharan Africa,Niger,"Soldiers in Niger were attacked by members of the Movement of the People of Niger for Justice (MNJ). Three of the soldiers were wounded and four were missing after the civilian convoy that they were escorting was attacked. The attack occurred on the road between Agadez and Arlit, Niger.",2007/11/9,0.0,3.0,-9,Niger,Sub-Saharan Africa
37,Al-Shabaab,5.0,shabab claimed,Sub-Saharan Africa,Somalia,"Ugandan peacekeepers, acting as part of an African Union mission, were attacked in Mogadishu, Somali by Islamic insurgents wielding guns and grenades. No peacekeepers were injured or killed, but one of the insurgents was killed in the fighting. The group Al-Shabab claimed responsibility for the attack.",2007/11/17,1.0,0.0,0,Somalia,Sub-Saharan Africa
15,Movement for the Emancipation of the Niger Delta (MEND),5.0,petroleum flow,Sub-Saharan Africa,Nigeria,"No casualties were reported but a petroleum flow station was destroyed when multiple improvised explosive devices (IEDs) planted by an unknown number of perpetrators from the Movement for the Emancipation of the Niger Delta (MEND) and the Niger Delta People's Volunteer Force (NDPVF) detonated at approximately 1:30 AM at a flow station belonging to the Shell Corporation in Nembe Oil Field, Delta State, Nigeria.  MEND and NDPVF later claimed responsibility for the attack.",2007/6/10,0.0,0.0,1,Nigeria,Sub-Saharan Africa
31,Al-Shabaab,,used chain,Sub-Saharan Africa,Somalia,"Al-Shabaab claimed a hotel blast in Dolo, Ethiopia, in connection with the insurgency in and around Mogadishu, Somalia. They used chain explosions. The militants claimed that over 100 Tigrayans (Ethiopian soldiers) were killed and countless others were wounded. Their claim was not confirmed.",2007/11/2,100.0,,1,Ethiopia,Sub-Saharan Africa
