,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
13,Al-Qaida in Iraq,840.0,killing 90,Middle East & North Africa,Iraq,"Two bombs, attached to two mentally disabled women, were detonated in a crowded marketplace in Baghdad, Iraq, killing 90 people and injuring 130. Although it has not claimed responsibility for the attack, al-Qaida is suspected.",2008/2/1,90.0,130.0,0,Iraq,Middle East & North Africa
31,Al-Qaida in Iraq,675.0,suicide bomber,Middle East & North Africa,Iraq,"At least 55 people were killed as a double bomb attack in a commercial city took place in Baghdad, Iraq.  The first bomb was roadside device that detonated in a busy market in the central neighborhood of Karada.  Five minutes later, a suicide bomber blew himself up in a middle of a crowd that was gathering to help the victims of the first attack.  One hundred and thirty others were injured all together. Al-Qa'ida in Iraq is being blamed for the incident.",2008/3/6,56.0,130.0,1,Iraq,Middle East & North Africa
71,Al-Qaida in Iraq,455.0,least 42,Middle East & North Africa,Iraq,"On Tuesday, a car bomb killed at least 42 people and wounded 80 others outside a courthouse in the central city of Baquba, Diyala, Iraq at approximately 1115.  U.S. military blames al Qaeda for the bombing, although there were no claims of responsibility.",2008/4/15,42.0,80.0,1,Iraq,Middle East & North Africa
130,Al-Qaida in the Islamic Maghreb (AQIM),355.0,suicide bomber,Western Europe,Spain,"On Tuesday morning, a suicide bomber drove a vehicle-borne improvised explosive device into a line outside National Gendarmerie college in Issers, Boumerdes Province. The queue consisted mainly of new recruits and graduates waiting to apply. Forty three people were killed and forty five were injured in the attack. The attack was suspected to be carried out by Al Qaeda in the Islamic Maghreb (AQIM).",2008/8/19,44.0,45.0,-9,Algeria,Middle East & North Africa
132,Al-Qaida in the Islamic Maghreb (AQIM),110.0,lavalin group,Western Europe,Spain,"On Wednesday, a vehicle based improvised explosive device functioned near the Hotel Sofi in Bouira, Algeria. A bus transporting Algerian employees of Canadian engineering company SNC-Lavalin Group Inc, who were working on water treatment plant, was hit by the blast. Twelve of the employees were killed and 15 were injured in the attack. Al Qaeda in the Land of the Islamic Maghrib (AQ-LIM) stated that the SNC-Lavalin Group bus had been the target of the attack.",2008/8/20,12.0,15.0,1,Algeria,Middle East & North Africa
122,Al-Qaida in the Islamic Maghreb (AQIM),102.0,zemmouri el,Western Europe,Spain,"On Saturday, at about 2100, in Zemmouri el Bahri, Boumerdes, Algeria, a suicide bombing killed eight people and wounded 19 in the coastal town. The supposed target were the coastguard barracks, and an adjacent post of the paramilitary. The attack was claimed by Al-Qaeda's Algerian group.",2008/8/9,9.0,19.0,-9,Algeria,Middle East & North Africa
32,Palestinian Islamic Jihad (PIJ),75.0,wounding 10,Middle East & North Africa,Lebanon,"A Palestinian terrorist opened fire at Mercaz Harav Yeshiva in Jerusalem, killing eight students and wounding 10 others.  It happened at around 8:45pm.  The gunman fired rounds of ammunition into the library where 80 students gathered in the library to celebrate the Hebrew month of Adar II which begins that Friday.  IDF gunmen killed the gunman four minutes into the spree. Al-Quds Martyrs Brigade and the Martyrs of Imad Mughniyah took separate responsibility for the shooting attack. Hamas fighters claimed the shooting's motive was because of Israel's military operation in the coastal strip in which more than 100 Palestinians were killed.",2008/3/6,9.0,10.0,-9,Israel,Middle East & North Africa
95,Algerian Islamic Extremists,47.0,algerian soldiers,Western Europe,France,"Unknown perpetrators, believed to be affiliated with the Islamic insurgency in Algeria, detonated a bomb targeting a convoy of Algerian soldiers returning to their barracks in Cap Djinet, Algeria.  Six soldiers were killed and four others were wounded.  The military vehicle was damaged by the blast as well.",2008/6/6,6.0,4.0,1,Algeria,Middle East & North Africa
120,Algerian Islamic Extremists,31.0,truck driver,Western Europe,France,"Unknown perpetrators, believed to be affiliated with the Islamic insurgency in Algeria, remotely detonated a bomb that wounded a truck driver travelling on Wilaya Road 25 near Aomar, Algeria.  His vehicle was also damaged by the blast.  When Algerian security forces arrived on the scene, the assailants detonated another homemade bomb which killed one soldier and wounded six others.",2008/7/28,1.0,7.0,1,Algeria,Middle East & North Africa
101,Algerian Islamic Extremists,26.0,legitimate defense,Western Europe,France,"Unknown perpetrators, believed to be affiliated with the Islamic insurgency in Algeria, targeting a convoy from the Legitimate Defense Group (GLD) travelling through Gamra, Algeria.  Three militiamen were killed and two others were wounded.  The GLD vehicle was damaged as well.",2008/6/15,3.0,2.0,1,Algeria,Middle East & North Africa
29,Palestinian Islamic Jihad (PIJ),20.0,two civilians,Middle East & North Africa,Lebanon,"An Israeli soldier was killed and three soldiers and two civilians were wounded when a bomb was detonated under their jeep while they were on a routine patrol on the Israeli side of Gaza near Kibbutz Ein Hashlosha, Israel.  The Islamic Jihad's, Al-Quds Brigade, claimed responsibility for the attack.",2008/3/6,1.0,5.0,-9,Israel,Middle East & North Africa
106,Palestinian Islamic Jihad (PIJ),17.0,wounding four,Middle East & North Africa,Lebanon,"On Tuesday, in Sederot, Southern District, Israel, Israel, assailants fired four rockets at communities, wounding four civilians and damaging a residence.  Al-Quds Brigades claimed responsibility.  This incident was one of two linked attacks in which the second rocket attack occurred in Shahar, Southern District, Israel.",2008/6/24,0.0,4.0,1,Israel,Middle East & North Africa
33,Popular Front for the Liberation of Palestine (PFLP),5.0,small leftist,Middle East & North Africa,Syria,"A Palestinian rocket, launched in Gaza by the small leftist group, the Popular Front for the Liberation of Palestine, hit an industrial zone of the port city of Ashkelon, Israel. However, the Israeli government held Hamas responsible for the attack since Hamas controls the Gaza Strip thus being responsible for any launching of rockets from that area. No one was injured or killed in the incident.",2008/3/11,0.0,0.0,1,Israel,Middle East & North Africa
167,Popular Front for the Liberation of Palestine (PFLP),3.0,wounding one,Middle East & North Africa,Syria,"On Saturday, in Sederot, Southern District, Israel assailants fired two rockets at a community, wounding one civilian and causing no reported damage.  Abu Ali Mustafa Brigades claimed responsibility.",2008/11/15,0.0,1.0,0,Israel,Middle East & North Africa
3,Popular Front for the Liberation of Palestine (PFLP),2.0,southern gaza,Middle East & North Africa,Syria,"The Isma'il al-Sa'idani unit of the Abu-Ali Mustafa Brigades, the military wing of the Popular Front for the Liberation of Palestine, claimed responsibility for firing four 80-mm mortars at the Kissufim military post, east of Al-Qararah in the southern Gaza Strip.",2008/1/2,0.0,0.0,-9,Israel,Middle East & North Africa
