,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
1547,Tehrik-i-Taliban Pakistan (TTP),1158.0,least 151,South Asia,Pakistan,"Assailants detonated an explosives-laden vehicle and then stormed the Army Public School in Peshawar city, Khyber Pakhtunkhwa province, Pakistan. At least 151 students and staff were killed and more than 120 other people were injured in the attack. Additionally, all seven assailants were either killed by security forces or detonated their explosives-laden vests. Finally, several explosive devices planted in the school by the assailants were defused after the attack. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident, stating that it was revenge for Operation Zarb-e-Azb in North Waziristan. The Mullah Fazlullah Group also claimed responsibility for the attack.",2014/12/16,158.0,121.0,1,Pakistan,South Asia
1387,Tehrik-i-Taliban Pakistan (TTP),645.0,lowering ceremony,South Asia,Pakistan,"A suicide bomber detonated near a flag-lowering ceremony outside of a restaurant in Wagah village, Punjab province, Pakistan. In addition to the bomber, at least 61 people were killed and 110 others were injured in the blast. Jundallah, Jamaat-ul-Ahrar, and Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident. TTP stated that the attack was carried out in retaliation for military operations in North Waziristan as well as for the deaths of members imprisoned in Pakistan. The group also stated that the attack was in response to a United States (US) drone strike that killed Hakimullah Mehsud, the former TTP leader, in 2013.",2014/11/2,62.0,110.0,1,Pakistan,South Asia
869,Taliban,500.0,taghar area,South Asia,Afghanistan,"Assailants attempted to attack Afghan Border Police (ABP) battalions in Taghar area, Red district, Helmand province, Afghanistan. Seventy assailants were killed and 50 others were wounded in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",2014/7/2,70.0,50.0,-9,Afghanistan,South Asia
1469,Taliban,488.0,yahya khel,South Asia,Afghanistan,"A suicide bomber detonated at a volleyball tournament in Yahya Khel district, Paktika province, Afghanistan. In addition to the bomber, at least 57 people were killed and 66 others were injured in the blast. The Taliban claimed responsibility for the attack; however, authorities attributed the incident to the Haqqani Network.",2014/11/23,58.0,66.0,-9,Afghanistan,South Asia
921,Taliban,421.0,suicide bomber,South Asia,Afghanistan,"A suicide bomber detonated an explosives-laden vehicle at a market in Urgun district, Paktika province, Afghanistan. In addition to the suicide bomber, 42 people were killed and 67 others were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban, who denied responsibility.",2014/7/15,43.0,67.0,1,Afghanistan,South Asia
760,Tehrik-i-Taliban Pakistan (TTP),261.0,november drone,South Asia,Pakistan,"Ten assailants wearing suicide vests attacked the Jinnah International Airport in Karachi city, Sindh province, Pakistan. Thirty-eight people, including the ten assailants, were killed and at least 22 others were wounded in the attack. Tehrik-i-Taliban Pakistan (TTP) and the Islamic Movement of Uzbekistan (IMU) claimed responsibility for the attack and stated that the attacks were a response to Pakistani airstrikes on villages in Northwestern Pakistan as well as a response to the November drone strike by the United States that killed the former TTP leader Hakimullah Mehsud. Additionally, authorities suspected that Lashkar-e-Jhangvi may have helped to organize the attack.",2014/6/8,38.0,22.0,1,Pakistan,South Asia
1498,Communist Party of India - Maoist (CPI-Maoist),196.0,assailants opened,South Asia,India,"Assailants opened fire on a Central Reserve Police Force (CRPF) team in Chintagufa area, Chhattisgarh state, India. At least 22 people, including 14 police officers, were killed and 27 other people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Communist Party of India - Maoist (CPI-Maoist).",2014/12/1,22.0,27.0,1,India,South Asia
179,Baloch Republican Army (BRA),120.0,least five,South Asia,Pakistan,"An explosive device detonated on train tracks in Thul town, Sindh province, Pakistan. The explosion caused two coaches of the Khusal Khan Khattak Express Train to derail, killing at least five people and wounding at least 30 others. The Baloch Republican Army (BRA) claimed responsibility for this attack.",2014/2/16,5.0,30.0,1,Pakistan,South Asia
1602,Baloch Republican Army (BRA),104.0,baloch republican,South Asia,Pakistan,"Assailants opened fire on a Frontier Corps (FC) vehicle in Asreli area, Balochistan province, Pakistan. One soldier and eight assailants were killed and eighteen others were wounded in the ensuing clash. The Baloch Republican Army (BRA) claimed responsibility for the incident.",2014/12/27,9.0,18.0,1,Pakistan,South Asia
146,Baloch Republican Army (BRA),79.0,train near,South Asia,Pakistan,"An explosive device detonated targeting a railway, causing the derailment of a train near Dhabeji, Sindh province, Pakistan. At least one fatality and 23 injuries were reported. The Baloch Republican Army (BRA) claimed responsibility for the incident, stating that it was in retaliation for the deaths of political activists.",2014/2/4,1.0,23.0,1,Pakistan,South Asia
533,Maoists,75.0,three polling,South Asia,India,"An explosive device detonated near a vehicle carrying police officers and polling officials in Sikaripara city, Jharkhand state, India. Eight people, including five police officers and three polling officials, were killed and ten others were wounded in the blast. No group claimed responsibility for the incident; however; sources attributed the attack to Maoists.",2014/4/24,8.0,10.0,1,India,South Asia
981,Maoists,74.0,three police,South Asia,India,"Assailants opened fire on a joint military team near Ramaram village, Chhattisgarh state, India. Ten assailants were killed and eight people, including five assailants and three police officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",2014/7/28,10.0,8.0,0,India,South Asia
843,Maoists,64.0,least four,South Asia,India,"An explosive device detonated on a railway track near Chhapra town, Bihar state, India. A Delhi-Dibrugarh Rajdhani Express train was derailed in the blast, which killed at least four people and injured 13 others. This was one of two bombings targeting trains in Bihar on the same day. No group claimed responsibility; however, officials suspect that Maoists were behind the attack.",2014/6/25,4.0,13.0,1,India,South Asia
466,Communist Party of India - Maoist (CPI-Maoist),55.0,seven election,South Asia,India,"A land mine detonated near a bus carrying election officials in Bijapur district, Chhattisgarh state, India. Seven election officials were killed and five other people were wounded in the blast. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident.",2014/4/12,7.0,5.0,1,India,South Asia
467,Communist Party of India - Maoist (CPI-Maoist),49.0,ambulance driver,South Asia,India,"A land mine detonated near an ambulance carrying Central Reserve Police Force (CRPF) personnel in Kamanar village, Chhattisgarh state, India. Seven people, including the ambulance driver and a medical technician, were killed and three others were wounded in the blast. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident.",2014/4/12,7.0,3.0,1,India,South Asia
