,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
0,Informal Anarchist Federation,5.0,south west,Western Europe,Italy,"Assailants set fire to three military vehicles at the Royal Marine Force Voluntary Reserve base in Litfield Place, Bristol city, South West region, England, United Kingdom. No casualties were reported, but the three vehicles were severely damaged in the arson attack. The Informal Anarchist Federation claimed responsibility for the incident, saying they disagreed with military recruitment policies.",2014/2/11,0.0,0.0,1,United Kingdom,Western Europe
12,The New Irish Republican Army,5.0,united kingdom,Western Europe,Ireland,"Assailants threw a pipe bomb into a civilian vehicle in Creggan neighborhood, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties; however, the vehicle was damaged in the blast. No group claimed responsibility for the incident; however, sources suspected that the New Irish Republican Army was involved in the attack.",2014/3/26,0.0,0.0,1,United Kingdom,Western Europe
34,The New Irish Republican Army,5.0,united kingdom,Western Europe,Ireland,"Assailants launched an explosive device at a police vehicle on Twaddell Avenue in Belfast city, Belfast district, Northern Ireland, United Kingdom. No casualties were reported, but the vehicle was slightly damaged by the blast. The New Irish Republican Army claimed responsibility for the incident.",2014/11/16,0.0,0.0,1,United Kingdom,Western Europe
33,Dissident Republicans,5.0,nearby civilian,Western Europe,Ireland,"Assailants threw a mortar at a police vehicle in Creggan Heights area, Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured in the blast, but the vehicle and a nearby civilian car were damaged. No group claimed responsibility for the incident; however, sources attributed the attack to dissident republicans.",2014/11/2,0.0,0.0,1,United Kingdom,Western Europe
30,Dissident Republicans,5.0,explosive device,Western Europe,Ireland,"An explosive device detonated after being tossed into a van in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties, but the van suffered damages in the blast. No group claimed responsibility; however, sources attributed the incident to dissident republicans.",2014/10/12,0.0,0.0,1,United Kingdom,Western Europe
27,Dissident Republicans,5.0,sources suspected,Western Europe,Ireland,"Assailants set an Orange Hall on fire in Kiltole town, Donegal county, Ireland. There were no reports of casualties in the attack. No group claimed responsibility for the incident; however, sources suspected that dissident republicans were involved.",2014/10/3,0.0,0.0,1,Ireland,Western Europe
25,Informal Anarchist Federation,5.0,south west,Western Europe,Italy,"An assailant set fire to two police vehicles at a police station in Keynsham town, South West region, England, United Kingdom. There were no reported casualties; however, the vehicles were damaged in the attack. The Informal Anarchist Federation claimed responsibility for the incident.",2014/9/3,0.0,0.0,1,United Kingdom,Western Europe
22,Conspiracy of Cells of Fire,5.0,profile prison,Western Europe,Greece,"Assailants set fire to a Greek diplomat's car in Berlin city, Berlin state, Germany. There were no reports of casualties in the attack, but the car was damaged. The Nihilists Sect of the Conspiracy of the Cells of Fire claimed responsibility for the incident, stating that the attack was in retaliation for police brutality and the death of a high-profile prison inmate.",2014/7/2,0.0,0.0,1,Germany,Western Europe
21,Informal Anarchist Federation,5.0,south west,Western Europe,Italy,"Assailants set fire to four cars on Glebe Road in St. George area, Bristol city, South West region, England, United Kingdom. There were no reports of injuries in the attack. Police arrested one individual in connection with this and several related arson incidents. The Informal Anarchist Federation claimed responsibility for the incident and stated that the attack was to disprove the notion of social peace and to ""intensify the hostilities.""",2014/6/30,0.0,0.0,1,United Kingdom,Western Europe
19,The New Irish Republican Army,5.0,explosive device,Western Europe,Ireland,"Assailants threw an explosive device at the Everglades Hotel in Prehen area, Londonderry district, Northern Ireland, United Kingdom. The explosive device detonated while security personnel were attempting to defuse it. There were no reported casualties in the blast. The New Irish Republican Army claimed responsibility for the incident.",2014/5/29,0.0,0.0,1,United Kingdom,Western Europe
28,Oglaigh na hEireann,3.0,assailants opened,Western Europe,Ireland,"Assailants opened fire on a civilian in his home in Belfast city, Belfast district, Northern Ireland, United Kingdom. The civilian was injured in the attack. Oglaigh na hEireann claimed responsibility for the incident, stating that Donnelly was a police informer.",2014/10/6,0.0,1.0,0,United Kingdom,Western Europe
16,Conspiracy of Cells of Fire,2.0,fire claimed,Western Europe,Greece,"A parcel bomb, disguised as a package containing religious books, was discovered and defused at the Hellenic Police Station in Itea city, Central Greece region, Greece. The Conspiracy of Cells of Fire claimed responsibility, stating that the attack targeted a police station where an Albanian prisoner had been tortured.",2014/4/29,0.0,0.0,0,Greece,Western Europe
29,Oglaigh na hEireann,2.0,united kingdom,Western Europe,Ireland,"Assailants threw an explosive device at a police patrol van near a church in Belfast city, Belfast district, Northern Ireland, United Kingdom. The device failed to detonate and no one was injured. Oglaigh na hEireann claimed responsibility for the incident.",2014/10/7,0.0,0.0,0,United Kingdom,Western Europe
