pub_date,keyword_name,keyword_value,word_count,score,headline_main
 2016-12-23T03:42:43+0000,glocations,Melbourne(Australia),610,5.3841643e-07,Australia  Says  It  Foiled  a  Terrorist  Plot 
 2016-12-16T20:15:38+0000,glocations,Ludwigshafen(Germany),622,3.2221092e-07,Germany  Investigates  if  Boy,  12,  Planted  Bomb  at  Christmas  Market 
 2016-12-21T03:02:30+0000,glocations,Syria,1304,3.0881995e-07,Russia,  Iran  and  Turkey  Meet  for  Syria  Talks,  Excluding  U.S. 
 2016-12-14T21:52:08+0000,glocations,Syria,979,1.8362186e-07,A  Hotline  for  Americans  and  Russians  to  Avoid  Catastrophe  in  Syrian  Skies 
 2016-12-06T21:10:47+0000,glocations,Surt(Libya),979,9.676555e-08,Jubilant  Libyan  Militias  Declare  Victory  Over  ISIS  in  Surt 
 2016-12-06T10:00:40+0000,glocations,Afghanistan,3236,8.0733514e-08,Saudis  Bankroll  Taliban,  Even  as  King  Officially  Supports  Afghan  Government 
 2016-11-27T16:08:54+0000,glocations,Israel,738,5.301756e-08,Israel  Defense  Forces  Kill  4  ISIS-Linked  Attackers  in  Golan  Heights 
 2016-11-24T05:30:24+0000,glocations,Mosul(Iraq),1448,4.6243645e-08,Iraq  Told  Civilians  to  Stay  in  Mosul.  Now  They’re  Paying  With  Their  Lives. 
 2016-11-16T18:10:39Z,glocations,Kabul(Afghanistan),376,3.440597e-08,Afghan  Bodyguards  Targeted  in  Bombing  Claimed  by  ISIS  Affiliates 
 2016-11-24T12:17:35+0000,glocations,Syria,996,3.4299223e-08,American  Is  Killed  in  First  Casualty  for  U.S.  Forces  in  Syria  Combat 
 2016-11-15T13:35:18Z,glocations,Aleppo(Syria),809,1.9448462e-08,Airstrikes  on  Aleppo  Resume  as  Russia  Begins  New  Offensive  in  Syria 
 2016-11-11T16:03:54Z,glocations,Mosul(Iraq),1072,1.0462495e-08,ISIS  Is  Massacring  Mosul  Civilians  as  Troops  Advance,  U.N.  Says 
 2016-11-06T16:26:17+0000,glocations,Raqqa(Syria),1102,6.992652e-09,U.S.-Backed  Militia  Opens  Drive  on  ISIS  Capital  in  Syria 
 2016-11-02T17:32:33Z,glocations,Mosul(Iraq),1156,5.0130837e-09,Mosul  Neighbors  Wake  Up  to  a  Day  Without  ISIS 
 2016-10-29T19:56:23+0000,glocations,Mosul(Iraq),829,4.25836e-09,Tal  Afar,  West  of  Mosul,  Becomes  Center  of  Battle  for  Influence  in  Iraq 
 2016-10-22T19:33:41+0000,glocations,Mosul(Iraq),965,3.00916e-09,Pentagon  Expects  Mosul  Push  to  Unlock  Trove  of  ISIS  Intelligence 
 2016-10-17T18:36:24+0000,glocations,Mosul(Iraq),243,2.698411e-09,Why  Mosul  Is  Critical  in  the  Battle  Against  ISIS 
 2016-10-25T18:48:55+0000,glocations,Mosul(Iraq),1115,2.4036249e-09,Mosul  Fight  Unleashes  New  Horrors  on  Civilians 
 2016-10-23T22:39:01+0000,glocations,Turkey,1303,1.973225e-09,Turkey’s  Push  to  Join  Battle  for  Mosul  Inflames  Tension  With  Iraq 
 2016-10-21T09:25:32+0000,glocations,Kirkuk(Iraq),904,1.8488855e-09,ISIS  Fighters  in  Iraq  Attack  Kirkuk,  Diverting  Attention  From  Mosul 
 2016-10-16T23:36:32+0000,glocations,Dabiq(Syria),410,1.7879257e-09,Village  Mythologized  by  ISIS  Is  Recaptured,  Syrian  Rebels  Say 
 2016-10-21T20:22:54+0000,glocations,Mosul(Iraq),1252,1.5442971e-09,Flee  or  Stay?  For  Mosul  Residents,  Both  Choices  Are  Risky 
 2016-10-08T00:31:19+0000,glocations,Russia,861,5.267479e-10,John  Kerry  Calls  for  War  Crimes  Investigation  of  Russia  and  Assad  Government 
 2016-09-14T04:00:00+0000,glocations,Germany,333,7.7954664e-11,Germany  Arrests  3  Syrians  on  Suspicion  of  ISIS  Ties 
 2016-09-14T14:06:34+0000,glocations,Libya,766,7.190147e-11,British  Lawmakers  Condemn  2011  Intervention  in  Libya 
 2016-09-21T04:00:00+0000,glocations,Syria,2249,5.922619e-11,Straightforward  Answers  to  Basic  Questions  About  Syria’s  War 
 2016-09-17T22:04:13+0000,glocations,Syria,1236,5.7177606e-11,U.S.  Admits  Airstrike  in  Syria,  Meant  to  Hit  ISIS,  Killed  Syrian  Troops 
 2016-08-29T04:00:00+0000,glocations,Syria,952,1.2761673e-11,In  Syria,  Rebels  Threaten  Kurdish-Controlled  Territory  as  U.S.  Allies  Clash 
 2016-08-30T04:00:00+0000,glocations,Turkey,1299,1.1121163e-11,Knowing  the  Risks,  Some  Syrian  Rebels  Seek  a  Lift  From  Turks’  Incursion 
 2016-08-26T04:00:00+0000,glocations,Turkey,1342,8.857907e-12,With  Operation  in  Syria,  Erdogan  Shows  His  New  Power  Over  Turkey’s  Military 
 2016-08-25T23:34:54+0000,glocations,Turkey,537,7.537033e-12,A  Complicated  Alliance  With  Turkey 
 2016-08-14T04:00:00+0000,glocations,Manbij(Syria),939,1.7667039e-12,U.S.  Drones  Record  ISIS  Fighters  Fleeing  Manbij  in  Northern  Syria 
 2016-08-12T04:00:00+0000,glocations,Libya,758,1.4056726e-12,ISIS  Fighters  Are  Still  Lurking  in  Surt,  Libyan  Officials  Warn 
 2016-08-02T04:00:00+0000,glocations,Turkey,1166,5.138057e-13,In  an  Effort  to  Maintain  U.S.  Ties,  Turkey  Softens  Its  Tone 
 2016-07-18T00:00:00Z,glocations,IncirlikAirBase(Turkey),256,1.226208e-13,Turkey  Allows  Resumption  of  U.S.  Missions  From  Incirlik  Air  Base 
 2016-07-16T18:53:21+0000,glocations,IncirlikAirBase(Turkey),1335,9.444164e-14,Turkey  Interrupts  U.S.  Air  Missions  Against  ISIS  at  Major  Base 
 2016-07-14T21:47:10+0000,glocations,France,1417,4.288341e-14,Scores  Die  in  Nice,  France,  as  Truck  Plows  Into  Bastille  Day  Crowd 
 2016-07-07T00:00:00Z,glocations,Afghanistan,1064,1.7017908e-14,Obama  Says  He  Will  Keep  More  Troops  in  Afghanistan  Than  Planned 
 2016-06-28T00:00:00Z,glocations,Jordan,488,1.0003811e-14,ISIS  Is  Said  to  Claim  Responsibility  for  Attack  at  Jordan-Syria  Border 
 2016-06-30T00:00:00Z,glocations,Turkey,1115,7.500258e-15,Turkey’s  Twin  Terrorist  Threats,  Explained 
