,eventid,iyear,country,country_txt,region,region_txt,summary,motive,addnotes,scite1,scite2,scite3
0,200701010001,2007,155,West Bank and Gaza Strip,10,Middle East & North Africa,"01/1/2007: Peruvian photographer, Jamie Ruzuri of Agence France-Presse was kidnapped by Palestinian gunmen in Gaza, Palestine.  There was no immediate claim of responsibility. He was released a week later.",Unknown,,"""Peruvian Journalist Is Seized in Gaza,"" The New York Times, January 2, 2007","New Clashes in Gaza Strip, The Advertiser (Australia), January 3, 2007.","Geoffrey Wansell, 28 days ago, this Scot was kidnapped in Gaza. Since then, not a word. So what fate now awaits the forgotten hostage? Daily Mail (London), April 15, 2007."
1,200701010002,2007,205,Thailand,5,Southeast Asia,"01/1/2007: Nine bombs in two waves killed two civilians and injured 34 in Bangkok, Thailand. There was no immediate claim of responsibility for the bombings.",Unknown,,"Denis D. Gray, Bombs rock Bangkok on New Years Eve; 2 Dead, The Associated Press, January 1, 2007.","Seth Mydans, Bombs in Bangkok Kill 2 and Wound More Than 30, The New York Times, January 1, 2007.","Richard S. Ehrlich, New year starts on bloody note in Thailand; 9 bombs rock Bangkok, The Washington Times, January 1, 2007."
2,200701010003,2007,186,Sri Lanka,6,South Asia,"01/1/2007: The Liberation Tigers of Tamil Ealam (LTTE), targeted a military vehicle with a claymore mine, killing one Sri Lankan soldier and wounding four in Navalady, Sri Lanka.",Unknown,,"""Sri Lankan Officials Say At least Eight Killed min Fresh Violence,"" Hong Kong AFP, January 1, 2007.","""Ten Killed in Sri Lanka Violence,"" Cairo Mena, January 1, 2007.",
3,200701010004,2007,4,Afghanistan,6,South Asia,"01/1/2007: Taliban militants torched a school for refugee children in the eastern province of Nangarhar, Afghanistan, there were no casualties.",Unknown,Victims were repatriated families returning to Afghanistan from Pakistan.,"""Refugee school torched in Eastern Afghanistan,"" Agence France Presse, January 2, 2007.","""Gunmen torch makeshift school in Eastern Afghanistan,"" The Kabul Pajhwok Afghan News (Internet Version WWW), January 3, 2007.",
4,200701010005,2007,153,Pakistan,6,South Asia,"01/1/2007: Baluchistan Liberation Army (BLA) bombed a gas pipeline in Der Bugti, Pakistan, severely damaging a gas pipeline. No casualties were reported.",Unknown,,"""Thousands without power, gas after Pakistan blasts,"" Agence France Presse,  January 1, 2007.","""BLA claims responsibility gas pipeline blown up in Dera Bugti,"" Balochistan Times, January 3, 2007.",
5,200701010006,2007,4,Afghanistan,6,South Asia,"01/1/2007: A Roadside bomb exploded and killed two police on patrol in Herat, Afghanistan; the Taliban claimed responsibility.",Unknown,,"Ahmad Quraishi, Roadside bomb kills two police in west, Pajhwok Afghan News, January 1, 2007.","""BBC Monitoring: Afghanistan Security Roundup 1 Jan 07,"" Caversham BBC Monitoring, January 1, 2007.",
6,200701010007,2007,195,Sudan,11,Sub-Saharan Africa,01/01/2007: Thirteen people were killed in two ambushes in southern Sudan by suspected fighters of the Lord's Resistance Army (LRA).,Unknown,,"VOA News: Ugandan Army Blames Rebels for Deaths of 13 People in Sudan, US Fed News, January 4, 2007.","Uganda Rebels Reportedly Kill 13 in Southern Sudan, Nairobi Integrated Regional Information Network, January 4, 2007.","""Suspected Ugandan Rebels Kill 13 Civilians in Southern Sudan, Kampala The New Vision, January 4, 2007."
7,200701010008,2007,155,West Bank and Gaza Strip,10,Middle East & North Africa,"01/01/2007: Two civilians were wounded in gunfire as Hamas abducted 7 members of Al-Fatah who, in turn, also abducted a total of 10 members of Hamas in an incident in northern Gaza, Palestine.",Unknown,,"Peruvian Journalist Is Seized in Gaza, New York Times, January 2, 2007.","New Clashes in Gaza Strip, The Advertiser (Australia), January 3, 2007.",
8,200701010009,2007,205,Thailand,5,Southeast Asia,"01/01/2007:  A small bomb was thrown at a mosque in Chaing Mai, Thailand, injuring a janitor.  No group claimed responsibility.",,,"Edward F. Mickolus, Terrorism, 2005-2007: A Chronology  (Westport, CT: Praeger Security International) 2008.",,
9,200701010010,2007,186,Sri Lanka,6,South Asia,"01/1/2007: The Liberation Tigers of Tamil Ealam (LTTE), exploded claymore mines near a police jeep killing two Sri Lankan police officers and wounding one in Chettikulam, Sri Lanka.",Unknown,,"""Sri Lankan Officials Say At least Eight Killed min Fresh Violence,"" Hong Kong AFP, January 1, 2007.","""Ten Killed in Sri Lanka Violence,"" Cairo Mena, January 1, 2007.",
