pub_date,keyword_name,keyword_value,word_count,score,headline_main
 1994-12-31T00:00:00Z,glocations,NEWYORKCITY,612,0.0,State  Assails  Mistreatment  By  Hospital  In  Rape  Case 
 1994-12-27T00:00:00Z,glocations,LANCASTER(TEX),1322,0.0,Disaster  Leaves  Imprint  on  Town 
 1994-12-25T00:00:00Z,glocations,HAITI,1218,0.0,In  a  Harsh  Land,  Faith  at  Christmas 
 1994-12-25T00:00:00Z,glocations,NEWYORKCITY,1009,0.0,Terrorism:  Difficult  to  Prevent  or  Forget 
 1994-12-21T00:00:00Z,glocations,FAREAST,SOUTHANDSOUTHEASTASIAANDPACIFICAREAS,735,0.0,In  America;  Terror  In  Toyland 
 1994-12-20T00:00:00Z,glocations,GREATBRITAIN,532,0.0,Talks  on  Northern  Ireland  to  Continue  Despite  Planting  of  Bomb 
 1994-12-14T00:00:00Z,glocations,AYACUCHO(PERU),867,0.0,Ayacucho  Journal;  Shining  Path  Is  Shackled,  and  Joy  Is  Unconfined 
 1994-12-11T00:00:00Z,glocations,INDIA,428,0.0,The  World:  Bhopal's  Tragedy  Revisited;  10  Years  After  the  Gas,  No  End  to  Tears 
 1994-12-10T00:00:00Z,glocations,PENNSYLVANIA,551,0.0,USAir  Transcript  Shows  Terror  but  Offers  Few  Clues 
 1994-12-03T00:00:00Z,glocations,RUSSIA,837,0.0,NATO  Turns  From  Force  To  Diplomacy  in  Bosnia 
 1994-11-27T00:00:00Z,glocations,HADDONFIELD(NJ),617,0.0,Dinosaur  Site  Is  Made  a  Landmark 
 1994-11-23T00:00:00Z,glocations,MIDDLEEAST,931,0.0,Israelis  Ask  if  Gaza  Outpost  Is  Worth  Defending 
 1994-11-17T00:00:00Z,glocations,MIDDLEEAST,533,0.0,Israel  Is  Permitting  Harsher  Interrogation  of  Muslim  Militants 
 1994-11-11T00:00:00Z,glocations,SOMERS(NY),2236,0.0,Farm  Life  of  the  20's  For  Children  of  the  90's 
 1994-11-07T00:00:00Z,glocations,UNITEDSTATES,768,0.0,Essay;  '94  Concession  Speech 
 1994-11-06T00:00:00Z,glocations,HAITI,3584,0.0,'I  Never  Seen  Nothing  Like  That' 
 1994-11-06T00:00:00Z,glocations,SERBIA(YUGOSLAVIA),974,0.0,The  World;  Balkan  Moral  Order  Upset  As  Victim  Becomes  Victor 
 1994-11-06T00:00:00Z,glocations,BOSNIAANDHERZEGOVINA,1101,0.0,Bosnian  Shift:  Are  the  Serbs  Now  on  the  Run? 
 1994-11-06T00:00:00Z,glocations,NEWYORKCITY,603,0.0,When  Drugs  and  Terror  Stalk  a  Housing  Complex 
 1994-11-02T00:00:00Z,glocations,BOSNIAANDHERZEGOVINA,897,0.0,In  Bihac  Area,  Serbs  Now  Taste  War,  and  It's  Bitter 
 1994-10-31T00:00:00Z,glocations,ZAIRE,1657,0.0,Rwandans  Who  Massacred  Now  Terrorize  Camps 
 1994-10-30T00:00:00Z,glocations,MONTREAL(QUEBEC),1121,0.0,Paid  to  Panic 
 1994-10-30T00:00:00Z,glocations,NEWYORKCITY,240,0.0,Residents  Shrinking  as  Freedom  Place  Is  Slowly  Sinking 
 1994-10-28T00:00:00Z,glocations,NEWYORKCITYMETROPOLITANAREA,2165,0.0,For  Children 
 1994-10-26T00:00:00Z,glocations,ETHIOPIA,1134,0.0,Hunger  and  Dissent  Stalk  a  Struggling  Ethiopia 
 1994-10-23T00:00:00Z,glocations,TEXAS,249,0.0,Oct.  16-22:  Flood  and  Fire;  Deluges  in  Southeast  Texas  Are  Prelude  to  Pipeline  Woes  And  Higher  Fuel-Prices 
 1994-10-21T00:00:00Z,glocations,SYRIA,724,0.0,On  My  Mind;  Terror  And  the  West 
 1994-10-20T00:00:00Z,glocations,MIDDLEEAST,126,0.0,Israeli  Soldier  Died  As  a  Peace  Stand-In 
 1994-10-20T00:00:00Z,glocations,TELAVIV(ISRAEL),973,0.0,On  the  No.  5  Bus  Line,  A  Thud,  Then  Silence 
 1994-10-13T00:00:00Z,glocations,GERMANY,494,0.0,Officials  in  Germany  Denounce  Sect  as  a  Menace  to  Democracy 
 1994-10-09T00:00:00Z,glocations,NEWYORKCITY,442,0.0,Changing  Longwood  to  Save  It 
 1994-10-09T00:00:00Z,glocations,HAITI,1027,0.0,Hit  or  Miss,  U.S.  Presses  Hunt  for  Arms  in  Haiti 
 1994-10-09T00:00:00Z,glocations,NEWYORKCITY,841,0.0,Disney  Does  Broadway 
 1994-10-09T00:00:00Z,glocations,NEWYORKCITY,2745,0.0,Touring  the  Cyberhood 
 1994-10-07T00:00:00Z,glocations,HAITI,516,0.0,Haiti:  How  Broad  an  Amnesty? 
 1994-10-04T00:00:00Z,glocations,HAITI,1367,0.0,To  Cheers,  U.S.  Troops  Clear  Haitian  Gunmen's  Clubhouse 
 1994-10-03T00:00:00Z,glocations,GREATBRITAIN,702,0.0,Essay;  No  Yanks  Need  Apply 
 1994-10-02T00:00:00Z,glocations,EGYPT,558,0.0,Tourist  Area  In  Egypt  Feels  Endangered  By  Violence 
 1994-09-19T00:00:00Z,glocations,BOSNIAANDHERZEGOVINA,1116,0.0,Bosnia's  Cruelest  Siege:  Boredom,  Stress,  Anxiety 
 1994-09-19T00:00:00Z,glocations,ALGERIA,436,0.0,A  Hopeful  Turn  in  Algeria 
 1994-09-18T00:00:00Z,glocations,HAITI,679,0.0,In  America;  The  Reluctant  Rescue 
 1994-09-18T00:00:00Z,glocations,HAITI,1017,0.0,The  Only  Choice  In  Haiti 
 1994-09-14T00:00:00Z,glocations,HAITI,1024,0.0,Haiti's  Forces:  Poorly  Armed  And  Seasoned  Only  in  Terror 
 1994-09-11T00:00:00Z,glocations,NEWYORKCITY,2674,0.0,Once  and  Again,  a  Flatiron  Boom 
 1994-09-10T00:00:00Z,glocations,PENNSYLVANIA,1469,0.0,For  Many  on  Jet,  Day  Began  With  Routine  Business  and  Ended  With  Terror 
 1994-09-09T00:00:00Z,glocations,NORTHERNIRELAND,498,0.0,Protestant  Militants  Weighing  Response  to  I.R.A.  Cease-Fire 
 1994-09-06T00:00:00Z,glocations,GREATBRITAIN,1030,0.0,In  Belfast,  Prosperity  Eases  Catholic  Nationalism 
 1994-09-01T00:00:00Z,glocations,GREATBRITAIN,1237,0.0,CEASE-FIRE  IN  NORTHERN  IRELAND:  THE  LONG  VIEW  End  of  'The  Troubles'?;  Trying  to  Exchange  Old  Hatreds  for  Peace  On  a  Battlefield  With  Little  Middle  Ground 
