pub_date,keyword_name,keyword_value,word_count,score,headline_main
 2013-12-29T00:00:00Z,glocations,Iraq,480,0.0,Deadly  Shootout  and  Arrest  in  Iraq  Set  Off  Sunni  Protests 
 2013-12-27T00:00:00Z,glocations,Egypt,1064,0.0,Egypt  Broadens  New  Crackdown  on  Brotherhood 
 2013-12-22T00:00:00Z,glocations,California,1003,0.0,White  House  Tries  to  Prevent  Judge  From  Ruling  on  Surveillance  Efforts 
 2013-12-13T00:00:00Z,glocations,NorthKorea,787,0.0,North  Korea  Says  Leader’s  Uncle  Was  Executed  as  a  Traitor 
 2013-12-01T00:00:00Z,glocations,SouthAfrica,2088,0.0,Father  to  a  Nation,  and  to  a  Family 
 2013-11-26T01:13:50Z,glocations,Bangalore(India),944,0.0,A  Conversation  With:  Prabhat  Jauhari,  C.E.O.  of  Mumbai  Private  Security  Firm 
 2013-11-26T00:00:00Z,glocations,Israel,1047,0.0,The  Iran  Deal:  Praise  and  Blame 
 2013-11-24T00:00:00Z,glocations,Afghanistan,6746,0.0,How  Is  Hamid  Karzai  Still  Standing? 
 2013-11-19T10:16:18Z,glocations,Israel,523,0.0,Photo  of  Palestinian  Mother  Was  the  Wrong  Choice   
 2013-11-18T10:29:07Z,glocations,PacificOcean,547,0.0,On  'Global  Terror'  and  the  Fukushima  Fuel  Move 
 2013-11-17T00:00:00Z,glocations,ChristmasIsland(Australia),10199,0.0,The  Impossible  Refugee  Boat  Lift  to  Christmas  Island 
 2013-11-13T00:00:00Z,glocations,Germany,671,0.0,2  U.S.  Allies  Diverge  on  Spy  Program 
 2013-11-10T15:15:45Z,glocations,Versailles(France),6446,0.0,Lives  During  Wartime,  Vol.  4 
 2013-11-09T00:00:00Z,glocations,Brazil,991,0.0,Learning  to  Speak  Brazinglish 
 2013-11-02T00:00:00Z,glocations,Pakistan,1154,0.0,How  the  Pakistani  Taliban  Became  a  Deadly  Force 
