pub_date,keyword_name,keyword_value,score,headline_main
 2016-12-24T02:13:41+0000,glocations,Berlin(Germany),7.1307295e-05,Petrified  Unity  in  Terror-Struck  Berlin 
 2016-12-20T18:25:38+0000,glocations,Zurich(Switzerland),6.6798464e-05,No  Terror  Links  Found  in  Zurich  Attack 
 2016-12-19T20:22:51+0000,glocations,Berlin(Germany),3.7195387e-05,Berlin  Crash  Is  Suspected  to  Be  a  Terror  Attack,  Police  Say 
 2016-12-20T10:40:37+0000,glocations,Zurich(Switzerland),3.250234e-05,Gunman  Who  Shot  3  at  Zurich  Islamic  Center  Is  Found  Dead,  Police  Say 
 2016-12-27T23:32:26+0000,glocations,NorthKorea,6.158941e-06,North  Korea’s  Nuclear  Hopes  Have  Surged,  Defector  Says 
 2016-12-29T02:11:12+0000,glocations,Israel,5.33545e-06,In  John  Kerry’s  Mideast  Speech,  a  Clash  of  Policies  and  Personalities 
 2016-12-23T06:30:43+0000,glocations,Poland,5.0463864e-06,Stalin’s  Lengthening  Shadow 
 2016-12-19T00:19:36+0000,glocations,Mosul(Iraq),4.039608e-06,Hungry,  Thirsty  and  Bloodied  in  Battle  to  Retake  Mosul  From  ISIS 
 2016-12-23T23:00:07+0000,glocations,Hendersonville(NC),3.7326129e-06,In  a  North  Carolina  Town,  Terrorism  Abroad  Raises  Apprehension 
 2016-12-22T12:36:04+0000,glocations,Berlin(Germany),3.3887545e-06,Czech,  Israeli,  Italian,  Polish  and  Ukrainian  Citizens  Were  Among  Victims  of  Berlin  Attack 
 2016-12-20T11:07:11+0000,glocations,Australia,2.9389098e-06,Australia’s  Brave  Whistleblower  Nurse 
 2016-12-11T16:11:30+0000,glocations,Iran,2.3677521e-06,Iran  and  Boeing  Sign  $16.6  Billion  Deal  on  Sale  of  80  Aircraft 
 2016-12-12T08:00:37+0000,glocations,Mosul(Iraq),1.4354998e-06,For  Women  Under  ISIS,  a  Tyranny  of  Dress  Code  and  Punishment 
 2016-12-06T13:13:11+0000,glocations,California,1.3471434e-06,California  Today:  An  Outpouring  of  Support  in  Oakland 
 2016-12-09T11:00:52+0000,glocations,NewYorkCity,1.3440534e-06,New  York  Today:  How  to  Be  Good  at  SantaCon 
 2016-12-03T18:44:02+0000,glocations,Gambia,1.1069003e-06,Gambians  Celebrate  Defeat  of  Longtime  President 
 2016-11-05T01:14:41Z,glocations,NewYorkCity,1.0540106e-06,New  York  Police  on  Alert  After  Warning  of  Terror  Attack  Before  Election 
 2016-11-29T13:14:33+0000,glocations,California,6.365132e-07,California  Today:  Democratic  Dominance  in  Sacramento 
 2016-11-23T12:40:57+0000,glocations,Turkey,4.0625872e-07,Turkey  and  E.U.  Near  Breaking  Point  in  Membership  Talks 
 2016-11-18T15:36:58+0000,glocations,California,2.4395484e-07,I  Wish  We  All  Could  Be  Californian 
