,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
1,Chechen Rebels,59.0,wounding five,Eastern Europe,Russia,"A group of 15 mujahidin infiltrated and burned down an administration building and then fired upon police arriving at the scene killing five police and a civilian and wounding five others, including three civilians.",2008/3/19,6.0,8.0,1
31,Black Widows,50.0,haflong civil,Eastern Europe,Russia,"On Thursday evening at 1700, Black Widow militants killed at least seven police personnel at Langlai near Thujuari of North Cachar Hills district in Assam, India. Three militants were also killed in retaliatory firing. Haflong police sources said that the militants opened fire on the police party who were carrying the body of a Dima Halim Daogah (DHD) leader, Naklai Dimasa, who was killed by the militants on 10/29/2008, from Haflong Civil Hospital to Diyongmukh. Out of the seven slain police personnel, four were constables in the 8th Battalion of Assam Police, two were from the District Armed Branch and one from the Home Guard. No group claimed responsibility, though the Black Widow militants were believed to be responsible. Dinob Dimasa, spokesman of Black Widow, denied any involvement on behalf of the group.",2008/10/30,10.0,0.0,0
29,Caucasus Emirate,44.0,local russian,Eastern Europe,Russia,"On Thursday at 1200 noon, Chechen rebels belonging to the Urus-Martanovskiy mujahedin ambushed a group of Russian supporters of the local Russian administrator who were in a Russian convoy in Saadi-Kotar, Chechnya, Russia. They bombed a convoy of Russian supporters of the local Russian administrator using a landmine that was previously planted in the city of Saadi-Kotar, Komsomolskoye, Chechnya, Russia.  The landmine damaged the Russian convoy, however no casualties were reported. The heavy shooting resulted in the deaths of four Russians and injured eight. The Chechens claimed responsibility for the attack on a chechen website.",2008/10/23,4.0,8.0,-9
2,Black Widows,26.0,black widow,Eastern Europe,Russia,"Four people were killed and two others injured when a group of suspected Black Widows militants opened fire in the Harangajao Railway station in southern Assam's North Cachar Hills district, India at around 8pm. The militants used AK 47 rifles to fire off 90 cases of bullets. Two grenade levers and one powerful bomb, which was defused later by the police, were also found after the incident. The militants intended to find the station master but were unable to. Therefore they fired at random civilians. The police also described that their possible motive was repercussion for the arrest of two of their Black Widow cadres.",2008/3/24,4.0,2.0,0
5,Chechen Rebels,23.0,old deputy,Eastern Europe,Russia,"15, a group of about 60 Chechen Rebel Fighters commanded by Usman  Muntsigov killed three people and wounded another during an attack in which they set fire to three houses, including the local government administrators house, in Benoi-Vedeno, Chechnya province, Russia. A number of hostages, including the 47-year-old deputy administrator, were also taken hostage after the attacks. Authorities believed the attacks were carried out because the town of Benoi-Vedeno has always opposed the extremists and openly supported the legitimate Russian government. No claim of responsibility was made for the incident and the status of the hostages is unknown.",2008/6/12,3.0,1.0,1
7,Caucasus Emirate,23.0,group claimed,Eastern Europe,Russia,"On Monday at 2340, gunmen attacked an apartment with automatic weapons and grenades in Kabardino-Balkaria. No group claimed responsibility for the attack.",2008/6/23,0.0,6.0,1
6,Chechen Rebels,20.0,three persons,Eastern Europe,Russia,"On Friday night, at 0015, three persons were shot dead by Islamic fighters in the mountain village of Benoi-Vedeno, Chechnya, Russia.",2008/6/13,3.0,0.0,1
34,Caucasus Emirate,20.0,killing three,Eastern Europe,Russia,"On Wednesday morning, at 0200, in Agishty, Chechnya, Russia, assailants fired upon civilians, killing three civilians, and set fire to their residence, causing damage. Caucasus Emirate claimed responsibility.",2008/12/3,3.0,0.0,1
19,South Ossetian Separatists,16.0,wounding two,Eastern Europe,Russia,"On Thursday near Avnevi, Shida Kartli, Georgia, a landmine exploded when a military armored personnel carrier drove over it, killing one soldier, wounding two others, and damaging the vehicle. No group claimed responsibility, although authorities believed Georgian South Ossetian separatists were responsible.",2008/8/7,1.0,2.0,1
10,South Ossetian Separatists,8.0,group claimed,Eastern Europe,Russia,"On Thursday in Shida Kartli, Georgia, armed assailants fired upon, with submachine guns,  a police patrol, wounding one police officer and damaging his vehicle. No motive for the attack was reported and no group claimed responsibility, although authorities believed Georgian South Ossetian separatists were responsible.",2008/7/3,0.0,1.0,1
30,Black Widows,5.0,group claimed,Eastern Europe,Russia,"On Thursday, Black Widow militants shot and killed a leading member of the Dima Halom Daoga (DHD), identified as Naikhlai Dimasa, at his private residence in Doyangbra in the North Cachar Hills district of the Indian state of Assam. No group claimed responsibility, though the Black Widows were believed to be responsible.",2008/10/30,1.0,0.0,0
20,South Ossetian Separatists,5.0,group claimed,Eastern Europe,Russia,"On Thursday, in Ergneti, Shida Kartli, Georgia; and Nuli, Shida Kartli, Georgia, armed assailants fired upon villages, causing no casualties but damaging several houses. No group claimed responsibility, although it was widely believed that Georgian South Ossetian separatists were responsible.",2008/8/7,0.0,0.0,1
33,Kosovo Liberation Army (KLA),5.0,improvised explosive,Eastern Europe,Albania,"On Friday evening at 1730, in Pristina, Kosovo, assailants detonated an improvised explosive device in the yard of the European Union's International Civil Representative Office, damaging the building, but causing no injuries. The Army of the Republic of Kosovo claimed responsibility.",2008/11/14,0.0,0.0,1
