,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
120,Moro Islamic Liberation Front (MILF),190.0,least three,Southeast Asia,Philippines,"On Monday night, at least 200 Moro Islamic Liberation Front (MILF) rebels seized a main highway in Lanao del Norte province, raiding five coastal towns near Tangcal city, Lanao del Norte province, Philippines. Rebels shot and killed or hacked to death 33 civilians, at least three soldiers and a policeman. They also burned several houses and displaced about 44,000 residents. Retreating rebels took 63 hostages as human shields but released them early Tuesday morning on 08/19/2008 upon escaping. MILF spokesman Eid Kabalu stated that the attack was carried out by commander Adbdullah Macapaar, alias ""Bravo,"" without the group's authority and would face consequences for his actions. Kabalu also said the rebels were frustrated after the Supreme Court blocked a preliminary agreement with the rebels calling for an expanded autonomous region.",2008/8/18,37.0,0.0,1
76,New People's Army (NPA),125.0,group claimed,Southeast Asia,Philippines,"On Thursday morning at 1150, three people were killed and 35 wounded when a bomb exploded inside a bus in Digos, Davao Del Sur, Philippines. Authorities believed New People's Army rebels to be behind the blast however, no group claimed responsibility.",2008/7/24,3.0,35.0,1
106,Moro Islamic Liberation Front (MILF),104.0,night around,Southeast Asia,Philippines,"On Monday morning around 0845, in Tipo Tipo, Basilan, Philippines, about 300 Moro Islamic Liberation Front (MILF) assailants attacked the town and fired upon a crowd, killing two civilians, one marine, 15 MILF fighters, wounding two marines, one paramilitary trooper, and kidnapping three police officers. MILF proceeded to take over and occupy the entire town by 1600. The occupation was to protest the conduct of the elections in the Autonomous Region in Muslim Mindanao.  MILF fled the town that night around 1930. The assailants also burned an undetermined number of houses, damaging the houses but causing no further casualties. The outcome of the kidnapping is still unknown. No group claimed responsibility, although authorities suspected the MILF was responsible.",2008/8/11,18.0,3.0,1
117,Moro Islamic Liberation Front (MILF),89.0,kabalu also,Southeast Asia,Philippines,"On Monday, 16 civilians were hacked to death by machetes in Lapayan town, Kauswagan city, Lanao del Norte province, Philippines, by Moro Islamic Liberation Front (MILF) rebels during the course of raids in several villages in Lanao del Norte province. Many other civilians were wounded as they tried to catch the last vehicles leaving the area. MILF spokesman Eid Kabalu stated that the attack was carried out by commander Adbdullah Macapaar, alias ""Bravo,"" without the group's authority and would face consequences for his actions. Kabalu also said the rebels were frustrated after the Supreme Court blocked a preliminary agreement with the rebels calling for an expanded autonomous region.",2008/8/18,16.0,3.0,0
178,Abu Sayyaf Group (ASG),78.0,wounding 26,Southeast Asia,Philippines,"On Tuesday night, at about 2100, in Isabela, Basilan, Philippines, two assailants on a motorcycle threw a grenade at a crowd of people attending an outdoor live band performance at Jollibee fast food restaurant, wounding 26 civilians, two of them children. Basilan Provincial Police Senior Superintendent Salik Macapanatar said police had recovered the safety pin lever of an MK-11 fragmentation grenade. Some of the injured were identified as  Berlinda Ganaban, 19; Arnold Esmael, 20; Rham Aron, 16; Nahji Aspara, 18; Muktar Nur, 24; Abdul Nasser, 17; Edris Husin, 20; Rexter Peralta, 22; Hajimar Sahir, 18; and Alwhidz Mohammad, 21, and Jemar Aming. Aming was taken to Zamboanga City Medical Center due to critical injuries.  No group claimed responsibility, although it was widely believed the Abu Sayyaf Group was responsible.",2008/12/23,0.0,26.0,-9
61,New People's Army (NPA),53.0,grenade exploded,Southeast Asia,Philippines,"On Thursday, four people were killed and 10 wounded when a grenade exploded at Park and Go Bakeshop along Fuentes and Arebajo Streets in Nabunturan, Compostela Valley, Philippines. The motive for the attack is believe to be non-payment of extortion.",2008/7/3,4.0,11.0,-9
131,Karen National Union,45.0,second explosion,Southeast Asia,Myanmar,"09/11/2008, On Thursday, two improvised explosive devices placed in a video lounge were detonated, killing two and injuring at least nine to ten others in Kyaukgyi Township in Bago Division, Myanmar. The first explosion occured at about 2020 and the second explosion occured at about 2030. Authorities took possession of another live improvised device found nearby. Government officials suspect Karen National Union as responsiblie; however, no group has claimed responsibility.",2008/9/11,2.0,10.0,1
163,New People's Army (NPA),37.0,de la,Southeast Asia,Philippines,"On Wednesday night, at about 2200, in Solana, Cagayan, Philippines, armed assailants fired upon a minibus carrying the Mayor of Rizal province and his bodyguards, killing the mayor and three of his bodyguards, wounding four others, and damaging the minibus. Police said that Mayor Raul de la Cruz and his three bodyguards died of gunshot wounds before they arrived at the St. Paul Hospital in Tuguegarao for treatment. De la Cruz and his men fought their attackers, and after 20 minutes the men tried to approach their minibus to make sure the mayor and his men were dead, in which another firefight broke out after the gunmen neared the minibus and its wounded occupants fired back. De la Cruz had been receiving death threats from communist rebels and his political rivals before the ambush. No group claimed responsibility, although authorities initially suspected the New People's Army/Communist Party of Philippines (NPA-CPP) was responsible.",2008/12/3,4.0,4.0,1
49,Runda Kumpulan Kecil (RKK),35.0,railway police,Southeast Asia,Thailand,"On Saturday, suspected Runda Kumpulan Kecil (RKK) Muslim militants ambushed a passenger train near Narathiwat district, Yala province, Thailand, killing three passengers and a railway police officer while wounding five others. The gunmen were wearing military fatigues and were using automatic rifles in the attack. On 06/22/2008 on Sunday, police detained three rebels suspected of being involved in the attack while on 06/25/2008 on Wednesday, the provincial court in Narathiwat issued arrest warrants for Harem Janeh, Duerapa Jeh-uma, Amran Ming and Asueming Samae who were also suspected of being responsible for the attack. Asueming Samae was arrested on 20080709 on Tuesday. No claim of responsibility was made for the incident.",2008/6/21,4.0,5.0,-9
1,Abu Sayyaf Group (ASG),23.0,terrorism training,Southeast Asia,Philippines,"A bomb wounded two Filipino soldiers and four women workers at a Minay Videoke Bar a few meters from the gate of Camp Bautista, a southern Philippine military camp, on the island of Jolo where U.S. troops were conducting counter-terrorism training right before 10 p.m. The explosion also caused damaged to the bar. There is reason to suspect that al-Qaida-linked Muslim militant group Abu Sayyaf had a part in the incident in their struggle of self-rule for Muslims in the southern Philippines.",2008/3/1,0.0,6.0,1
