,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
7,Al-Qaida in Iraq,760.0,wounded another,Middle East & North Africa,Iraq,"On Tuesday, in Tikrit, Salah ad Din, Iraq, a suspected Al Qaeda suicide bomber detonated his improvised explosive vest device targeting Iraqi police recruits. The blast killed 60 recruits, and wounded another 150. The amount of property damage from the attack is unknown. No group claimed responsibility but Al Qaeda is believed to be responsible.",2011/1/18,61.0,150.0,1
34,Al-Qaida in the Arabian Peninsula (AQAP),690.0,least 110,Middle East & North Africa,Yemen,"On Monday, near Ja'ar in Abyan, Yemen, suspected Al Qaeda Organization in the Arabian Peninsula (AQAP) militants lit a cigarette to detonate explosives at an ammunition factory a day after looting weapons from the factory. At least 110 Yemenis were killed and 45 others were injured. An unknown amount of property damage was reported. No group claimed responsibility.",2011/3/28,110.0,45.0,1
38,Al-Qaida in Iraq,630.0,salah ad,Middle East & North Africa,Iraq,"On Tuesday evening, in Tikrit, Salah ad Din, Iraq, 10 suspected al Qaeda suicide bombers stormed the Salah ad Din council building wearing police uniforms and explosive belts and detonated themselves after firing upon government personnel in the council building executing three government staff members. At least 65 people were killed from the suicide bombing, 95 others wounded, and resulting in an unknown amount of property damage. No group has claimed responsibility for the attack, but al Qaeda is suspected.",2011/3/29,68.0,95.0,1
132,Al-Qaida in the Arabian Peninsula (AQAP),384.0,group claimed,Middle East & North Africa,Yemen,"On Monday, in Dufas, Abyan, Yemen, suspected Al Qaeda in the Arabian Peninsula (AQAP) militants attacked Yemeni soldiers. The attack killed 26 militants and 10 soldiers, and also wounded 38 militants and 30 soldiers. No group claimed responsibility, although AQAP is suspected.",2011/8/29,36.0,68.0,0
128,Boko Haram,368.0,boko haram,Middle East & North Africa,Iraq,"On Friday, in Abuja, Abuja Federal Capital Territory, Nigeria, 23 people were killed and 81 people were injured when suspected militant Mohammed Abul Barra detonated a suicide vehicle borne improvised explosive device that had been concealed inside a Honda Accord at the United Nations (UN) headquarters building. The attack caused a tremendous amount of material damage to the UN building and destroyed the Honda Accord. The car used in the bombing was registered in the Kano State. The UN claimed that no child died in the blast. The militant group Boko Haram claimed responsibility for the attack through a spokesman. On 08/31/2011, Nigeria's State Security Service released a statement in which it named Mamman Nur, a Boko Haram member with Al Qaeda links, who is suspected for masterminding the bombing. It was also reported in the statement that other two suspects, Babagana Ismail Kwaljima, also known as Abu Summary, and Babagana Mali, also known as Bulama, were arrested by State Security Service and were being held in a military facility.",2011/8/26,24.0,81.0,1
263,Al-Qaida in Iraq,364.0,military intelligence,Middle East & North Africa,Iraq,"Two suicide car bomb attacks occurred in Damascus, Dimashq, Syria.  This second attack occurred outside of the military intelligence building.  Between the two bombings at least 44 people were killed and 166 were wounded.  While no claim of responsibility was reported, it is suspected that al-Qa ida in Iraq was involved.",2011/12/23,23.0,83.0,0
264,Boko Haram,361.0,explosion destroyed,Middle East & North Africa,Iraq,"Boko Haram claimed responsibility for the attack on St. Teresa Catholic Church in Madalla, Niger, Nigeria.  This attack was one of four that day.  A bomb exploded while the church was full of people for Christmas mass.  The explosion destroyed cars in the area and did major damage to the church itself.  In total, 37 people were killed and 57 were wounded.  A man named Kabiru Soko was arrested for his role in the bombing.",2011/12/25,37.0,57.0,1
83,Boko Haram,220.0,shot anyone,Middle East & North Africa,Iraq,"On Sunday afternoon at 1700, in Maiduguri, Borno, Nigeria, between 8 and 10 suspected Boko Haram members threw bombs and fired gun shots in the Dala Kabompi neighborhood at a beer garden. The assailants attacked from the back of seven motorcycles. The assailants set fire to a local bar, then shot anyone trying to escape. At least 25 civilians were killed and about 30 more were injured. Military sources suspect that three sets of explosives were used in the attack. The attack caused an unknown amount of property damage. No group claimed responsibility for the attack, however, Boko Haram was suspected.",2011/6/26,25.0,30.0,1
122,Al-Qaida in the Arabian Peninsula (AQAP),154.0,group claimed,Middle East & North Africa,Yemen,"On Tuesday evening, in an unspecified area of Abyan, Yemen, suspected Al Qaeda militants attacked a government military base of Brigade 211 in Abyan. In the attack, six soldiers and eight militants were killed and twenty-eight solders were injured. No damages were reported and no group claimed responsibility, although al-Qaeda in the Arabian Peninsula (AQAP) is suspected.",2011/8/23,14.0,28.0,0
190,Kurdistan Workers' Party (PKK),80.0,injuring 20,Middle East & North Africa,Turkey,"On Saturday afternoon around 1320, in Bingol, Turkey, a female suicide bomber blew herself up on Genc Street near the building of the provincial branch of the ruling Justice and Development Party, killing herself and two others and injuring 20 people. The blast shattered glass and shop windows on surrounding buildings. No group has claimed responsibility, but the Kurdistan Workers' Party (PKK) is suspected.",2011/10/29,3.0,20.0,1
152,Kurdistan Workers' Party (PKK),75.0,least six,Middle East & North Africa,Turkey,"On Tuesday, in Ankara, Turkey, five people were killed and 15 others were injured when militants detonated a vehicle borne improvised explosive device in front of the Cankaya local administrator's office on Kumrular Street. At least six cars and one building were damaged in the attack. The Kurdistan Workers' Party (PKK) - Kurdistan Freedom Falcons (TAK) claimed responsibility for the attack on 09/22/2011 through an email sent to Firat News.",2011/9/20,5.0,15.0,1
160,Kurdistan Workers' Party (PKK),45.0,year old,Middle East & North Africa,Turkey,"On Monday, in Batman, Turkey, Turkey, unidentified militants fired on civilians and police with unknown firearms from an automobile. A pregnant woman, her unborn baby and her six-year old daughter were killed while five people were injured, including three policemen and an eight-year old girl. Three assailants were killed in the return fire by police. No property damage was reported and no group claimed responsibility, although the Kurdistan Workers' Party (PKK) is suspected.",2011/9/26,6.0,5.0,-9
125,Palestinian Islamic Jihad (PIJ),8.0,unidentified militants,Middle East & North Africa,Lebanon,"On Wednesday night around 2300, in Hof Ashkelon, Southern District (Hadarom), Israel, in one of two related attacks, unidentified militants fired a rocket from the Gaza area and injured one person with shrapnel. The attack resulted in an unknown amount of property damage and Israel Radio reported that Palestine Islamic Jihad (PIJ) claimed responsibility for the attack. A PIJ spokesman said that the renewed rocket fire was in retaliation for Tuesdays bombing which killed a PIJ cadre.",2011/8/24,0.0,1.0,1
124,Palestinian Islamic Jihad (PIJ),8.0,two related,Middle East & North Africa,Lebanon,"On Wednesday night around 2300, in Ashkelon, Southern District (Hadarom), Israel, in one of two related attacks, a rocket fired from the Gaza area hit a private vehicle, sending shards of glass through the air. A nine-month old baby was injured by the glass and the attack caused an unknown amount of property damage. Israel Radio reported that Palestine Islamic Jihad (PIJ) claimed responsibility for the attack. A PIJ spokesman said that the renewed rocket fire was in retaliation for Tuesdays bombing which killed a PIJ cadre.",2011/8/24,0.0,1.0,1
5,Palestinian Islamic Jihad (PIJ),6.0,southern district,Middle East & North Africa,Lebanon,"On Saturday, in Shaar HaNegev, Southern District, Israel, Palestinian militants fired mortar shells from the Gaza Strip, wounding two Thai agricultural workers. One man suffered serious wounds and the second was in moderate condition. No damage was reported and the armed wing of Islamic Jihad movement claimed responsibility for the attack.",2011/1/8,0.0,2.0,-9
