,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
484,Taliban,480.0,least 160,South Asia,Afghanistan,"Assailants sprayed the Aahan Dara Girls School with toxic chemicals in Taloqan town, Takhar province, Afghanistan. At least 160 students were hospitalized after complaining of headaches, vomiting, and dizziness. No group claimed responsibility; however officials suspect that the Taliban was behind the attack.",2012/5/30,0.0,160.0,0
15,Muslim extremists,435.0,suicide bomber,South Asia,Afghanistan,"A suicide bomber detonated an explosive vest next to a Shiite pilgrim procession in Al Batha area, Dhi Qar governorate, Iraq. Forty-four people were killed and 70 injured in the attack. This was one of five similar attacks in Iraq on this date. No group claimed responsibility, but police attributed the incident to Sunnis.",2012/1/5,45.0,70.0,0
300,Taliban,420.0,teachers became,South Asia,Afghanistan,"A school water tank was poisoned in Rostaq town, Takhar province, Afghanistan. One hundred and forty schoolgirls and teachers became ill as a result. No group claimed responsibility for this attack; however, authorities suspected the Taliban.",2012/4/17,0.0,140.0,0
77,Tehrik-i-Taliban Pakistan (TTP),401.0,strategic military,South Asia,Pakistan,"At least 100 assailants attacked a strategic military checkpost in Jogi area, Kurram Agency, Federally Administered Tribal Areas, Pakistan. In the subsequent battle, 35 attackers were killed and 30 wounded, while eight soldiers were killed and 32injured. No group claimed responsibility for the incident, but sources suspected Tehrik-i-Taliban Pakistan (TTP) and noted that the checkpoint was attacked because it was blocking Taliban movement from Tirah valley in Khyber Agency to Orakzai North Waziristan.",2012/1/31,43.0,62.0,-9
1042,Taliban,360.0,least 42,South Asia,Afghanistan,"A suicide bomber dressed in a police uniform attacked a mosque in Maymana city, Faryab province, Afghanistan. At least 42 people, including approximately 19 members of the Afghan security forces, were killed and another 50 people injured in the blast. No group claimed responsibility for the incident; however, sources attributed it to the Taliban.",2012/10/26,42.0,50.0,0
37,Tehrik-i-Taliban Pakistan (TTP),360.0,pickup truck,South Asia,Pakistan,"A remote-controlled explosive device placed in a pickup truck detonated in Jamrud market, Khyber Pakhtunkhwa province, Pakistan. Sources believed that the local Zakhakhel tribal militia was the target of the attack. The tribe had recently formed the militia to combat Tehrik-i-Taliban Pakistan (TTP). Thirty-five people died and 60 were wounded in the attack. The TTP claimed responsibility for the incident.",2012/1/10,35.0,60.0,1
1131,Tehrik-i-Taliban Pakistan (TTP),311.0,shiite community,South Asia,Pakistan,"A suicide bomber detonated in the downtown area of Rawalpindi city, Punjab province, Pakistan. The bomber was targeting a Shiite Muslim procession; he evaded security and ran into the procession before detonating. In addition to the bomber, at least 25 people were killed and another 62 were injured in the blast, including both civilians and police officers. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident, stating that Shiite community members were blasphemous and would not be spared.",2012/11/21,25.0,62.0,0
234,Maoists,149.0,least 12,South Asia,India,"An explosive device detonated near a Central Reserve Police Force (CRPF) bus in Gadchirol town, Maharashtra state, India. At least 12 officers were killed and 28 wounded. No group claimed responsibility for this incident; however, sources attributed it to Maoists.",2012/3/27,12.0,28.0,1
548,Muslim extremists,144.0,group claimed,South Asia,Afghanistan,"Assailants fired two mortar shells at Quraish Square in Kadimiya district, Baghdad city, Baghdad governorate, Iraq. The square was filled with Shiite pilgrims at the time of the attack; six people were killed and 38 more injured. No group claimed responsibility for the incident; however, officials suspected the involvement of Sunni individuals.",2012/6/10,6.0,38.0,0
18,Muslim extremists,88.0,laden vehicle,South Asia,Afghanistan,"An explosives-laden vehicle detonated in a public square in Al-Kazimiyah area, Al Anbar governorate, Iraq. This was one of five attacks against Shiites on this date in Iraq and one of two attacks in Al-Kazimiyah. Across the two attacks in Al-Kazimiyah, 15 people were killed and 32 injured. No group claimed responsibility, but sources attributed the incident to Sunnis.",2012/1/5,8.0,16.0,-9
