,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
138,Revolutionary Armed Forces of Colombia (FARC),159.0,revolutionary armed,South America,Colombia,"An explosives-laden truck detonated near the Mayor's office building in Inza municipality, Cauca department, Colombia. Eight people, including military officers, police officers, and two civilians, were killed and at least 38 people were wounded in the blast. The attack destroyed most of the Mayor's Office building, destroyed a police station, and damaged nearly 30 houses nearby. The Revolutionary Armed Forces of Colombia (FARC) claimed responsibility for the incident.",2013/12/7,8.0,38.0,1
36,Revolutionary Armed Forces of Colombia (FARC),91.0,revolutionary armed,South America,Colombia,"Assailants launched a grenade and opened fire on members of a town that were fighting a fire in Miraflores, Guaviare, Colombia. Two people were killed and 27 were injured in the attack. This was one of two incidents in Miraflores on February 12, 2013; the fire had previously been set to lure the townspeople into the area. No group claimed responsibility; however, police attribute the attack to the Revolutionary Armed Forces of Colombia (FARC).",2013/2/12,2.0,27.0,-9
92,Revolutionary Armed Forces of Colombia (FARC),90.0,least 15,South America,Colombia,"Assailants attacked Colombian soldiers guarding an oil pipeline in El Mordisco, Arauca department, Colombia. At least 15 soldiers were killed and five of the assailants were injured in the attack. The Revolutionary Armed Forces of Colombia (FARC) claimed responsibility for the attack.",2013/7/20,15.0,5.0,0
73,National Liberation Army of Colombia (ELN),78.0,released july,South America,Colombia,"Gunmen attacked an army patrol in the rural area of Chitaga, Norte de Santander department, Colombia. Eleven soldiers were killed, six others were wounded, and two individuals were kidnapped following the attack. The body of one of the kidnapping victims was later found by security forces. The second kidnapping victim was released July 4, 2013. The National Liberation Army of Colombia (ELN) claimed responsibility for the incident.",2013/5/22,12.0,6.0,0
99,Paraguayan People's Army (EPP),28.0,assailants killed,South America,Paraguay,"Assailants abducted six people from the Lagunita cattle ranch in Tacuati district, San Pedro department, Paraguay. The assailants killed five of the abductees, but one escaped or was released and reported the incident to the police. The attackers then ambushed the police when the officers responded, injuring one police officer. The Paraguayan People's Army (EPP) claimed responsibility for this incident.",2013/8/17,5.0,1.0,0
139,National Liberation Army of Colombia (ELN),26.0,revolutionary armed,South America,Colombia,"Explosive devices detonated near a police station in Toribio municipality, Cauca department, Colombia. Four assailants were killed in the blasts, and two police officers were wounded. No group claimed responsibility for the incident, but sources suspect the National Liberation Army (ELN) perpetrated the attack and the Revolutionary Armed Forces of Colombia (FARC) planned the attack.",2013/12/10,4.0,2.0,-9
18,National Liberation Army of Colombia (ELN),26.0,kidnapped days,South America,Colombia,"National Liberation Army of Colombia (ELN) assailants attacked a police station in El Mango, Argelia municipality, Cauca, Colombia. Seven people were injured in the attack and several pieces of property were damaged. Six public service vehicles were also defaced with ELN logos. According to the military, this attack was perpetrated to distract the Army from searching for a business owner who ELN had kidnapped days ago.",2013/1/23,0.0,7.0,1
64,Paraguayan People's Army (EPP),19.0,group claimed,South America,Paraguay,"A roadside bomb detonated near a police patrol in Azotey area, Concepcion department, Paraguay. One officer was killed and three were wounded in the attack. This was one of two attacks on police officers in the area; the officers were responding to an earlier attack on a police station. No group claimed responsibility; however, sources attributed the incident to the Paraguayan People's Army (EPP).",2013/4/21,1.0,3.0,1
119,Paraguayan People's Army (EPP),16.0,group claimed,South America,Paraguay,"Assailants detonated explosive devices and opened fire on police vehicles in Horqueta town, Concepcion department, Paraguay. Police Chief Manuel Escurra was killed and two other police officers were injured in the attack. This is one of two incidents in Horqueta on the same day. No group claimed responsibility for the coordinated incidents; however, officials attributed the incidents to the Paraguayan People's Army (EPP).",2013/10/23,1.0,2.0,1
2,Mapuche activists,15.0,group claimed,South America,Chile,"Assailants attacked two civilians in their home in Vilcun town, Araucania region, Chile. The attackers killed the civilians and burnt their house down. No group claimed responsibility for the incident; however, officials suspect that Mapuche activists were involved, likely due to a land dispute. The assailants left behind pamphlets condoning police violence and demanding that ancestral lands be returned to the Mapuche people.",2013/1/4,2.0,0.0,1
80,Shining Path (SL),11.0,wounding two,South America,Peru,"Assailants raided a worksite in Tutumbaro town, Ayacucho region, Peru. They stole food, medical supplies, and radio equipment and abducted 29 workers. A batch of 11 workers were released quickly. The others were forced to carry the stolen goods around before their release several hours later. As police arrived at the scene, the attackers engaged them in a shootout, wounding two officers. No group claimed responsibility; however authorities attributed the incident to the Shining Path (SL).",2013/6/5,0.0,2.0,1
65,Shining Path (SL),10.0,group claimed,South America,Peru,"Assailants detonated an explosive device near a ClaroPeru telephone tower in Tayacaja province, Huancavelica region, Peru. One assailant was killed in the blast and telephone service was disrupted in the area. No group claimed responsibility; however, the attack was attributed to the Shining Path (SL).",2013/4/25,1.0,0.0,1
83,Shining Path (SL),8.0,group claimed,South America,Peru,"Assailants attacked a military battalion in Canapampa town, Sivia district, Ayacucho region, Peru. One soldier was killed and one was injured by the attackers. No group claimed responsibility for the incident; however, sources attributed the attack to the Shining Path (SL).",2013/6/11,1.0,1.0,0
4,Mapuche activists,5.0,reported casualties,South America,Chile,"Assailants set fire to two trucks in Lumaco area, Araucania region, Chile. There were no reported casualties resulting from the fire, although the trucks were damaged. This was one of two similar attacks in the region on the same morning. No group claimed responsibility for the incident; however, sources speculate that Mapuche activists were involved.",2013/1/5,0.0,0.0,1
3,Mapuche activists,5.0,two similar,South America,Chile,"Assailants set fire to a warehouse and machinery in Friere area, Araucania region, Chile. There were no reported casualties resulting from the fire, although the warehouse and machinery were damaged. This was one of two similar attacks in the region on the same morning. No group claimed responsibility for the incident; however, sources speculate that Mapuche activists were involved.",2013/1/5,0.0,0.0,1
