,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
1075,Islamic State of Iraq and the Levant (ISIL),1473.0,also opened,Middle East & North Africa,Iraq,"Assailants detonated an explosives-laden vehicle near the Syrian Border Police border crossing in Kobani, Aleppo governorate, Syria. Following the blast, assailants stormed the town and detonated two more explosives-laden vehicles and also opened fire on security forces. At least 174 people, including security forces, civilians, and 54 assailants, were killed and more than 200 people were injured in the attack. This was one of two related incidents in and around Kobani on the same day. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attacks.",2015/6/25,174.0,201.0,-9
2042,Islamic State of Iraq and the Levant (ISIL),1260.0,yunus emre,Middle East & North Africa,Iraq,"Two suicide bombers detonated at a peace rally near the train station in Ankara, Turkey. In addition to the assailants, at least 103 people were killed and 245 people were injured in the blasts. No group claimed responsibility for the incident; however, the assailants were identified as Yunus Emre Alagoz and Omer Deniz Dundar, both believed to be members of Islamic State of Iraq and the Levant (ISIL). Turkish authorities also attributed the attack to the Kurdistan Workers' Party (PKK).",2015/10/10,105.0,245.0,-9
695,Boko Haram,1177.0,lake chad,Middle East & North Africa,Iraq,"Assailants attacked a military base and residential areas in Karamga, Lake Chad area, Diffa region, Niger. At least 46 soldiers, 28 civilians, and 156 assailants were killed and nine soldiers and an unknown number of assailants were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",2015/4/25,230.0,9.0,0
2304,Islamic State of Iraq and the Levant (ISIL),1121.0,least 90,Middle East & North Africa,Iraq,"Three suicide bombers opened fire on Bataclan concert hall, where an Eagles of Death Metal concert was being held, in 11th arrondissement, Paris, France. In addition to the three bombers, at least 90 people were killed and 200 others were injured in the attack. Additionally, at least 20 civilians were taken hostage for two hours during the incident. This was one of eight coordinated attacks carried out in Paris on the same day. Later reports state that an additional 132 people were injured across all eight incidents. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that the attacks were carried out in retaliation for France's participation in the United States-led coalition that carried out airstrikes on ISIL targets in Iraq and Syria.",2015/11/13,93.0,217.0,1
98,Boko Haram,732.0,group claimed,Middle East & North Africa,Iraq,"Assailants opened fire on a military base in Kolofata town, Extreme-North region, Cameroon. One soldier and 143 assailants were killed and four soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",2015/1/12,144.0,4.0,-9
206,Boko Haram,666.0,group claimed,Middle East & North Africa,Iraq,"Assailants attacked a Chadian military contingent near Fotokol town, Extreme-North region, Cameroon. At least three soldiers and 123 assailants were killed and 12 soldiers were injured in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",2015/1/29,126.0,12.0,-9
759,Houthi extremists (Ansar Allah),636.0,huthis claimed,Middle East & North Africa,Yemen,"Assailants fired projectiles that struck a boat carrying civilians who were attempting to flee in Attawahi district, Aden city, Aden governorate, Yemen. Eighty-six civilians were killed and 67 others were injured in the attack. Huthis claimed responsibility for the incident.",2015/5/6,86.0,67.0,1
1252,Houthi extremists (Ansar Allah),575.0,group claimed,Middle East & North Africa,Yemen,"Assailants shelled civilians and residences in Dar Sad neighborhood, Shaykh Uthman, Adan governorate, Yemen. At least 43 people were killed and 120 people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Huthis, who denied involvement.",2015/7/19,43.0,120.0,-9
1750,Houthi extremists (Ansar Allah),465.0,least 64,Middle East & North Africa,Yemen,"Assailants fired a missile at an Operation Restoring Hope Coalition camp in Safer area, Marib governorate, Yemen. At least 64 soldiers were killed and 70 others were injured in the attack. Huthis claimed responsibility for the incident, although Yemeni soldiers stated the attack was an accidental explosion.",2015/9/4,50.0,70.0,1
1760,Kurdistan Workers' Party (PKK),105.0,least 17,Middle East & North Africa,Turkey,"Assailants detonated remote-controlled landmines and opened fire against two military armored vehicles near Daglica village, Yusekova district, Hakkari province, Turkey. At least 17 soldiers were killed and five others were injured in the attack. The Kurdistan Workers' Party (PKK) claimed responsibility for the incident.",2015/9/6,17.0,5.0,1
