pub_date,keyword_name,keyword_value,word_count,score,headline_main
 2016-12-06T10:59:13+0000,glocations,NewYorkCity,1175,7.698007e-08,New  York  Today:  Treasures  in  Our  Waters 
 2016-11-23T10:57:09+0000,glocations,NewYorkCity,936,2.5645297e-08,New  York  Today:  What  We’re  Grateful  for  This  Thanksgiving 
 2016-11-14T11:01:36+0000,glocations,NewYorkCity,1023,1.1624869e-08,New  York  Today:  Behold,  the  Supermoon 
 2016-08-06T09:01:05+0000,glocations,PuertoRico,4902,2.6006378e-13,A  Surreal  Life  on  the  Precipice  in  Puerto  Rico 
 2016-06-10T01:02:21+0000,glocations,Peru,657,6.952942e-16,Pedro  Kuczynski  Declares  Victory  Over  Keiko  Fujimori  for  Peru  Presidency 
 2016-06-06T00:00:00Z,glocations,Peru,730,4.185711e-16,Pedro  Kuczynski  Holds  Thin  Lead  Over  Keiko  Fujimori  in  Peru  Presidential  Election 
 2016-02-02T00:00:00Z,glocations,Peru,973,6.4529414e-24,Peru’s  Possible  Prison  Presidency 
 2015-12-02T00:00:00Z,glocations,Peru,378,4.75782e-28,American  Convicted  in  Peru  Plot  Plans  to  Return  to  U.S. 
 2015-05-15T00:00:00Z,glocations,Macedonia,1424,1.4e-45,Tiny  Macedonia  Confronts  a  Supersize  Scandal 
 2015-04-24T00:00:00Z,glocations,Turkey,1121,0.0,Hidden  Armenians  of  Turkey  Seek  to  Reclaim  Their  Erased  Identities 
 2015-04-07T11:00:25+0000,glocations,WickenFen(Cambridgeshire,England),1333,0.0,The  Living  Beauty  of  Wicken  Fen 
 2015-01-12T21:17:01Z,glocations,AntarcticRegions,1285,0.0,Too  Soon  Gone:  Alberto  Behar,  Who  Used  Robots  and  Rubber  Ducks  to  Probe  Icy  Secrets 
 2014-11-26T15:22:03+0000,glocations,Turkey,7158,0.0,The  Mine  Disaster  That  Shook  Turkey 
 2014-08-05T01:49:48+0000,glocations,GazaStrip,6584,0.0,Eight  Days  in  Gaza:  A  Wartime  Diary 
 2014-06-30T15:22:37Z,glocations,Germany,2785,0.0,Germany  vs.  Algeria:  World  Cup  2014  Live  Blog 
 2014-04-03T08:05:54Z,glocations,KualaLumpur(Malaysia),1398,0.0,Chasing  the  Money  for  Families  of  Passengers  on  Missing  Flight 
 2014-03-21T11:30:08Z,glocations,Hydra(Greece),2756,0.0,Beyond  the  Sea 
 2014-02-19T19:57:49+0000,glocations,InteroceanicHighway(Brazil-Peru),5978,0.0,Traveling  From  Ocean  to  Ocean  Across  South  America 
 2014-02-12T10:54:42+0000,glocations,Georgia,1127,0.0,Czar  Vladimir's  Illusions 
 2014-02-07T07:00:46Z,glocations,Russia,5617,0.0,Highlights:  The  Winter  Olympics  Opening  Ceremony 
 2013-12-13T00:00:00Z,glocations,Harlem(Manhattan,NY),6439,0.0,Amid  Repressed  Hopes,  Reasons  to  Dream 
 2013-12-12T00:00:00Z,glocations,Brooklyn(NYC),4513,0.0,Finding  Safety  and  Strength  in  the  Bonds  of  Her  Siblings 
 2013-10-14T00:00:00Z,glocations,BayofBengal,926,0.0,Quick  Evacuation  Efforts  Help  India  Minimize  Deaths  From  Cyclone 
 2013-09-23T16:49:57Z,glocations,Canada,1118,0.0,Go  East  Old  Man:  In  the  Wet  of  the  Night 
 2013-09-22T00:00:00Z,glocations,Reykjavik(Iceland),1745,0.0,36  Hours  in  Reykjavik 
 2013-06-08T00:00:00Z,glocations,Peru,152,0.0,Peru:  Ex-President  Is  Denied  a  Pardon 
 2013-04-22T00:00:00Z,glocations,Atlanta(Ga),1130,0.0,In  Atlanta,  Two  Churches  Lie  in  New  Stadium’s  Path 
